TOOLTIP_ACCE_ATTR_MAX_INFO	(max. %s)
ACCE_ABSORB_COST	ֻדה ַבַ׃ÊםÚַָ: %d
ACCE_ALREADY_REGISTER	Êד ַ׃ÊÚדַב ו׀ַ ַבָהֿ דה Þָב.
ACCE_DEL_ABSORDITEM	וב Êׁםֿ ַ׃ÊםÚַָ ַבװםֱ זַָבÊַבם Êֿדםׁו¿
ACCE_DEL_SERVEITEM	ֵ׀ַ דַ ÝװבÊ Úדבםֹ ַבדּׂ¡ Ýֵה ַבזװַֽ 2 ׃םֿדרׁ.
ACCE_INITEM	ַ׃ָֽ ַבֳװםֱַ הֽז ַבהַÝ׀ֹ.
ACCE_MAXGRADE	ֵה ו׀ַ ַבזװַֽ דץÝױרב.
ACCE_NOTABSORBITEM	בַ םדßהß ַ׃ÊÚדַב ֳ׃בֹֽ ֳז ֿׁזÚ ַ׃ÊזÚָÊ דה Þָב.
ACCE_NOT_SEALITEM	בַ םדßהß ַ׃ÊÚדַב ָהֿ דץׁÊָ״ ַָבׁזֽ.
ACCE_NOT_USINGITEM	בַ םדßהß דּׂ ָץהֿ דץׂזרֿ.
ACCE_NOT_WINDOWOPEN	בַ םדßהß ַ׃ÊÚדַב ַבָהֿ¡ ״ַבדַ ֳה הַÝ׀ֹ ַבדּׂ דÝÊזֹֽ.
ACCE_POSSIBLE_ACCE	בַ םדßהß ַ׃ÊÚדַב װםֱ ֲ־ׁ Ûםׁ ַבֳזװֹֽ.
ACCE_POSSIBLE_ACCEITEM	בַ םדßהß ַ׃Ê־ַּׁ ַבÚבַזַÊ דה ֳװםֱַ ֳ־ׁל Ûםׁ ַבֳ׃בֹֽ זַבֿׁזÚ.
AFF_LOVE_POINT	הÞַ״ ַבָֽ: %d%%
ALIGNMENT_NAME	הÞַ״ ַבÊׁÊםָ:
ATTACK_ERROR_UNKNOWN	־״ֳ וּזדם דּוזב:  %s
CANNOT_ATTACK_DEST_IN_SAFE	ֵה ַב־ױד ָÚםֿ ַּֿנ.
CANNOT_ATTACK_SELF_IN_SAFE	בַ ַ׃Ê״םÚ דוַּדֹ ַב־ױד דה והַ.
CANNOT_EQUIP_IN_EXCHANGE	בַ םדßהß ַ׃Êַָֿב ַבֿׁÚ ֳֻהֱַ ַבדÊַֹּׁ.
CANNOT_EQUIP_IN_SHOP	בַ םדßהß ַ׃Êַָֿב ַבֿׁÚ ֳֻהֱַ ַבדÊַֹּׁ.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	בַ םדßהß ÝÊֽ דÊּׁ ־ַױ ָß Ýם דßַה Úַד.
CANNOT_SHOOT_DEST_IN_SAFE	ֵה ַב־ױד ָÚםֿ ַּֿנ.
CANNOT_SHOOT_EMPTY_ARROW	ֵההם ַָֹּֽ ֵבל ׃וד.
CANNOT_SHOOT_SELF_IN_SAFE	בַ םדßההם דוַּדֹ ַב־ױד דה והַ.
CANNOT_SKILL_APPROACH	ֳהַ דÊֳßֿ ֳָההם בה ַÞÊָׁ דהו.
CANNOT_SKILL_ATTACK	בַ םדßההם דוַּדÊß.
