ACCE_ABSORB	«” Ì⁄«» «·⁄·«Ê« 
ACCE_COMBINE	„“Ã
ACCE_MAIN	Ê‘«Õ 1
ACCE_RESULT	«·‰ ÌÃ…
ACCE_SERVE	Ê‘«Õ 2
ACCEPT	„Ê«›ﬁ
ATTACH_METIN_INFO	Â·  —€» ›Ì «” Œœ«„ «·ÕÃ— «·‘¯»ÕÌø
ATTACH_METIN_TITLE	«” Œœ«„ «·ÕÃ— «·‘¯»ÕÌ
CANCEL	≈·€«¡
CHANGE_PASSWORD_CONFIRM	√ﬂœ ﬂ·„… «·”— «·ÃœÌœ…
CHANGE_PASSWORD_NEW	ﬂ·„… ”— ÃœÌœ…
CHANGE_PASSWORD_OLD	ﬂ·„… ”— ﬁœÌ„…
CHANGE_PASSWORD_TITLE	 €ÌÌ— ﬂ·„… «·”—
CHARACTER_ACTION	‰‘«ÿ« 
CHARACTER_EMOTICON	⁄«ÿ›…
CHARACTER_MAIN	«·‘Œ’Ì…
CHARACTER_MUTUAL_ACTION	‰‘«ÿ „ »«œ·
CHARACTER_NORMAL_ACTION	‰‘«ÿ ⁄«œÌ
CHARACTER_QUEST	«·„Â„« 
CHARACTER_SKILL	„Â«—« 
CLOSE	≈€·«ﬁ
CREATE_ATT_GRADE	ﬁÊ…
CREATE_CREATE	≈‰‘«¡
CREATE_DEX_GRADE	„‰«Ê—…
CREATE_HP	ÕÌÊÌ…
CREATE_LAST_POINT	‰ﬁ«ÿ
CREATE_MAN	—Ã·
CREATE_NAME	«”„
CREATE_NEXT	«· «·Ì
CUBE_REQUIRE_MATERIAL	«·„Ê«œ «·„ÿ·Ê»…
CUBE_REQUIRE_MATERIAL_OR	√Ê
CREATE_PREV	«·Œ·›
CREATE_SEX	«·Ã‰”
CREATE_SHAPE	«·‘ﬂ·
CREATE_SP	–ﬂ«¡
CREATE_STAT_RESET	≈⁄«œ…  ⁄ÌÌ‰ «·Õ«·…
CREATE_WOMAN	«„—√…
CUBE_TITLE	 ’‰Ì⁄
EMPIRE_EXIT	≈‰Â«¡
