TOOLTIP_ACCE_ATTR_MAX_INFO	(max. %s)
ACCE_ABSORB_COST	Cena absorpce: %d
ACCE_ALREADY_REGISTER	Pøedmìt již byl použit.
ACCE_DEL_ABSORDITEM	Absorbovat pøedmìt a tím jej znièit?
ACCE_DEL_SERVEITEM	Šerpa 2 bude znièena, pokud jejich kombinace selže.
ACCE_INITEM	Pøetáhni pøedmìty do okna.
ACCE_MAXGRADE	Toto již bylo pøizpùsobeno.
ACCE_NOTABSORBITEM	Nemùžeš použít brnìní èi zbraò, pokud již byly absorbovány.
ACCE_NOT_SEALITEM	Nelze použít pøedmìty s duševním poutem.
ACCE_NOT_USINGITEM	Nemùžeš kombinovat pøedmìt, který se používá.
ACCE_NOT_WINDOWOPEN	Nemùžeš použít pøedmìt, pokud je otevøeno okno pro kombinování.
ACCE_POSSIBLE_ACCE	Mùžeš použít pouze šerpy.
ACCE_POSSIBLE_ACCEITEM	Bonusy lze získat pouze ze zbranì nebo brnìní.
AFF_LOVE_POINT	Body za lásku: %d%%
ALIGNMENT_NAME	Hodnost:
ATTACK_ERROR_UNKNOWN	Neznámá chyba v útoku: %s
CANNOT_ATTACK_DEST_IN_SAFE	Soupeř je příliš daleko.
CANNOT_ATTACK_SELF_IN_SAFE	Odtud nemùžu zaútočit na nepřítele.
CANNOT_EQUIP_IN_EXCHANGE	Když obchoduješ, nemùžeš mìnit výzbroj.
CANNOT_EQUIP_IN_SHOP	Když obchoduješ, nemùžeš mìnit výzbroj.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nemùžeš soukromý stánek otevøít na veøejném místì.
CANNOT_SHOOT_DEST_IN_SAFE	Nepøítel je pøíliš daleko.
CANNOT_SHOOT_EMPTY_ARROW	Potřebuji šíp.
CANNOT_SHOOT_SELF_IN_SAFE	Odtud nemùžu zaútoèit na nepøítele.
CANNOT_SKILL_APPROACH	Jsem si jistý, že se už blíž nedostanu.
CANNOT_SKILL_ATTACK	Nemùžu na to zaútoèit.
CANNOT_SKILL_DEST_IN_SAFE	Soupeø je pøíliš daleko.
CANNOT_SKILL_EQUIP_FISHING_ROD	Potøebuji rybáøský prut.
CANNOT_SKILL_HAVE_TO_RIDE	Potøebuji nejdøív konì, než to použiji.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nemám prázdnou láhev.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nemám láhev s jedem.
CANNOT_SKILL_NEED_TARGET	Kdo je cíl?
CANNOT_SKILL_NOT_ENOUGH_HP	Nemám dostatek ZB!
CANNOT_SKILL_NOT_ENOUGH_SP	Nemám dostatek MB!
CANNOT_SKILL_NOT_HORSE_SKILL	Když jedu na koni, tohle nemùžu použít.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Tuto schopnost nemùžu nasadit ve spojení s touto zbraní.
CANNOT_SKILL_NOT_YET_LEARN	Tuto schopnost jsem se ještì nenauèil.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	To pùsobí jen na èleny skupiny.
CANNOT_SKILL_ONLY_FOR_CORPSE	To pùsobí jen na mrtvé.
CANNOT_SKILL_REMOVE_FISHING_ROD	Tuto schopnost nemùžu použít ve spojení s rybáøským prutem.
CANNOT_SKILL_SELF_IN_SAFE	Odtud nemùžu zaútoèit.
CANNOT_SKILL_USE_SELF	Toto nemùžu použít sám na sobì.
CANNOT_SKILL_WAIT_COOLTIME	Tuto schopnost nemùžu zatím použít.
CANNOT_WHISPER_DEST_REFUSE	%s si zablokoval šeptání
CANNOT_WHISPER_NOT_EXIST	%s neexistuje.
CANNOT_WHISPER_NOT_LOGON	%s není ve hře.
CANNOT_WHISPER_NO_AUTH	Nemáte oprávnění psát tomuto hráči.
CANNOT_WHISPER_NO_OFFLINE_MESSAGE	Offline zpráva nebyla odeslána.
CANNOT_WHISPER_SELF_REFUSE	Nemůžete nikomu nic zašeptat, pokud jste zablokovali šepot.
CAN_WHISPER_OFFLINE_MESSAGE	Offline zpráva byla odeslána.
CHANNEL	Kanál
CHANNELING_CANNOT_LOGOUT	Nemùžeš zpìt na stránku s pøihlášením.
CHANNEL_EMPTY_SERVER	Žádný server
CHANNEL_NORMAL	Kanál %d
