TOOLTIP_ACCE_ATTR_MAX_INFO	(max. %s)
ACCE_ABSORB_COST	Aufnahmepreis: %d
ACCE_ALREADY_REGISTER	Dieser Gegenstand wurde bereits verwendet.
ACCE_DEL_ABSORDITEM	Gegenstand aufnehmen und damit zerstören?
ACCE_DEL_SERVEITEM	Band 2 wird zerstört, wenn die Kombination fehlschlägt.
ACCE_INITEM	Ziehe die Gegenstände auf das Fenster.
ACCE_MAXGRADE	Dies ist bereits maßgefertigt.
ACCE_NOTABSORBITEM	Du kannst keine Waffe/Rüstung benutzen, die bereits aufgenommen wurde.
ACCE_NOT_SEALITEM	Du kannst keinen seelengebundenen Gegenstand verwenden.
ACCE_NOT_USINGITEM	Ein ausgerüsteter Gegenstand kann nicht kombiniert werden.
ACCE_NOT_WINDOWOPEN	Du kannst den Gegenstand nicht verwenden, wenn das Fenster für die Kombination geöffnet ist.
ACCE_POSSIBLE_ACCE	Du kannst nur Schulterbänder benutzen.
ACCE_POSSIBLE_ACCEITEM	Du kannst Boni nur aus Waffen und Rüstungen extrahieren.
AFF_LOVE_POINT	Liebespunkte: %d%%
ALIGNMENT_NAME	Rangpunkte:
ATTACK_ERROR_UNKNOWN	Unbekannter Angriffsfehler: %s
CANNOT_ATTACK_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_ATTACK_SELF_IN_SAFE	Ich kann den Gegner von hier nicht angreifen.
CANNOT_EQUIP_IN_EXCHANGE	Du kannst keine Ausrüstung wechseln, während du handelst.
CANNOT_EQUIP_IN_SHOP	Du kannst keine Ausrüstung wechseln, während du handelst.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Du kannst einen privaten Laden nicht an einem öffentlichen Ort eröffnen.
CANNOT_SHOOT_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_SHOOT_EMPTY_ARROW	Ich benötige einen Pfeil.
CANNOT_SHOOT_SELF_IN_SAFE	Ich kann den Gegner von hier nicht angreifen.
CANNOT_SKILL_APPROACH	Ich bin mir sicher, dass ich nicht näher rankomme.
CANNOT_SKILL_ATTACK	Ich kann das nicht angreifen.
CANNOT_SKILL_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_SKILL_EQUIP_FISHING_ROD	Ich benötige eine Angelrute.
CANNOT_SKILL_HAVE_TO_RIDE	Ich brauche ein Pferd, um das zu verwenden.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Ich habe keine leere Flasche.
CANNOT_SKILL_NEED_POISON_BOTTLE	Ich habe keine Giftflasche.
CANNOT_SKILL_NEED_TARGET	Wer ist das Ziel?
CANNOT_SKILL_NOT_ENOUGH_HP	Ich habe nicht genug TP!
CANNOT_SKILL_NOT_ENOUGH_SP	Ich habe nicht genug MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Das kann ich nicht verwenden, während ich reite.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Diese Fertigkeit kann ich nicht mit dieser Waffe einsetzen.
CANNOT_SKILL_NOT_YET_LEARN	Diese Fertigkeit habe ich nicht gelernt.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Das wirkt nur bei Gruppenmitgliedern.
CANNOT_SKILL_ONLY_FOR_CORPSE	Das wirkt nur bei Toten.
CANNOT_SKILL_REMOVE_FISHING_ROD	Diese Fertigkeit kann ich nicht mit einer Angelrute einsetzen.
CANNOT_SKILL_SELF_IN_SAFE	Ich kann nicht von hier angreifen.
CANNOT_SKILL_USE_SELF	Das kann ich nicht auf mich selbst anwenden.
CANNOT_SKILL_WAIT_COOLTIME	Diese Fertigkeit kann ich noch nicht einsetzen.
CANNOT_WHISPER_DEST_REFUSE	%s hat Flüstern blockiert.
CANNOT_WHISPER_NOT_EXIST	%s existiert nicht.
CANNOT_WHISPER_NOT_LOGON	%s ist nicht online.
CANNOT_WHISPER_NO_AUTH	Du hast keine Berechtigung, diesem Empfänger zu schreiben.
CANNOT_WHISPER_NO_OFFLINE_MESSAGE	Die Offline-Nachricht wurde nicht versendet.
CANNOT_WHISPER_SELF_REFUSE	Du kannst niemandem etwas zuflüstern, wenn du Flüstern blockiert hast.
CAN_WHISPER_OFFLINE_MESSAGE	Die Offline-Nachricht wurde versendet.
CHANNEL	Channel
CHANNELING_CANNOT_LOGOUT	Du kannst nicht zurück zum Anmeldebildschirm.
CHANNEL_EMPTY_SERVER	Kein Server
CHANNEL_NORMAL	Channel %d
CHANNEL_NOTIFY_FULL	Dieser Channel ist voll! Wähle bitte einen anderen aus.
CHANNEL_NOT_FIND_INFO	Keine Informationen über den Channel gefunden.
CHANNEL_PVP	Freies Duell
CHANNEL_SELECT_CHANNEL	Wähle den Channel
CHANNEL_SELECT_REGION	Ort für die Rechnungsstellung wählen
CHANNEL_SELECT_SERVER	Server wählen
CHANNEL_TEST_SERVER	Server testen
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Charakter erstellen
CHARACTER_SELECT_MODE	Charakter auswählen
CHAT_ALL	Alle
CHAT_BLOCK	Abblocken
CHAT_GUILD	Gilde
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Der Satz enthält unzulässige Wörter.
CHAT_LOG	Alte Nachrichten anzeigen [L]
CHAT_LOG_TITLE	Chat-Protokoll
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Gruppe
CHAT_SEND_CHAT	Chat senden
CHAT_SEND_MEMO	Flüstern senden [Umschalt+Eingabe]
CHAT_SHOUT	Rufen
CHAT_SHOUT_LIMIT	Du kannst nur alle 15 Sekunden rufen.
CHAT_TEAM	Team
CHAT_WHISPER	Flüstern
CREATE_ERROR_GM_NAME	Du darfst im Charakternamen nicht ,GM‘ verwenden.
CREATE_ERROR_INSULT_NAME	Dieser Name ist nicht zulässig.
CREATE_EXIST_SAME_NAME	Ein anderer Charakter trägt bereits diesen Namen.
CREATE_FAILURE	Du kannst den Charakter nicht erstellen.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Gib den Namen ein.
CREATE_PLUS_STAT	Es sind noch Statuspunkte verfügbar.
DAY	T
DO_YOU_BUY_ITEM1	Möchtest du %s für %s Yang kaufen?
DO_YOU_BUY_ITEM2	Möchtest du %s (%s Stück) für %s Yang kaufen?
DO_YOU_DROP_MONEY	Möchtest du %d Yang fallen lassen?
DO_YOU_SELL_ITEM1	Möchtest du %s für %s Yang verkaufen?
DO_YOU_SELL_ITEM2	Möchtest du %s (%s Stück) für %s Yang verkaufen?
DO_YOU_TAKE_OUT_ITEM1	Möchtest du %s herausnehmen?
DO_YOU_TAKE_OUT_ITEM2	Möchtest du %s %s herausnehmen?
DROP_ITEM_FAILURE_EQUIP_ITEM	Du kannst keine ausgerüsteten Gegenstände fallen lassen.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände fallen lassen, solange du einen privaten Laden geöffnet hast.
DROP_MONEY_FAILURE_1000_OVER	Du kannst nur maximal 999 Yang fallen lassen.
EMOTION_ANGRY	Ärgerlich
EMOTION_ATTRACTIVE	Verführung
EMOTION_BANTER	Spöttisch
EMOTION_CHEERS_1	Jubel 1
EMOTION_CHEERS_2	Jubel 2
EMOTION_CHEERUP	Jubeln
EMOTION_CHOOSE_ONE	Wähle ein Ziel.
EMOTION_CLAP	Applaus
EMOTION_CLAP_KISS	Kuss
EMOTION_CONGRATULATION	Zuspruch
EMOTION_DANCE_1	Tanz 1
EMOTION_DANCE_2	Tanz 2
EMOTION_DANCE_3	Tanz 3
EMOTION_DANCE_4	Tanz 4
