ACCE_ABSORB	Aufnahme der Boni
ACCE_COMBINE	Kombination
ACCE_MAIN	Band 1
ACCE_RESULT	Ergebnis
ACCE_SERVE	Band 2
ACCEPT	OK
ATTACH_METIN_INFO	Willst du den Geiststein einsetzen?
ATTACH_METIN_TITLE	Geiststein einsetzen
CANCEL	Abbruch
CHANGE_PASSWORD_CONFIRM	Neues Passwort bestätigen
CHANGE_PASSWORD_NEW	Neues Passwort
CHANGE_PASSWORD_OLD	Altes Passwort
CHANGE_PASSWORD_TITLE	Passwortänderung
CHARACTER_ACTION	Aktionen
CHARACTER_EMOTICON	Emotion
CHARACTER_MAIN	Charakter
CHARACTER_MUTUAL_ACTION	Interaktive Aktionen
CHARACTER_NORMAL_ACTION	Normale Aktionen
CHARACTER_QUEST	Missionen
CHARACTER_SKILL	Fertigkeiten
CLOSE	Schließen
CREATE_ATT_GRADE	STR
CREATE_CREATE	Erstellen
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Punkte
CREATE_MAN	Mann
CREATE_NAME	Name
CREATE_NEXT	Weiter
CUBE_REQUIRE_MATERIAL	Erforderliche Materialien
CUBE_REQUIRE_MATERIAL_OR	oder
CREATE_PREV	Zurück
CREATE_SEX	Geschlecht
CREATE_SHAPE	Aussehen
CREATE_SP	INT
CREATE_STAT_RESET	Zurück
CREATE_WOMAN	Frau
CUBE_TITLE	Herstellung
EMPIRE_EXIT	Beenden
EMPIRE_NEXT	Weiter
EMPIRE_PREV	Zurück
EMPIRE_SELECT	Wählen
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	Handeln
GAMEOPTION_TITLE	Spieloptionen
GAME_EXIT_OBSERVER	Zuschauermodus beenden
GAME_HELP	Hilfe
GAME_QUEST	Aufgaben
GAME_SKILL_UP	Fertigkeit erhöhen
GAME_STAT_UP	Status erhöhen
GUILDWINDOW_BASE_BUFF	Gildenbonus
GUILD_BANKINFO_CLOSE	Schließen
GUILD_BANKINFO_NAME	Mitglied
GUILD_BANKINFO_TITLE	Gildenlager-Log
GUILD_BANKINFO_TYPE	Gegenstand/Währung
GUILD_BANKINFO_USETYPE	Aktion
GUILD_BANK_CLOSE	Schließen
GUILD_BANK_INFO	Lagerseite:
GUILD_BANK_NUMBER	Bank number
GUILD_BASEINFO_BANK	Gildenlager
GUILD_BASEINFO_BANKLASTOUT	Letzte Item-Entnahme
GUILD_BASEINFO_BUILDING	Gildengebäude
GUILD_BASEINFO_DEAL	Gildenland verkaufen
GUILD_BASEINFO_FACTORY	Gildenschmied
GUILD_BASEINFO_GOLDMANAGE	Transaktion
GUILD_BASEINFO_GUILDLAND	Gildenland
GUILD_BASEINFO_LANDABANDON	Gildenland auflösen
GUILD_BASEINFO_LANDSCAPE	Sonstige
GUILD_BASEINFO_LOCALE	Standort
GUILD_BASEINFO_MONEY	Kontostand
GUILD_BASEINFO_MONEYBANKINFO	Gildenbankinformationen
GUILD_BASEINFO_MONEYIN	Einzahlung
GUILD_BASEINFO_MONEYLASTOUT	Letzte Abhebung
GUILD_BASEINFO_MONEYOUT	Auszahlung
GUILD_BASEINFO_POWER	Altar der Kraft
GUILD_BASEINFO_SMEITER	Gildenalchemist
GUILD_BASEINFO_TITLE	Landinformationen
GUILD_BASEINFO_VOTE	Umfrage
GUILD_BASENAME	Basisname
GUILD_BOARD_ID	Name
GUILD_BOARD_REFRESH	Aktualisieren
GUILD_BOARD_TEXT	Nachricht
GUILD_BUILDING_CATEGORY_TITLE	Baueinheiten
GUILD_BUILDING_CHANGE	Wechseln
GUILD_BUILDING_DIRECTION	Ausrichtung
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INFO	Gebäude- und Kosteninformationen
GUILD_BUILDING_LIST_TITLE	Gebäudeliste
GUILD_BUILDING_LOG	Stamm
GUILD_BUILDING_NAME	Gebäudename
GUILD_BUILDING_OPERATE	Bedienen
GUILD_BUILDING_PLY	Sperrholz
GUILD_BUILDING_POSITION	Lage
GUILD_BUILDING_PREVIEW	Vorschau
GUILD_BUILDING_PRICE	Preis
GUILD_BUILDING_REFRESH	Aktualisieren
GUILD_BUILDING_STONE	Fu.stein
GUILD_BUILDING_TITLE	Gildenhausbau
GUILD_CRYSTAL	Kristall
GUILD_DEPOSIT	Zahlen
GUILD_DROP_RESOURCE1	hier
GUILD_DROP_RESOURCE2	Ressource fallen lassen
GUILD_GEM	Edelstein
GUILD_GRADE_CHANGE_GRADE_NAME	Neuer Rangname
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Aus Gilde entfernen
GUILD_GRADE_PERMISSION_JOIN	Darf Spieler in die Gilde aufnehmen
GUILD_GRADE_PERMISSION_NOTICE	Darf Gildennotizen anpinnen
GUILD_GRADE_PERMISSION_SKILL	Gildenfertigkeiten
GUILD_GRADE_RANK	Rang
GUILD_GRADE_WRITE	Schreiben
GUILD_INFO	Gildeninformationen
GUILD_INFO_CUR_EXP	Erfahrung
GUILD_INFO_DECALRE_WAR	Krieg erklären
GUILD_INFO_ENEMY_GUILD	Feindliche Gilde
GUILD_INFO_ENEMY_GUILD_EMPTY	Keine
GUILD_INFO_LEVEL	Gilden-Level
GUILD_INFO_MARK	Gildenzeichen
GUILD_INFO_MASTER	Leader
GUILD_INFO_MASTER_VALUE	Leader
GUILD_INFO_MEMBER_AVG_LEVEL	Durchschnittliches Level
GUILD_INFO_MEMBER_NUM	Mitgliederzahl
GUILD_INFO_NAME	Gildenname
GUILD_INFO_NAME_VALUE	Dies ist ein Gildenname
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Nötige Erfahrung
GUILD_INFO_UPLOAD_MARK	Zeichen hochladen
GUILD_INFO_UPLOAD_SYMBOL	Flagge hochladen
GUILD_MARK	Gildenzeichen
GUILD_MEMBER_JOB	Klasse
GUILD_MEMBER_KNIGHT	Kämpfer
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Name
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	Geiststein
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Gilde
GUILD_RESOURCE_INFO	Ressourceninformationen
GUILD_SKILLPAGE_LADDER	Rangpunkte
GUILD_SKILLPAGE_RANK	Rang
GUILD_SKILL_ACTIVE	Aktiv
GUILD_SKIlL_HEAL_GSP	Aufladen
GUILD_SKILL_PASSIVE	Passiv
GUILD_SKILL_POWER	Energie
GUILD_SKILL_STATE	Fertigkeit der Gilde
GUILD_SYMBOL	Gildenflagge
GUILD_WAR_ACCEPT	Gildenkriegserklärung annehmen
GUILD_WAR_ALLSCORE	Alle Kämpfe
GUILD_WAR_BATTLE_TYPE	Kampfart
GUILD_WAR_CTF	Flagge
GUILD_WAR_DECLARE	Gildenkrieg erklären
GUILD_WAR_ENEMY	Gegner
GUILD_WAR_GAINSCORE	Punkte
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Kampfzeit
GUILD_WAR_GAMETIME_SIXTY	60 Min.
GUILD_WAR_GAMETIME_TEN	10 Min.
GUILD_WAR_GAMETIME_THIRTY	30 Min.
GUILD_WAR_JOINMEMBER	Mitglieder
GUILD_WAR_JOINMEMBER_COUNT	Mitglieder
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Feld
GUILD_WAR_REPORT	Kriegsübersicht
GUILD_WAR_REPORTLIST	Übersicht (Kämpfe: K, Siege: S, Niederlagen: N, Unentschieden: U)
GUILD_WAR_SCORE	Kriegsübersicht
GUILD_WAR_SKILL	Gildenfertigkeiten
GUILD_WAR_TYPE_DEFENSE	Schildkampf
GUILD_WAR_TYPE_DIE	Arenakampf
GUILD_WAR_TYPE_FLAG	Flaggenkampf
GUILD_WAR_TYPE_NORMAL	Feldschlacht
GUILD_WAR_TYPE_TIGER	Vernichtungskampf
GUILD_WAR_TYPE_TIME	Zeitangriff
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Runden
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Wasser
GUILD_WATER_STONE	Wasserstein
GUILD_WITHDRAW	Nehmen
HELP_ATTACK_KEY	Angreifen: linke Maustaste oder Leertaste
HELP_CHANGE_PK_MODE	Angriffsmodus wechseln: Belegung der linken Maustaste ändern
HELP_CHARACTER_BUTTON1	(Charakterfenster, Inventarfenster,
HELP_CHARACTER_BUTTON2	Freundesliste und Optionen)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Voreinstellung Kamerasicht: mittlere Maustaste
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Einstellung Kamerasicht ändern: rechte oder linke Maustaste belegen
HELP_EXP	Erfahrung
HELP_FURY	Ingame Item-Shop
HELP_GUILD_WINDOW	Gildenfenster öffnen: Alt + G
HELP_HELP	Hilfe anzeigen: H
HELP_HP	Trefferpunkte (TP)
HELP_MESSENGER_WINDOW	Freundesliste öffnen: Alt + M
HELP_MOUSE_LEFT	Funktion der linken Maustaste
HELP_MOUSE_RIGHT	Funktion der rechten Maustaste
HELP_MOVE_KEY	Steuerung: W, A, S, D oder Pfeiltasten
HELP_OPEN_CHARACTER	Charakterfenster öffnen: C
HELP_OPEN_CHAT	Chat-Fenster öffnen: Enter
HELP_OPEN_INVENTORY	Inventarfenster öffnen: I
HELP_OPEN_LOG	Chat-Protokoll (Log) öffnen: L
HELP_OPEN_MINIMAP	Minikarte öffnen: Shift + M
HELP_OPEN_QUEST	Auftragsfenster öffnen: N
HELP_OPEN_SKILL	Fertigkeitenfenster öffnen: V
HELP_OPEN_WHISPER	Flüsterfenster öffnen: Shift + Enter
HELP_OPEN_ZONEMAP	Übersichtskarte öffnen: M
HELP_PICK_ITEM	Gegenstände aufheben: ^ oder Y oder linke Maustaste
HELP_QUICKSLOT	Schnellzugriffsfelder
HELP_SCREEN_CAPTURE	Screenshot speichern: Druck bzw. Print (Speicherort ist der Ordner "Metin2\screenshot")
HELP_SHOW_ALL_NAME	Namen anzeigen: Alt
HELP_SP	Manapunkte (MP)
HELP_SYSTEM_BUTTON	Systemtasten
INVENTORY_PAGE_BUTTON_TOOLTIP	%d. Inventar
INVENTORY_TITLE	Inventar
ITEM_MALL	Item-Shop
LOAD_ERROR	Die Datendatei ist beschädigt. Bitte Client neu installieren. Drücke jetzt die Taste ESC.
LOGIN_CONNECT	Verbinden
LOGIN_CONNECTING	Du wirst mit dem Server verbunden.
LOGIN_DEFAULT_SERVERADDR	Servername, Channel 1
LOGIN_EXIT	Beenden
LOGIN_REGION_TITLE	Ort für die Rechnungsstellung wählen
LOGIN_SELECT_BUTTON	Wählen
LOGIN_SELECT_EXIT	Beenden
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Server wählen
MALL_PASSWORD_TITLE	Passwort
MALL_TITLE	Itemshop-Lager
MARKET_TITLE	Laden
MARKLIST_REFRESH	Aktualisieren
MARKLIST_TITLE	Gildenzeichen registrieren
MESSAGE	Dies ist eine Nachricht
MESSENGER_ADD_FRIEND	Freund hinzufügen
MESSENGER_DELETE_FRIEND	Löschen
MESSENGER_MOBILE	SMS senden
MESSENGER_OPEN_GUILD	Gildenfenster öffnen
MESSENGER_TITLE	Freunde
MESSENGER_USE_GUILD_MOVE_SKILL	Verwende die Gildenbewegungsfertigkeit
MESSENGER_WHISPER	Flüstern
MINIMIZE	Minimieren
MOUSEBUTTON_ATTACK	Angreifen
MOUSEBUTTON_AUTO_ATTACK	Automatisch angreifen
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Fertigkeiten
MUSICLIST_TITLE	Musikauswahl
NO	Nein
OK	OK
OPTION_ALWAYS_SHOW_NAME	Name
OPTION_ALWAYS_SHOW_NAME_OFF	begrenzt
OPTION_ALWAYS_SHOW_NAME_ON	immer
OPTION_BLOCK	Abblocken
OPTION_BLOCK_EXCHANGE	Handeln
OPTION_BLOCK_FRIEND	Freunde
OPTION_BLOCK_GUILD	Gilde
OPTION_BLOCK_PARTY	Gruppe
OPTION_BLOCK_PARTY_REQUEST	Anfrage
OPTION_BLOCK_WHISPER	Flüstern
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Fern
OPTION_CAMERA_DISTANCE_SHORT	Nah
OPTION_DELETE_MOBILE_BUTTON	Handynummer löschen
OPTION_EFFECT	Trefferanzeige
OPTION_FOG	Nebel
OPTION_FOG_DENSE	Viel
OPTION_FOG_LIGHT	Wenig
OPTION_FOG_MIDDLE	Mittel
OPTION_INPUT_MOBILE_BUTTON	Handynummer eingeben
OPTION_MOBILE	Handy
OPTION_MUSIC	Musik
OPTION_MUSIC_CHANGE	Wechseln
OPTION_MUSIC_DEFAULT_THEMA	Standardtitel von Metin2
OPTION_NAME_COLOR	Farbe Name
OPTION_NAME_COLOR_EMPIRE	Reichsfarbe
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	PvP-Modus
OPTION_PVPMODE_FREE	Frei
OPTION_PVPMODE_FREE_TOOLTIP	Du darfst alle Spieler angreifen.
OPTION_PVPMODE_GUILD	Gilde
OPTION_PVPMODE_GUILD_TOOLTIP	Du darfst alle Spieler mit Ausnahme von Gildenmitgliedern angreifen.
OPTION_PVPMODE_PEACE	Frieden
OPTION_PVPMODE_PEACE_TOOLTIP	Du darfst keine Spieler deines Reiches angreifen.
OPTION_PVPMODE_REVENGE	Feindlich
OPTION_PVPMODE_REVENGE_TOOLTIP	Du darfst nur Spieler mit einer anderen Gesinnung angreifen.
OPTION_SOUND	Effekte
OPTION_TARGET_BOARD	Zielmenü
OPTION_TARGET_BOARD_NO_VIEW	Schließen
OPTION_TARGET_BOARD_VIEW	Anzeigen
OPTION_TILING	Grafikspeicher
OPTION_TILING_APPLY	Anwenden
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Optionen
OPTION_VIEW_CHAT	Chatzeile
OPTION_VIEW_CHAT_OFF	ausblenden
OPTION_VIEW_CHAT_ON	einblenden
PARTY_MEMBER_INFO_NAME	Name des Gruppenmitglieds
PASSWORD_DESC_1	Gib dein Passwort ein,
PASSWORD_DESC_2	um das Lager zu öffnen.
PASSWORD_DESC_3	Passwort schon geändert?
PASSWORD_DESC_4	Wenn nicht, ist dein Passwort: "000000".
PASSWORD_DESC_5	Ändere dein Passwort im Lager.
PASSWORD_TITLE	Speicher-PW
PICK_MONEY_TITLE	Teilen
PRIVATE_SHOP_CLOSE_BUTTON	Laden schließen
PRIVATE_SHOP_NAME	Name des Ladens
PRIVATE_SHOP_TITLE	Privaten Laden einrichten
OFFLINE_SHOP_CREATE_TITLE	Offline-Shop einrichten
REFINE_COST	Verbesserungskosten: 0 Yang
REFINE_INFO	Wahrscheinlichkeit auf erfolgreiche Verbesserung: 100%
REFINE_TTILE	Verbesserungen
REPORT_VIOLENT_WHISPER	Petzen
RESTART_HERE	Hier neu starten
RESTART_TOWN	In der Stadt neu starten
SAFE_CHANGE_PASSWORD	Passwort ändern
SAFE_TITLE	Lager
SELECT_ATT_GRADE	STR
SELECT_CREATE	Erstellen
SELECT_DELETE	Löschen
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Name des Reiches
SELECT_EXIT	Beenden
SELECT_HP	VIT
SELECT_LEVEL	Level
SELECT_METIN_STONE_TITLE	Geiststein wählen
SELECT_NAME	Name
SELECT_NO_GUILD	Keine Gilde
SELECT_PLAYTIME	Spielzeit
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Titel auswählen
SHOP_BUY	Kaufen
SHOP_SELL	Verkaufen
SHOP_TITLE	Laden
SKILL_SUPPORT_TITLE	Standardfertigkeiten
SYSTEMOPTION_TITLE	Systemoptionen
SYSTEM_CHANGE	Charakter wechseln
SYSTEM_EXIT	Spiel beenden
SYSTEM_HELP	Hilfe
SYSTEM_LOGOUT	Ausloggen
SYSTEM_MALL	Item-Shop
SYSTEM_OPTION	Systemoptionen
TASKBAR_MONEY	Geld-Leiste
TASKBAR_CHARACTER	Charakter [C/V/B/N]
TASKBAR_CHAT	Chat-Fenster [Enter]
TASKBAR_DISABLE	Deaktiviert
TASKBAR_EXPAND	Fenster vergrößern
TASKBAR_INVENTORY	Inventar [I]
TASKBAR_MESSENGER	Freunde [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Nächstes Schnellzugriffsfeld [Umschalt+Zahl, Alt]
TASKBAR_PREV_QUICKSLOT	Vorheriges Schnellzugriffsfeld [Umschalt+Zahl]
TASKBAR_SYSTEM	Optionen[ESC]
WHISPER_BAN	Abblocken
