TOOLTIP_ACCE_ATTR_MAX_INFO	(max. %s)
ACCE_ABSORB_COST	Absorption price: %d
ACCE_ALREADY_REGISTER	This item has already been used.
ACCE_DEL_ABSORDITEM	Absorb item, destroying it in the process?
ACCE_DEL_SERVEITEM	Sash 2 will be destroyed should the combination fail.
ACCE_INITEM	Drag the items into the window.
ACCE_MAXGRADE	This has already been customised.
ACCE_NOTABSORBITEM	You cannot use a weapon or armour piece that has already been absorbed.
ACCE_NOT_SEALITEM	You cannot use any soulbound items.
ACCE_NOT_USINGITEM	You cannot combine an equipped item.
ACCE_NOT_WINDOWOPEN	You cannot use the item when the window for combination is open.
ACCE_POSSIBLE_ACCE	You can only use Shoulder Sashes.
ACCE_POSSIBLE_ACCEITEM	You can only extract bonuses from weapons and armour.
AFF_LOVE_POINT	Love points: %d%%
ALIGNMENT_NAME	Rank points:
ATTACK_ERROR_UNKNOWN	Unknown attack error: %s
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_EQUIP_IN_EXCHANGE	You cannot change your equipment whilst trading.
CANNOT_EQUIP_IN_SHOP	You cannot change your equipment whilst trading.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	You cannot open a private shop in a public area.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here. 
CANNOT_SKILL_APPROACH	I am sure that I cannot get any closer.
CANNOT_SKILL_ATTACK	I cannot attack that.
CANNOT_SKILL_DEST_IN_SAFE	The opponent is too far away.
CANNOT_SKILL_EQUIP_FISHING_ROD	I need a Fishing Pole.
CANNOT_SKILL_HAVE_TO_RIDE	I need a Horse to be able to use this. 
CANNOT_SKILL_NEED_EMPTY_BOTTLE	I do not have an empty bottle.
CANNOT_SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle.
CANNOT_SKILL_NEED_TARGET	Who is the target?
CANNOT_SKILL_NOT_ENOUGH_HP	I do not have enough HP!
CANNOT_SKILL_NOT_ENOUGH_SP	I do not have enough SP!
CANNOT_SKILL_NOT_HORSE_SKILL	I cannot use this whilst riding.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	I cannot use this skill with this weapon.
CANNOT_SKILL_NOT_YET_LEARN	I have not learned this skill.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	This only affects group members.
CANNOT_SKILL_ONLY_FOR_CORPSE	This only affects dead people.
CANNOT_SKILL_REMOVE_FISHING_ROD	I cannot use this skill with a Fishing Pole.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.
CANNOT_SKILL_USE_SELF	I cannot use this on myself.
CANNOT_SKILL_WAIT_COOLTIME	I cannot use this skill yet.
CANNOT_WHISPER_DEST_REFUSE	%s has blocked whispers.
CANNOT_WHISPER_NOT_EXIST	%s does not exist.
CANNOT_WHISPER_NOT_LOGON	%s is not online.
CANNOT_WHISPER_NO_AUTH	You do not have permission to write to this recipient.
CANNOT_WHISPER_NO_OFFLINE_MESSAGE	The offline message was not sent.
CANNOT_WHISPER_SELF_REFUSE	You can't whisper anything to anyone if you've blocked whispers.
CAN_WHISPER_OFFLINE_MESSAGE	The offline message has been sent.
CHANNEL	Channel
CHANNELING_CANNOT_LOGOUT	You cannot go back to the login screen.
CHANNEL_EMPTY_SERVER	No server
CHANNEL_NORMAL	Channel %d
CHANNEL_NOTIFY_FULL	This channel is full! Please choose another one.
CHANNEL_NOT_FIND_INFO	No information found via the Channel.
CHANNEL_PVP	Free duel
CHANNEL_SELECT_CHANNEL	Choose the channel
CHANNEL_SELECT_REGION	Choose region.
CHANNEL_SELECT_SERVER	Choose server
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Create character
CHARACTER_SELECT_MODE	Select character
CHAT_ALL	All
CHAT_BLOCK	Block
CHAT_GUILD	Guild
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	This sentence has invalid words in it.
CHAT_LOG	Show old messages [L]
CHAT_LOG_TITLE	Chat-log
