ACCE_ABSORB	Bonus Absorption
ACCE_COMBINE	Combination
ACCE_MAIN	Sash 1
ACCE_RESULT	Result
ACCE_SERVE	Sash 2
ACCEPT	OK
ATTACH_METIN_INFO	Do you want to use the Spirit Stone?
ATTACH_METIN_TITLE	Use Spirit Stone
CANCEL	Cancel
CHANGE_PASSWORD_CONFIRM	Confirm new Password
CHANGE_PASSWORD_NEW	New Password
CHANGE_PASSWORD_OLD	Old Password
CHANGE_PASSWORD_TITLE	Password Change
CHARACTER_ACTION	Emotion
CHARACTER_EMOTICON	Emotion
CHARACTER_MAIN	Character
CHARACTER_MUTUAL_ACTION	Mutual Emotion
CHARACTER_NORMAL_ACTION	Normal Emotion
CHARACTER_QUEST	Missions
CHARACTER_SKILL	Skill
CLOSE	Close
CREATE_ATT_GRADE	STR
CREATE_CREATE	Create
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Points
CREATE_MAN	Man
CREATE_NAME	Name
CREATE_NEXT	Next
CUBE_REQUIRE_MATERIAL	Required materials
CUBE_REQUIRE_MATERIAL_OR	or
CREATE_PREV	Back
CREATE_SEX	Gender
CREATE_SHAPE	Shape
CREATE_SP	INT
CREATE_STAT_RESET	Reset
CREATE_WOMAN	Woman
CUBE_TITLE	Manufacture
EMPIRE_EXIT	Exit
EMPIRE_NEXT	Next
EMPIRE_PREV	Back
EMPIRE_SELECT	Choose
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	Trade
GAMEOPTION_TITLE	Game Options
GAME_EXIT_OBSERVER	End Observer Mode
GAME_HELP	Help
GAME_QUEST	Tasks
GAME_SKILL_UP	Raise Skills
GAME_STAT_UP	Raise State
GUILDWINDOW_BASE_BUFF	Guild bonus
GUILD_BANKINFO_CLOSE	Close
GUILD_BANKINFO_NAME	Member
GUILD_BANKINFO_TITLE	Guild Warehouse Log
GUILD_BANKINFO_TYPE	Item/Currency
GUILD_BANKINFO_USETYPE	Action
GUILD_BANK_CLOSE	Close
GUILD_BANK_INFO	Store Page:
GUILD_BANK_NUMBER	Bank number
GUILD_BASEINFO_BANK	Guild Warehouse
GUILD_BASEINFO_BANKLASTOUT	Last Item Removed
GUILD_BASEINFO_BUILDING	Guild Building
GUILD_BASEINFO_DEAL	Sell Guild Territory
GUILD_BASEINFO_FACTORY	Guild Blacksmith
GUILD_BASEINFO_GOLDMANAGE	Transaction
GUILD_BASEINFO_GUILDLAND	Guild Territory
GUILD_BASEINFO_LANDABANDON	Disband Guild Territory
GUILD_BASEINFO_LANDSCAPE	Other
GUILD_BASEINFO_LOCALE	Location
GUILD_BASEINFO_MONEY	Balance
GUILD_BASEINFO_MONEYBANKINFO	Guild Bank Information
GUILD_BASEINFO_MONEYIN	Deposit
GUILD_BASEINFO_MONEYLASTOUT	Last Withdrawal
GUILD_BASEINFO_MONEYOUT	Withdrawal
GUILD_BASEINFO_POWER	Altar of Power
GUILD_BASEINFO_SMEITER	Guild Alchemist
GUILD_BASEINFO_TITLE	Territory Information
GUILD_BASEINFO_VOTE	Vote
GUILD_BASENAME	Base Name
GUILD_BOARD_ID	Name
GUILD_BOARD_REFRESH	Refresh
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_CATEGORY_TITLE	Building Units
GUILD_BUILDING_CHANGE	Change
GUILD_BUILDING_DIRECTION	Orientation
GUILD_BUILDING_GRADE	Rank
GUILD_BUILDING_INFO	Buildings and Cost Information
GUILD_BUILDING_LIST_TITLE	Building List
GUILD_BUILDING_LOG	Trunk
GUILD_BUILDING_NAME	Building name
GUILD_BUILDING_OPERATE	Operate
GUILD_BUILDING_PLY	Plywood
GUILD_BUILDING_POSITION	Position
GUILD_BUILDING_PREVIEW	Preview
GUILD_BUILDING_PRICE	Price
GUILD_BUILDING_REFRESH	Refresh
GUILD_BUILDING_STONE	Stone
GUILD_BUILDING_TITLE	Guild House Building
GUILD_CRYSTAL	Crystal
GUILD_DEPOSIT	Deposit
GUILD_DROP_RESOURCE1	Here
GUILD_DROP_RESOURCE2	Drop Resource
GUILD_GEM	Gem
GUILD_GRADE_CHANGE_GRADE_NAME	New rank name
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Remove from guild
GUILD_GRADE_PERMISSION_JOIN	May accept players to guild
GUILD_GRADE_PERMISSION_NOTICE	May compose guild messages
GUILD_GRADE_PERMISSION_SKILL	Guild skills
GUILD_GRADE_RANK	Rank
GUILD_GRADE_WRITE	Write
GUILD_INFO	Guild Information
GUILD_INFO_CUR_EXP	Experience
GUILD_INFO_DECALRE_WAR	Declare War
GUILD_INFO_ENEMY_GUILD	Enemy Guild
GUILD_INFO_ENEMY_GUILD_EMPTY	None
GUILD_INFO_LEVEL	Guild Level
GUILD_INFO_MARK	Guild Sign
GUILD_INFO_MASTER	Leader
GUILD_INFO_MASTER_VALUE	Leader
GUILD_INFO_MEMBER_AVG_LEVEL	Average Level
GUILD_INFO_MEMBER_NUM	No. of members
GUILD_INFO_NAME	Guild name
GUILD_INFO_NAME_VALUE	This is a Guild Name
GUILD_INFO_OFFER_EXP	Invest
GUILD_INFO_REST_EXP	Needed Exp.
GUILD_INFO_UPLOAD_MARK	Upload Sign
GUILD_INFO_UPLOAD_SYMBOL	Upload Flag
GUILD_MARK	Guild Sign
GUILD_MEMBER_JOB	Class
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Name
GUILD_MEMBER_RANK	Rank
GUILD_MEMBER_SPECIFIC_GRAVITY	Invested
GUILD_METIN_STONE	Spirit Stone
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Guild
GUILD_RESOURCE_INFO	Resources Information
GUILD_SKILLPAGE_LADDER	Rank Points
GUILD_SKILLPAGE_RANK	Rank
GUILD_SKILL_ACTIVE	Active
GUILD_SKIlL_HEAL_GSP	Win back Power
GUILD_SKILL_PASSIVE	Passive
GUILD_SKILL_POWER	Energy
GUILD_SKILL_STATE	Skills of the Guild
GUILD_SYMBOL	Guild Flag
GUILD_WAR_ACCEPT	Accept War Declaration
GUILD_WAR_ALLSCORE	All Wars
GUILD_WAR_BATTLE_TYPE	Battle Type
GUILD_WAR_CTF	Flag
GUILD_WAR_DECLARE	Declare Guild War
GUILD_WAR_ENEMY	Enemy
GUILD_WAR_GAINSCORE	Points
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Combat Time
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_JOINMEMBER	Members
GUILD_WAR_JOINMEMBER_COUNT	Members
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Field
GUILD_WAR_REPORT	War Report
GUILD_WAR_REPORTLIST	Overview (Battles: B, Wins: W, Losses: L, Draws: D)
GUILD_WAR_SCORE	War Report
GUILD_WAR_SKILL	Guild Skills
GUILD_WAR_TYPE_DEFENSE	Shield Battle
GUILD_WAR_TYPE_DIE	Arena Battle
GUILD_WAR_TYPE_FLAG	Capture the Flag
GUILD_WAR_TYPE_NORMAL	Field Battle
GUILD_WAR_TYPE_TIGER	Annihilation
GUILD_WAR_TYPE_TIME	Time Attack
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Rounds
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Water
GUILD_WATER_STONE	Waterstone
GUILD_WITHDRAW	Take
HELP_ATTACK_KEY	Attack: left mouse button or space bar
HELP_CHANGE_PK_MODE	Change attack mode: change setting of left mouse button
HELP_CHARACTER_BUTTON1	(Character Window, Inventory Window,
HELP_CHARACTER_BUTTON2	List of Friends and Options)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Default Camera View: middle mouse button
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Alternative Camera View: assign to right or left mouse
HELP_EXP	Experience
HELP_FURY	Ingame Item Shop
HELP_GUILD_WINDOW	Open Guild Window: Alt + G
HELP_HELP	Display help: H
HELP_HP	Hit Points (HP)
HELP_MESSENGER_WINDOW	Open Friends List: Alt + M
HELP_MOUSE_LEFT	Function of the Left Mouse button
HELP_MOUSE_RIGHT	Function of the Right Mouse button
HELP_MOVE_KEY	Panel: W, A, S, D or arrow keys
HELP_OPEN_CHARACTER	Open character window: C
HELP_OPEN_CHAT	Open chat window: Enter
HELP_OPEN_INVENTORY	Open inventory window: I
HELP_OPEN_LOG	Open Chatlog: L
HELP_OPEN_MINIMAP	Open mini map: Shift + M
HELP_OPEN_QUEST	Open Task Window: N
HELP_OPEN_SKILL	Open Skill Window: V
HELP_OPEN_WHISPER	Open Whisper Window: Shift + Enter
HELP_OPEN_ZONEMAP	Open Large Map: M
HELP_PICK_ITEM	Collect Items: ` or Z or left mouse button
HELP_QUICKSLOT	Fast Access Fields
HELP_SCREEN_CAPTURE	Save Screenshot: Print (will be saved in file "Metin2\screenshot")
HELP_SHOW_ALL_NAME	Display Names: Alt
HELP_SP	Spell Points (SP)
HELP_SYSTEM_BUTTON	System buttons
