TOOLTIP_ACCE_ATTR_MAX_INFO	(max. %s)
ACCE_ABSORB_COST	Precio de la absorción: %d
ACCE_ALREADY_REGISTER	Este objeto ya se está utilizando.
ACCE_DEL_ABSORDITEM	¿Deseas absorber el objeto y destruirlo en el proceso?
ACCE_DEL_SERVEITEM	Si falla la combinación, la Estola 2 quedará destruida.
ACCE_INITEM	Arrastra los objetos a la ventana.
ACCE_MAXGRADE	Ya está personalizada.
ACCE_NOTABSORBITEM	No puedes usar un arma o armadura que ya se haya absorbido.
ACCE_NOT_SEALITEM	No puedes usar objetos que se encuentren bajo el efecto de la Unión al alma.
ACCE_NOT_USINGITEM	No puedes combinar un objeto equipado.
ACCE_NOT_WINDOWOPEN	No puedes usar el objeto mientras la ventana de combinación se encuentre abierta.
ACCE_POSSIBLE_ACCE	Solo puedes usar Estolas.
ACCE_POSSIBLE_ACCEITEM	Solo puedes extraer bonificaciones de armas y armaduras.
AFF_LOVE_POINT	Puntos de amor: %d%%
ALIGNMENT_NAME	Rank:
ATTACK_ERROR_UNKNOWN	Error desconocido de ataque: %s
CANNOT_ATTACK_DEST_IN_SAFE	El combatiente está demasiado lejos.
CANNOT_ATTACK_SELF_IN_SAFE	No puedo atacar.
CANNOT_EQUIP_IN_EXCHANGE	No puedes cambiar la armadura mientras comercias.
CANNOT_EQUIP_IN_SHOP	No puedes cambiar la armadura mientras comercias.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	No puedes abrir un almacén privado en un área pública.
CANNOT_SHOOT_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SHOOT_EMPTY_ARROW	Necesito una flecha.
CANNOT_SHOOT_SELF_IN_SAFE	No puedo hacer eso.
CANNOT_SKILL_APPROACH	Estoy seguro de que no puedo acercarme más.
CANNOT_SKILL_ATTACK	No puedo atacar.
CANNOT_SKILL_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SKILL_EQUIP_FISHING_ROD	Necesito una caña.
CANNOT_SKILL_HAVE_TO_RIDE	Necesito un caballo antes de poder usar esto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	No tengo una botella vacia.
CANNOT_SKILL_NEED_POISON_BOTTLE	No tengo una botella de veneno.
CANNOT_SKILL_NEED_TARGET	¿Quiénl es el objetivo?
CANNOT_SKILL_NOT_ENOUGH_HP	¡No tengo suficiente HP!
