ACCE_ABSORB	Absorción de las bonificaciones
ACCE_COMBINE	Combinación
ACCE_MAIN	Estola 1
ACCE_RESULT	Resultado
ACCE_SERVE	Estola 2
ACCEPT	Aceptar
ATTACH_METIN_INFO	¿Quieres usar la Piedra Espíritu?
ATTACH_METIN_TITLE	Usar Piedra Espíritu
CANCEL	Cancelar
CHANGE_PASSWORD_CONFIRM	Confirmar la nueva Contraseña
CHANGE_PASSWORD_NEW	Nueva Contraseña
CHANGE_PASSWORD_OLD	Vieja Contraseña
CHANGE_PASSWORD_TITLE	Cambio de Contraseña
CHARACTER_ACTION	Acción
CHARACTER_EMOTICON	Emoción
CHARACTER_MAIN	Carácter
CHARACTER_MUTUAL_ACTION	Acción Mútua
CHARACTER_NORMAL_ACTION	Acción Normal
CHARACTER_QUEST	Misiones
CHARACTER_SKILL	Habilidades
CLOSE	Cerrar
CREATE_ATT_GRADE	STR
CREATE_CREATE	Crear
CREATE_DEX_GRADE	DEX
CREATE_HP	Vitalidad
CREATE_LAST_POINT	Puntos
CREATE_MAN	Hombre
CREATE_NAME	Nombre
CREATE_NEXT	Siguiente
CUBE_REQUIRE_MATERIAL	Materiales necesarios
CUBE_REQUIRE_MATERIAL_OR	or
CREATE_PREV	Atrás
CREATE_SEX	Género
CREATE_SHAPE	Forma
CREATE_SP	INT
CREATE_STAT_RESET	Resetear
CREATE_WOMAN	Mujer
CUBE_TITLE	Fabricar
EMPIRE_EXIT	Salir
EMPIRE_NEXT	Siguiente
EMPIRE_PREV	Atrás
EMPIRE_SELECT	Elegir
EXCHANGE_ACCEPT	Aceptar
EXCHANGE_TITLE	Comerciar
GAMEOPTION_TITLE	Opciones del Juego
GAME_EXIT_OBSERVER	Finalizar Modo Observador
GAME_HELP	Ayuda
GAME_QUEST	Tareas
GAME_SKILL_UP	Aumentar Habilidades
GAME_STAT_UP	Aumentar Estado
GUILDWINDOW_BASE_BUFF	Guild bonus
GUILD_BANKINFO_CLOSE	Close
GUILD_BANKINFO_NAME	Member
GUILD_BANKINFO_TITLE	Guild Warehouse Log
GUILD_BANKINFO_TYPE	Item/Currency
GUILD_BANKINFO_USETYPE	Action
GUILD_BANK_CLOSE	Close
GUILD_BANK_INFO	Store Page:
GUILD_BANK_NUMBER	Bank number
GUILD_BASEINFO_BANK	Guild Warehouse
GUILD_BASEINFO_BANKLASTOUT	Last Item Removed
GUILD_BASEINFO_BUILDING	Guild Building
GUILD_BASEINFO_DEAL	Vender territorio del gremio
GUILD_BASEINFO_FACTORY	Guild Blacksmith
GUILD_BASEINFO_GOLDMANAGE	Transaction
GUILD_BASEINFO_GUILDLAND	Guild Territory
GUILD_BASEINFO_LANDABANDON	Disband Guild Territory
GUILD_BASEINFO_LANDSCAPE	Otro
GUILD_BASEINFO_LOCALE	Location
GUILD_BASEINFO_MONEY	Balance
GUILD_BASEINFO_MONEYBANKINFO	Informacion del banco del gremio
GUILD_BASEINFO_MONEYIN	Deposit
GUILD_BASEINFO_MONEYLASTOUT	Last Withdrawal
GUILD_BASEINFO_MONEYOUT	Withdrawal
GUILD_BASEINFO_POWER	Altar of Power
GUILD_BASEINFO_SMEITER	Alquemista de Gremio
GUILD_BASEINFO_TITLE	Territory Information
GUILD_BASEINFO_VOTE	Vote
GUILD_BASENAME	Nombre Base
GUILD_BOARD_ID	Nombre
GUILD_BOARD_REFRESH	Refrescar (F5)
GUILD_BOARD_TEXT	Contenido
GUILD_BUILDING_CATEGORY_TITLE	Unidades de Construcción
GUILD_BUILDING_CHANGE	Cambiar
GUILD_BUILDING_DIRECTION	Dirección
GUILD_BUILDING_GRADE	Clasificación
GUILD_BUILDING_INFO	Información de Construcciones y Coste
GUILD_BUILDING_LIST_TITLE	Lista de Construcciones
GUILD_BUILDING_LOG	Tronco
GUILD_BUILDING_NAME	Nombre de Construcción
GUILD_BUILDING_OPERATE	Operar
GUILD_BUILDING_PLY	Chapeado
GUILD_BUILDING_POSITION	Posición
GUILD_BUILDING_PREVIEW	Vista Previa
GUILD_BUILDING_PRICE	Precio
GUILD_BUILDING_REFRESH	Refrescar (F5)
GUILD_BUILDING_STONE	Piedra
GUILD_BUILDING_TITLE	Construcción de la Casa del Gremio
GUILD_CRYSTAL	Cristal
GUILD_DEPOSIT	Depósito
GUILD_DROP_RESOURCE1	Aquí
GUILD_DROP_RESOURCE2	Dejar Recurso
GUILD_GEM	Gema
GUILD_GRADE_CHANGE_GRADE_NAME	Nuevo nombre de rango
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Expulsar
GUILD_GRADE_PERMISSION_JOIN	Invitar
GUILD_GRADE_PERMISSION_NOTICE	Escribir
GUILD_GRADE_PERMISSION_SKILL	Habilidades
GUILD_GRADE_RANK	Rango
GUILD_GRADE_WRITE	Escribir
GUILD_INFO	Información del Gremio
GUILD_INFO_CUR_EXP	Experiencia
GUILD_INFO_DECALRE_WAR	Guerra
GUILD_INFO_ENEMY_GUILD	Gremio Enemigo
GUILD_INFO_ENEMY_GUILD_EMPTY	Ninguno
GUILD_INFO_LEVEL	Nivel del Gremio
GUILD_INFO_MARK	Simbolo del Gremio
GUILD_INFO_MASTER	Líder
GUILD_INFO_MASTER_VALUE	Líder
GUILD_INFO_MEMBER_AVG_LEVEL	Nivel Medio
GUILD_INFO_MEMBER_NUM	Miembros
GUILD_INFO_NAME	Nombre Gremio
GUILD_INFO_NAME_VALUE	Esto es el nombre de un Gremio
GUILD_INFO_OFFER_EXP	Invertir
GUILD_INFO_REST_EXP	Exp. Necesaria
GUILD_INFO_UPLOAD_MARK	Subir Símbolo
GUILD_INFO_UPLOAD_SYMBOL	Subir Bandera
GUILD_MARK	Símbolo del Gremio
GUILD_MEMBER_JOB	Raza
GUILD_MEMBER_KNIGHT	Líder
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Nombre
GUILD_MEMBER_RANK	Clasificación
GUILD_MEMBER_SPECIFIC_GRAVITY	Invertir
GUILD_METIN_STONE	Piedra Espiritu
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Gremio
GUILD_RESOURCE_INFO	Información de los Recursos
GUILD_SKILLPAGE_LADDER	Rank Points
GUILD_SKILLPAGE_RANK	Rank
GUILD_SKILL_ACTIVE	Activo
GUILD_SKIlL_HEAL_GSP	Recobrar Poder
GUILD_SKILL_PASSIVE	Pasivo
GUILD_SKILL_POWER	Poder
GUILD_SKILL_STATE	Habilidades del Gremio
GUILD_SYMBOL	Bandera del Gremio
GUILD_WAR_ACCEPT	Aceptar Declaración de Guerra
GUILD_WAR_ALLSCORE	Todas las Guerras
GUILD_WAR_BATTLE_TYPE	Tipo de bat.
GUILD_WAR_CTF	Bandera
GUILD_WAR_DECLARE	Declarar Guerra de Gremios
GUILD_WAR_ENEMY	Enemigo
GUILD_WAR_GAINSCORE	Puntos
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Combat Time
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_JOINMEMBER	Members
GUILD_WAR_JOINMEMBER_COUNT	Members
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Campo
GUILD_WAR_REPORT	War Report
GUILD_WAR_REPORTLIST	Overview (Battles: B, Wins: W, Losses: L, Draws: D)
GUILD_WAR_SCORE	War Report
GUILD_WAR_SKILL	Guild Skills
GUILD_WAR_TYPE_DEFENSE	Escudo de Batalla
GUILD_WAR_TYPE_DIE	Arena Battle
GUILD_WAR_TYPE_FLAG	Capture the Flag
GUILD_WAR_TYPE_NORMAL	Field Battle
GUILD_WAR_TYPE_TIGER	Annihilation
GUILD_WAR_TYPE_TIME	Time Attack
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Rounds
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Agua
GUILD_WATER_STONE	Piedra de Agua
GUILD_WITHDRAW	Coger
HELP_ATTACK_KEY	Atacar: botón izquierdo del ratón o barra espaciadora
HELP_CHANGE_PK_MODE	- Usa Ctrl+B si quieres cambiar el modo de ataque.
HELP_CHARACTER_BUTTON1	(Abrir: Ventana de personaje, Inventario
HELP_CHARACTER_BUTTON2	y ventana de chat)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	- La vista de cámara puede ser optimizada con el botón central del ratón.
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	- La vista de cámara puede ser optimizada con la tecla Ctrl y el botón derecho del ratón.
HELP_EXP	Experiencia
HELP_FURY	Item Shop en el juego
HELP_GUILD_WINDOW	- Usa las teclas Alt+G para abrir y cerrar la ventana de gremio.
HELP_HELP	- Pulsa la tecla H o pincha en el menú del juego para ver la ayuda.
HELP_HP	Vida
HELP_MESSENGER_WINDOW	- Usa las teclas Alt+M para abrir y cerrar la ventana de mensajes.
HELP_MOUSE_LEFT	Función del botón izquierdo del ratón
HELP_MOUSE_RIGHT	Función del botón derecho del ratón,
HELP_MOVE_KEY	- Usa las teclas W, S, A, D y las flechas de dirección para mover a tu personaje.
HELP_OPEN_CHARACTER	- Pulsa la tecla C para abrir la ventana de personaje
HELP_OPEN_CHAT	- Pulsa la tecla 'Enter' para abrir la ventana de chat.
HELP_OPEN_INVENTORY	- Pulsa la tecla I para abrir la ventana de inventario
HELP_OPEN_LOG	- Pulsa la tecla L para abrir el log del chat
HELP_OPEN_MINIMAP	- Pulsa la tecla shift y la tecla M para abrir y cerrar el minimapa.
HELP_OPEN_QUEST	- Presiona la tecla N para abrir la ventana de tareas
HELP_OPEN_SKILL	- Presiona la tecla V para abrir la ventana de habilidades
HELP_OPEN_WHISPER	- Presiona la tecla Shift+Intro para abrir la ventana de susurro
HELP_OPEN_ZONEMAP	- Pulsa la tecla M para abrir y cerrar el mapa
HELP_PICK_ITEM	- Presiona la tecla º para recoger objetos
HELP_QUICKSLOT	Campo de Acceso Rápido
HELP_SCREEN_CAPTURE	- Presiona el botón ImprPant para realizar una captura de pantalla. Esta captura de pantalla se guardará en Archivos de Programa/Metin2_Spain
HELP_SHOW_ALL_NAME	- Presiona la tecla Alt para mostrar los nombres de todos los personajes y objetos a la vista.
HELP_SP	Puntos de Hechizo (PH)
HELP_SYSTEM_BUTTON	Botón de Sistema
INVENTORY_PAGE_BUTTON_TOOLTIP	%d. Inventory
INVENTORY_TITLE	Inventario
ITEM_MALL	Item Shop
LOAD_ERROR	El archivo está dañado. Por favor, reinstálalo de nuevo. Presiona ESC ahora.
LOGIN_CONNECT	Conectar
LOGIN_CONNECTING	Serás conectado al servidor
LOGIN_DEFAULT_SERVERADDR	Nombre del Servidor, Canal 1
LOGIN_EXIT	Salir
LOGIN_REGION_TITLE	Escoje el lugar para emitir una factura.
LOGIN_SELECT_BUTTON	Elegir
LOGIN_SELECT_EXIT	Salir
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Elegir Servidor
MALL_PASSWORD_TITLE	Contraseña
MALL_TITLE	Almacén del Mercado de Objetos
MARKET_TITLE	Cargar
MARKLIST_REFRESH	Refrescar
MARKLIST_TITLE	Registrar Signo de Gremio
MESSAGE	This is a Message
MESSENGER_ADD_FRIEND	Añadir Amigo
MESSENGER_DELETE_FRIEND	Borrar Amigo
MESSENGER_MOBILE	Enviar Mensaje de Texto
MESSENGER_OPEN_GUILD	Abrir Ventana del Gremio
MESSENGER_TITLE	Amigos
MESSENGER_USE_GUILD_MOVE_SKILL	Usar la Habilidad de Movimiento del Gremio
MESSENGER_WHISPER	Susurro
MINIMIZE	Minimizar
MOUSEBUTTON_ATTACK	Atacar
MOUSEBUTTON_AUTO_ATTACK	Atacar automáticamente
MOUSEBUTTON_CAMERA	Perspectiva
MOUSEBUTTON_SKILL	Habilidades
MUSICLIST_TITLE	Elección de Música
NO	No
OK	OK
OPTION_ALWAYS_SHOW_NAME	Nombre
OPTION_ALWAYS_SHOW_NAME_OFF	Limitado
OPTION_ALWAYS_SHOW_NAME_ON	Siempre
OPTION_BLOCK	Bloquear
OPTION_BLOCK_EXCHANGE	Comerciar
OPTION_BLOCK_FRIEND	Amigo
OPTION_BLOCK_GUILD	Gremio
OPTION_BLOCK_PARTY	Grupo
OPTION_BLOCK_PARTY_REQUEST	Petición
OPTION_BLOCK_WHISPER	Susurro
OPTION_CAMERA_DISTANCE	Cámara
OPTION_CAMERA_DISTANCE_LONG	Lejana
OPTION_CAMERA_DISTANCE_SHORT	Cercana
OPTION_DELETE_MOBILE_BUTTON	Borrar Número de Teléfono Móvil
OPTION_EFFECT	Inf. de golpe
OPTION_FOG	Niebla
OPTION_FOG_DENSE	Densa
OPTION_FOG_LIGHT	Ligera
