VNUM	LOCALE_NAME
101	Perro Salvaje
102	Lobo
103	Lobo Alfa
104	Lobo Azul
105	Lobo Alfa Azul
106	Lobo Gris
107	Lobo Alfa Gris
108	Jabalí
109	Jabalí Rojo
110	Oso
111	Oso Pardo
112	Oso Negro
113	Oso Marrón
114	Tigre
115	Tigre Blanco
131	Lobo Maldito
132	Lobo Alfa Maldito
133	Lobo Azul Maldito
134	Lobo Alfa Azul Maldito
135	Lobo Gris Maldito
136	Lobo Alfa Gris Maldito
137	Jabalí Maldito
138	Jabalí Rojo Maldito
139	Oso Maldito
140	Oso Pardo Maldito
141	Oso Negro Maldito
142	Oso Marrón Maldito
143	Tigre Maldito
144	Tigre Blanco Maldito
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Perro Callejero Hambr.
172	Lobo Hambriento
173	Lobo Alfa Hambriento
174	Lobo Azul Hambriento
175	Lobo AlfaAzul Hambriento
176	Lobo Gris Hambriento
177	Lobo AlfaGris Hambriento
178	Jabalí Hambriento
179	Jabalí Rojo Hambriento
180	Oso Hambriento
181	Oso Pardo Hambriento
182	Oso Negro Hambriento
183	Oso Marrón Hambriento
184	Tigre Hambriento
185	Tigre Blanco Hambriento
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Soldado Juramento Blanco
302	Arquera Juramento Blanco
303	General Juramento Blanco
304	Comandante Juram. Blanco
331	Soldado Juramento Blanco
332	Arquera Juramento Blanco
333	General Juramento Blanco
334	Comandante Juram. Blanco
351	Soldado Jura Bl. Cobarde
352	Arquera Jura Bl. Cobarde
353	Gener. Jura Bl. Cobarde
354	Coman. Jura Bl. Cobarde
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Mi-Jung Desanimada
396	Eun-Jung Desanimada
397	Se-Rang Desanimada
398	Jin-Hee Desanimada
401	Soldado Viento Negro
402	Maníaco Viento Negro
403	Arquero Viento Negro
404	Jak-To Viento Negro
405	To-Su Viento Negro
406	Gu-Ryung Viento Negro
431	Soldado Tormenta Negra
432	Maníaco Tormenta Negra
433	Arquero Tormenta Negra
434	Joh-Hwan Tormenta Negra
435	Kyuk-Jang Tormenta Negra
436	Pho-Hwan Tormenta Negra
451	Soldado Torm. Negra Mal,
452	Maníaco Torm. Negra Mal.
453	Arquero Torm. Negra Mal.
454	Joh-Hwan Torm. Negra Mal
455	Kyuk-Ja Torm. Negra Mal.
456	Pho-Hwa Torm. Negra Mal.
460	lobo de jardín
461	trabajador de la abeja
462	guerrero de la abeja
463	Planta Hambrienta 
464	planta carnívora
465	Criatura raíz
466	soldado de jardín
467	Jardín General
468	Planta Malvada
469	palnta grande
470	Evil big plant
471	raguwan
472	tirano de jardín
473	planta carnívora
474	Criatura raíz
475	soldado de jardín
476	Jardín General
477	brut planta carnívora
478	brut criatura raíz
479	brut soldado de jardín
480	Brut. garden general
481	abejas infectadas
491	Mahon
492	bo
493	Goo-Pae
494	Chuong
501	Sold. Infantería Salvaje
502	Siervo Salvaje
503	Arquero Salvaje
504	General Salvaje
531	Soldado Bestial
532	Maníaco Bestial
533	Arquero Bestial
534	Especialista Bestial
551	Infantería Salv. Fuerte
552	Siervo Salvaje Fuerte
