TOOLTIP_ACCE_ATTR_MAX_INFO	(max. %s)
ACCE_ABSORB_COST	Prix de l'absorption : %d
ACCE_ALREADY_REGISTER	Cet objet a déjà été utilisé.
ACCE_DEL_ABSORDITEM	Absorber et détruire l'objet ?
ACCE_DEL_SERVEITEM	L'étole 2 sera détruite en cas d'échec de la fusion.
ACCE_INITEM	Glissez les objets dans la fenêtre.
ACCE_MAXGRADE	Le rang rare est déjà atteint.
ACCE_NOTABSORBITEM	Vous ne pouvez plus utilisez une arme/armure ayant déjà fait l'objet d'une absorption.
ACCE_NOT_SEALITEM	Vous ne pouvez pas utiliser un objet lié à l'âme.
ACCE_NOT_USINGITEM	Vous ne pouvez pas fusionner un objet équipé.
ACCE_NOT_WINDOWOPEN	Vous ne pouvez pas utiliser cet objet tant que la fenêtre de fusion est ouverte.
ACCE_POSSIBLE_ACCE	Vous pouvez uniquement utiliser des étoles.
ACCE_POSSIBLE_ACCEITEM	Vous pouvez uniquement extraire des bonus à partir d'armes et d'armures.
AFF_LOVE_POINT	Point d'amour : %d%%
ALIGNMENT_NAME	Points de grade :
ATTACK_ERROR_UNKNOWN	Erreur d'attaque inconnue : %s
CANNOT_ATTACK_DEST_IN_SAFE	L'adversaire est trop loin.
CANNOT_ATTACK_SELF_IN_SAFE	Je ne peux pas attaquer.
CANNOT_EQUIP_IN_EXCHANGE	Vous ne pouvez pas changer d'équipement pendant un échange.
CANNOT_EQUIP_IN_SHOP	Vous ne pouvez pas changer d'équipement pendant une transaction.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Vous ne pouvez pas ouvrir un magasin dans un espace public.
CANNOT_SHOOT_DEST_IN_SAFE	L'adversaire est trop loin.
CANNOT_SHOOT_EMPTY_ARROW	J'ai besoin d'une flèche.
CANNOT_SHOOT_SELF_IN_SAFE	Je ne peux pas attaquer l'adversaire d'ici.
CANNOT_SKILL_APPROACH	Je suis sûr que je ne peux pas aller au contact.
CANNOT_SKILL_ATTACK	Je ne peux pas attaquer ça.
CANNOT_SKILL_DEST_IN_SAFE	L'ennemi est trop éloigné.
CANNOT_SKILL_EQUIP_FISHING_ROD	J'ai besoin d'une canne à pêche.
CANNOT_SKILL_HAVE_TO_RIDE	Je dois avoir un cheval avant de pouvoir utiliser ceci.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Je n'ai pas de bouteille vide.
CANNOT_SKILL_NEED_POISON_BOTTLE	Je n'ai pas de fiole de poison.
CANNOT_SKILL_NEED_TARGET	Qui est la cible ?
CANNOT_SKILL_NOT_ENOUGH_HP	Je n'ai pas assez de PV !
CANNOT_SKILL_NOT_ENOUGH_SP	Je n'ai pas assez de PM !
