ACCE_ABSORB	Absorption des bonus
ACCE_COMBINE	Fusion
ACCE_MAIN	Étole 1
ACCE_RESULT	Résultat
ACCE_SERVE	Étole 2
ACCEPT	OK
ATTACH_METIN_INFO	Utiliser la pierre d'esprit ?
ATTACH_METIN_TITLE	La pierre d'Esprit a été liée
CANCEL	Annuler
CHANGE_PASSWORD_CONFIRM	Confirmer le nouveau mot de passe
CHANGE_PASSWORD_NEW	Nouveau mot de passe
CHANGE_PASSWORD_OLD	Ancien mot de passe
CHANGE_PASSWORD_TITLE	Changement de mot de passe
CHARACTER_ACTION	Action
CHARACTER_EMOTICON	Emotion
CHARACTER_MAIN	Personnage
CHARACTER_MUTUAL_ACTION	Action partagée
CHARACTER_NORMAL_ACTION	Action normale
CHARACTER_QUEST	Missions
CHARACTER_SKILL	Compétence
CLOSE	Fermer
CREATE_ATT_GRADE	STR
CREATE_CREATE	Créer
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Points
CREATE_MAN	Homme
CREATE_NAME	Nom
CREATE_NEXT	Suivant
CUBE_REQUIRE_MATERIAL	Matériaux nécessaires
CUBE_REQUIRE_MATERIAL_OR	ou
CREATE_PREV	Précédent
CREATE_SEX	Genre
CREATE_SHAPE	Forme
CREATE_SP	INT
CREATE_STAT_RESET	Réinitialiser
CREATE_WOMAN	Femme
CUBE_TITLE	Artisanat
EMPIRE_EXIT	Sortie
EMPIRE_NEXT	Suivant
EMPIRE_PREV	Précédent
EMPIRE_SELECT	Choisir
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	Echanger
GAMEOPTION_TITLE	Options de jeu
GAME_EXIT_OBSERVER	Fin du mode observateur
GAME_HELP	Aide
GAME_QUEST	Missions
GAME_SKILL_UP	Monter une compétence
GAME_STAT_UP	Monter une caractéristique
GUILDWINDOW_BASE_BUFF	Bonus de guilde
GUILD_BANKINFO_CLOSE	Fermer
GUILD_BANKINFO_NAME	Membre
GUILD_BANKINFO_TITLE	Historique de guilde
GUILD_BANKINFO_TYPE	Objet/devise
GUILD_BANKINFO_USETYPE	Action
GUILD_BANK_CLOSE	Fermer
GUILD_BANK_INFO	Entrepôt :
GUILD_BANK_NUMBER	N° de banque
GUILD_BASEINFO_BANK	Entrepôt de guilde
GUILD_BASEINFO_BANKLASTOUT	Dernier élément
GUILD_BASEINFO_BUILDING	Bâtiment de guilde
GUILD_BASEINFO_DEAL	Vendre le terrain de guilde
GUILD_BASEINFO_FACTORY	Forgeron de guilde
GUILD_BASEINFO_GOLDMANAGE	Transaction
GUILD_BASEINFO_GUILDLAND	Terrain de guilde
GUILD_BASEINFO_LANDABANDON	Dissoudre le terrain de guilde
GUILD_BASEINFO_LANDSCAPE	Autre
GUILD_BASEINFO_LOCALE	Emplacement
GUILD_BASEINFO_MONEY	Solde du compte
GUILD_BASEINFO_MONEYBANKINFO	Information sur la banque de guilde
GUILD_BASEINFO_MONEYIN	Versement
GUILD_BASEINFO_MONEYLASTOUT	Dernier retrait
GUILD_BASEINFO_MONEYOUT	Paiement
GUILD_BASEINFO_POWER	Autel du pouvoir
GUILD_BASEINFO_SMEITER	Alchimiste de guilde
GUILD_BASEINFO_TITLE	Informations du terrain
GUILD_BASEINFO_VOTE	Sondage
GUILD_BASENAME	Nom de base
GUILD_BOARD_ID	Nom
GUILD_BOARD_REFRESH	Rafraîchir
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_CATEGORY_TITLE	Éléments de bâtiment
GUILD_BUILDING_CHANGE	Changer
GUILD_BUILDING_DIRECTION	Orientation
GUILD_BUILDING_GRADE	Grade
GUILD_BUILDING_INFO	Bâtiments et prix indicatif
GUILD_BUILDING_LIST_TITLE	Liste des bâtiments
GUILD_BUILDING_LOG	Tronc
GUILD_BUILDING_NAME	Nom du bâtiment
GUILD_BUILDING_OPERATE	Actionner
GUILD_BUILDING_PLY	ply
GUILD_BUILDING_POSITION	Situation
GUILD_BUILDING_PREVIEW	Voir
GUILD_BUILDING_PRICE	price
GUILD_BUILDING_REFRESH	Rafraîchir
GUILD_BUILDING_STONE	stone
GUILD_BUILDING_TITLE	Bâtiment de Guilde
GUILD_CRYSTAL	Cristal
GUILD_DEPOSIT	Depôt
GUILD_DROP_RESOURCE1	Ici
GUILD_DROP_RESOURCE2	Ressources obtenues
GUILD_GEM	Gemme
GUILD_GRADE_CHANGE_GRADE_NAME	Nouveau nom de grade
GUILD_GRADE_NUM	N°
GUILD_GRADE_PERMISSION_DELETE	Bannir de la guilde
GUILD_GRADE_PERMISSION_JOIN	Est autorisé à accepter de nouveaux membres de guilde.
GUILD_GRADE_PERMISSION_NOTICE	Est autorisé à afficher des notes de guilde.
GUILD_GRADE_PERMISSION_SKILL	Compétences de guilde
GUILD_GRADE_RANK	Grade
GUILD_GRADE_WRITE	Ecrire
GUILD_INFO	Information sur la Guilde
GUILD_INFO_CUR_EXP	Expérience
GUILD_INFO_DECALRE_WAR	Déclarer la guerre
GUILD_INFO_ENEMY_GUILD	Guilde ennemie
GUILD_INFO_ENEMY_GUILD_EMPTY	aucune
GUILD_INFO_LEVEL	Niveau de la Guilde
GUILD_INFO_MARK	Symbole de Guilde
GUILD_INFO_MASTER	Chef
GUILD_INFO_MASTER_VALUE	Chef
GUILD_INFO_MEMBER_AVG_LEVEL	Niveau moyen
GUILD_INFO_MEMBER_NUM	Nombre de membres
GUILD_INFO_NAME	Nom de la Guilde
GUILD_INFO_NAME_VALUE	C'est un nom de Guilde
GUILD_INFO_OFFER_EXP	Engager
GUILD_INFO_REST_EXP	Expérience requise
GUILD_INFO_UPLOAD_MARK	Télécharger symbole
GUILD_INFO_UPLOAD_SYMBOL	Télécharger drapeau
GUILD_MARK	Symbole de Guilde
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Combattant
GUILD_MEMBER_LEVEL	Niveau
GUILD_MEMBER_NAME	Nom
GUILD_MEMBER_RANK	Grade
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	Pierre d'Esprit
GUILD_MINENAL	Minerai
GUILD_MONEY	Yang
GUILD_NAME	Guilde
GUILD_RESOURCE_INFO	Information sur les ressources
GUILD_SKILLPAGE_LADDER	Points de grade
GUILD_SKILLPAGE_RANK	Rang
GUILD_SKILL_ACTIVE	Active
GUILD_SKIlL_HEAL_GSP	Récupérer un Esprit de Dragon
GUILD_SKILL_PASSIVE	Passive
GUILD_SKILL_POWER	Énergie
GUILD_SKILL_STATE	Compétences de la Guilde
GUILD_SYMBOL	Drapeau de Guilde
GUILD_WAR_ACCEPT	Accepter la déclaration de guerre
GUILD_WAR_ALLSCORE	Tous les combats
GUILD_WAR_BATTLE_TYPE	Type de bataille
GUILD_WAR_CTF	Drapeau
GUILD_WAR_DECLARE	Déclarer la guerre à une Guilde
GUILD_WAR_ENEMY	Ennemi
GUILD_WAR_GAINSCORE	Points
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Durée du combat
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_JOINMEMBER	Membres
GUILD_WAR_JOINMEMBER_COUNT	Membres
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Champ
GUILD_WAR_REPORT	Aperçu combat
GUILD_WAR_REPORTLIST	Aperçu (combats : C, victoires : V, défaites : D, nul : N)
GUILD_WAR_SCORE	Aperçu combat
GUILD_WAR_SKILL	Compétences de guilde
GUILD_WAR_TYPE_DEFENSE	Combat de bouclier
GUILD_WAR_TYPE_DIE	Combat en arène
GUILD_WAR_TYPE_FLAG	Combat de drapeau
GUILD_WAR_TYPE_NORMAL	Champ de bataille
GUILD_WAR_TYPE_TIGER	Combat à mort
GUILD_WAR_TYPE_TIME	Attaque minutée
GUILD_WAR_WARP	Arène
GUILD_WAR_WIN	Parties
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Eau
GUILD_WATER_STONE	Pierre d'eau
GUILD_WITHDRAW	Prendre
HELP_ATTACK_KEY	Attaque : espace ou bouton gauche de la souris
HELP_CHANGE_PK_MODE	Changer de type d'attaque : changer configuration du bouton gauche de souris
HELP_CHARACTER_BUTTON1	(Fenêtre de perso, d'inventaire,
HELP_CHARACTER_BUTTON2	liste d'amis et options)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Paramètres de vue caméra : bouton central de la souris.
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Paramètres de modification de la vue caméra : appuyer sur bouton droite ou gauche de la souris.
HELP_EXP	Expérience
HELP_FURY	Boutique intrajeu
HELP_GUILD_WINDOW	Ouvrir fenêtre de guilde : Alt + G
HELP_HELP	Afficher l'aide : H
HELP_HP	Points de Vie (PV)
HELP_MESSENGER_WINDOW	Ouvrir liste d'amis : Alt + M
HELP_MOUSE_LEFT	Fonction du bouton gauche de la souris
HELP_MOUSE_RIGHT	Fonction du bouton droite de la souris
HELP_MOVE_KEY	Déplacements : Z, Q, S, D ou les flèches du clavier
HELP_OPEN_CHARACTER	Ouvrir fenêtre du personnage : C
