TOOLTIP_ACCE_ATTR_MAX_INFO	(μεγ. %s)
ACCE_ABSORB_COST	Τιμή απορρόφησης: %d
ACCE_ALREADY_REGISTER	Αυτό το αντικείμενο έχει ήδη χρησιμοποιηθεί.
ACCE_DEL_ABSORDITEM	Απορρόφηση αντικειμένου και καταστροφή του;
ACCE_DEL_SERVEITEM	Η Κορδέλα 2 θα καταστραφεί αν αποτύχει ο συνδυασμός.
ACCE_INITEM	Τράβα τα αντικείμενα στο παράθυρο.
ACCE_MAXGRADE	Αυτό είναι ήδη ραμμένο στα μέτρα σου.
ACCE_NOTABSORBITEM	Δεν μπορείς να χρησιμοποιήσεις όπλο/πανοπλία που έχει ήδη απορροφηθεί.
ACCE_NOT_SEALITEM	Δεν μπορείς να χρησιμοποιήσεις ένα ψυχικά δεμένο αντικείμενο.
ACCE_NOT_USINGITEM	Ένα εξοπλισμένο αντικείμενο δεν μπορεί να συνδυαστεί.
ACCE_NOT_WINDOWOPEN	Δεν μπορείς να χρησιμοποιήσεις το αντικείμενο όσο είναι ανοιχτό το παράθυρο συνδυασμού.
ACCE_POSSIBLE_ACCE	Μπορείς να χρησιμοποιήσεις μόνο κορδέλες ώμων.
ACCE_POSSIBLE_ACCEITEM	Μπορείς να εξάγεις μπόνους μόνο από όπλα και πανοπλίες.
AFF_LOVE_POINT	Πόντοι αγάπης: %d%%
ALIGNMENT_NAME	Πόντοι κατάταξης:
ATTACK_ERROR_UNKNOWN	Άγνωστο Λάθος Επίθεσης: %s
CANNOT_ATTACK_DEST_IN_SAFE	Ο αντίπαλος είναι πολύ μακριά.
CANNOT_ATTACK_SELF_IN_SAFE	Δεν μπορώ να επιτεθώ στον αντίπαλο από εδώ.
CANNOT_EQUIP_IN_EXCHANGE	Δε μπορείς να αλλάξεις πανοπλία ενώ κάνεις εμπόριο.
CANNOT_EQUIP_IN_SHOP	Δεν μπορείς να αλλάξεις πανοπλία ενώ κάνεις εμπόριο.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Δεν μπορείς να ανοίξεις την ιδιωτική αποθήκη σε δημόσιο χώρο.
CANNOT_SHOOT_DEST_IN_SAFE	Ο εχθρός είναι πολύ μακριά.
CANNOT_SHOOT_EMPTY_ARROW	Χρειάζομαι ένα Βέλος.
CANNOT_SHOOT_SELF_IN_SAFE	Δεν μπορώ να επιτεθώ στον αντίπαλο από εδώ.
CANNOT_SKILL_APPROACH	Δεν μπορώ να πλησιάσω περισσότερο.
CANNOT_SKILL_ATTACK	Δεν μπορώ να επιτεθώ σ' αυτό.
CANNOT_SKILL_DEST_IN_SAFE	Ο εχθρός είναι πολύ μακριά.
CANNOT_SKILL_EQUIP_FISHING_ROD	Χρειάζομαι ένα Καλάμι Ψαρέματος.
CANNOT_SKILL_HAVE_TO_RIDE	Χρειάζομαι πρώτα ένα άλογο για να μπορέσω να το χρησιμοποιήσω αυτό.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Δεν έχω άδειο Μπουκάλι.
CANNOT_SKILL_NEED_POISON_BOTTLE	Δεν έχω Μπουκάλι Δηλητηρίου.
CANNOT_SKILL_NEED_TARGET	Ποιος είναι ο στόχος;
CANNOT_SKILL_NOT_ENOUGH_HP	Δεν έχω αρκετούς HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Δεν έχω αρκετούς SP!
CANNOT_SKILL_NOT_HORSE_SKILL	Δεν μπορώ να το χρησιμοποιήσω ενώ ιππεύω.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Δνε μπορώ να χρησιμοποιήσω αυτή την Ικανότητα με αυτό το όπλο.
CANNOT_SKILL_NOT_YET_LEARN	Δεν έχω μάθει αυτή την Ικανότητα.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Αυτό επηρεάζει μόνο μέλη της ομάδας.
CANNOT_SKILL_ONLY_FOR_CORPSE	Αυτό επηρεάζει μόνο νεκρούς.
CANNOT_SKILL_REMOVE_FISHING_ROD	Δεν μπορώ να χρησιμοποιήσω αυτή την Ικανότητα με Καλάμι Ψαρέματος.
CANNOT_SKILL_SELF_IN_SAFE	Δε μπορώ να επιτεθώ από εδώ.
CANNOT_SKILL_USE_SELF	Δεν μπορώ να το χρησιμοποιήσω στον εαυτό μου.
CANNOT_SKILL_WAIT_COOLTIME	Δεν μπορώ να χρησιμοποιήσω αυτή την Ικανότητα ακόμη.
CANNOT_WHISPER_DEST_REFUSE	%s έχει μπλοκάρει τους ψιθύρους.
CANNOT_WHISPER_NOT_EXIST	%s δεν υπάρχει
CANNOT_WHISPER_NOT_LOGON	%s Δεν είναι συνδεδεμένος
