ACCE_ABSORB	Απορρόφηση των μπόνους
ACCE_COMBINE	Συνδυασμός
ACCE_MAIN	Κορδέλα 1
ACCE_RESULT	Αποτέλεσμα
ACCE_SERVE	Κορδέλα 2
ACCEPT	ΟΚ
ATTACH_METIN_INFO	Θέλεις να χρησιμοποιήσεις έναν Λίθο Πνεύματος;
ATTACH_METIN_TITLE	Χρήση Λίθου Πνεύματος
CANCEL	Ακύρωση
CHANGE_PASSWORD_CONFIRM	Επιβεβαίωση νέου συνθηματικού
CHANGE_PASSWORD_NEW	Νέο συνθηματικό
CHANGE_PASSWORD_OLD	Παλιό συνθηματικό
CHANGE_PASSWORD_TITLE	Αλλαγή συνθηματικού
CHARACTER_ACTION	Ενέργειες
CHARACTER_EMOTICON	Συναίσθημα
CHARACTER_MAIN	Χαρακτήρας
CHARACTER_MUTUAL_ACTION	Αλληλεπιδράσεις
CHARACTER_NORMAL_ACTION	Κανονικές ενέργειες
CHARACTER_QUEST	Αποστολές
CHARACTER_SKILL	Ικανότητες
CLOSE	Κλείσιμο
CREATE_ATT_GRADE	STR
CREATE_CREATE	Δημιούργησε
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Βαθμοί
CREATE_MAN	Άντρας
CREATE_NAME	Όνομα
CREATE_NEXT	Επόμενο
CUBE_REQUIRE_MATERIAL	Απαιτούμενα υλικά
CUBE_REQUIRE_MATERIAL_OR	ή
CREATE_PREV	Πίσω
CREATE_SEX	Φύλο
CREATE_SHAPE	Εμφάνιση
CREATE_SP	INT
CREATE_STAT_RESET	Επαναφορά
CREATE_WOMAN	Γυναίκα
CUBE_TITLE	Κατασκεύασε
EMPIRE_EXIT	Έξοδος
EMPIRE_NEXT	Επόμενο
EMPIRE_PREV	Πίσω
EMPIRE_SELECT	Επιλογή
EXCHANGE_ACCEPT	ΟΚ
EXCHANGE_TITLE	Εμπόριο
GAMEOPTION_TITLE	Επιλογές Παιχνιδιού
GAME_EXIT_OBSERVER	Τέλος Observer Mode
GAME_HELP	Βοήθεια
GAME_QUEST	Αποστολές
GAME_SKILL_UP	Αύξηση ικανοτήτων
GAME_STAT_UP	Αύξηση Κατάστασης
GUILDWINDOW_BASE_BUFF	Μπόνους συντεχνίας
GUILD_BANKINFO_CLOSE	Κλείσιμο
GUILD_BANKINFO_NAME	Μέλος
GUILD_BANKINFO_TITLE	Αρχείο Αποθήκης συντεχνίας
GUILD_BANKINFO_TYPE	Αντικείμ./Νόμισμα
GUILD_BANKINFO_USETYPE	Προσφορά
GUILD_BANK_CLOSE	Κλείσιμο
GUILD_BANK_INFO	Σελ. αποθ.:
GUILD_BANK_NUMBER	Αριθ. τράπ.
GUILD_BASEINFO_BANK	Αποθήκη συντεχνίας
GUILD_BASEINFO_BANKLASTOUT	Τελ. ανάλ. αντ.
GUILD_BASEINFO_BUILDING	Κτίριο συντεχνίας
GUILD_BASEINFO_DEAL	Πώληση γης συντεχνίας
GUILD_BASEINFO_FACTORY	Σιδεράς συντεχνίας
GUILD_BASEINFO_GOLDMANAGE	Συναλλαγή
GUILD_BASEINFO_GUILDLAND	Γη συντεχνίας
GUILD_BASEINFO_LANDABANDON	Διάλυση συντεχνίας
GUILD_BASEINFO_LANDSCAPE	Άλλα
GUILD_BASEINFO_LOCALE	Τοποθεσία
GUILD_BASEINFO_MONEY	Κατάσταση λογαριασμού
GUILD_BASEINFO_MONEYBANKINFO	Πληροφορίες τράπεζας συντεχνίας
GUILD_BASEINFO_MONEYIN	Κατάθεση
GUILD_BASEINFO_MONEYLASTOUT	Τελευταία ανάληψη
GUILD_BASEINFO_MONEYOUT	Ανάληψη
GUILD_BASEINFO_POWER	Βωμός της Δύναμης
GUILD_BASEINFO_SMEITER	Αλχημιστής συντεχνίας
GUILD_BASEINFO_TITLE	Στοιχεία γης
