TOOLTIP_ACCE_ATTR_MAX_INFO	(max. %s)
ACCE_ABSORB_COST	Abszorpció ára: %d
ACCE_ALREADY_REGISTER	Ez a tárgy már felhasználásra került.
ACCE_DEL_ABSORDITEM	Tárgy abszorbeálása és annak megsemmisítése?
ACCE_DEL_SERVEITEM	A Pánt 2 megsemmisül, ha a kombináció sikertelen.
ACCE_INITEM	Húzd a tárgyakat az ablakba.
ACCE_MAXGRADE	Ez már egyedivé lett téve.
ACCE_NOTABSORBITEM	Nem tudod használni azt a fegyvert vagy páncéldarabot, ami már abszorbeálva lett.
ACCE_NOT_SEALITEM	Nem használhatsz lélekhez kötött tárgyakat.
ACCE_NOT_USINGITEM	Nem kombinálhatsz felszerelt tárgyat.
ACCE_NOT_WINDOWOPEN	Nem használhatod a tárgyat, ha a kombinációs ablak meg van nyitva.
ACCE_POSSIBLE_ACCE	Csak Vállpántokat használhatsz.
ACCE_POSSIBLE_ACCEITEM	Csak fegyverekbõl és páncélokból vonhatsz ki bónuszokat.
AFF_LOVE_POINT	Szerelmi pont: %d%%
ALIGNMENT_NAME	Rang pontok:
ATTACK_ERROR_UNKNOWN	Ismeretlen Támadás Hiba: %s
CANNOT_ATTACK_DEST_IN_SAFE	Túl messze van az ellenség.
CANNOT_ATTACK_SELF_IN_SAFE	Nem tudok támadni.
CANNOT_EQUIP_IN_EXCHANGE	Nem válthatsz felszerelést, amíg kereskedsz.
CANNOT_EQUIP_IN_SHOP	Nem válthatsz felszerelést, amíg kereskedsz.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nyilvános területen nem nyithatsz magán boltot.
CANNOT_SHOOT_DEST_IN_SAFE	Az ellenség túl messze van.
CANNOT_SHOOT_EMPTY_ARROW	Szükségem van egy nyílra.
CANNOT_SHOOT_SELF_IN_SAFE	Innen nem tudom megtámadni az ellenséget.
CANNOT_SKILL_APPROACH	Biztos vagyok benne, hogy nem tudok közelebb menni.
CANNOT_SKILL_ATTACK	Nem tudom megtámadni.
CANNOT_SKILL_DEST_IN_SAFE	Túl messze az ellenség.
CANNOT_SKILL_EQUIP_FISHING_ROD	Szükségem van egy horgászbotra.
CANNOT_SKILL_HAVE_TO_RIDE	Szükségem van egy lóra, hogy fel tudjam használni.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nincs üres üvegem.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nincs méregtartóm.
CANNOT_SKILL_NEED_TARGET	Ki a célpont?
CANNOT_SKILL_NOT_ENOUGH_HP	Nincs elég TP-m!
CANNOT_SKILL_NOT_ENOUGH_SP	Nincs elég MP-m!
CANNOT_SKILL_NOT_HORSE_SKILL	Nem tudom használni, amíg lovagolok.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Ezt a készséget nem hasznosíthatom ezzel a fegyverrel.
CANNOT_SKILL_NOT_YET_LEARN	Nem tanultam ki ezt a készséget.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Csak csoporttagokra hat.
CANNOT_SKILL_ONLY_FOR_CORPSE	Csak halottakra hat.
CANNOT_SKILL_REMOVE_FISHING_ROD	Ezt a készséget nem tudom horgászbottal használni.
CANNOT_SKILL_SELF_IN_SAFE	Innen nem tudok támadni.
CANNOT_SKILL_USE_SELF	Saját magamon nem használhatom.
CANNOT_SKILL_WAIT_COOLTIME	Ezt a készséget még nem tudom bevetni.
CANNOT_WHISPER_DEST_REFUSE	%s letiltotta a súgást.
CANNOT_WHISPER_NOT_EXIST	%s nem létezik.
CANNOT_WHISPER_NOT_LOGON	%s nem online.
CANNOT_WHISPER_NO_AUTH	Nincs jogosultságod írni ennek a címzettnek.
CANNOT_WHISPER_NO_OFFLINE_MESSAGE	Az offline üzenet nem lett elküldve.
CANNOT_WHISPER_SELF_REFUSE	Nem tudsz senkinek súgni, ha a súgás teljesen le van tiltva.
CAN_WHISPER_OFFLINE_MESSAGE	Az offline üzenetet elküldtük.
CHANNEL	Csatorna
CHANNELING_CANNOT_LOGOUT	Nem léphetsz vissza a bejelentkezõ képernyõre.
CHANNEL_EMPTY_SERVER	Nem szerver
CHANNEL_NORMAL	Csatorna %d
CHANNEL_NOTIFY_FULL	Ez a csatorna telítve van! Válassz másikat.
CHANNEL_NOT_FIND_INFO	Nem találhatók információk a csatornán.
CHANNEL_PVP	Szabad párbaj
CHANNEL_SELECT_CHANNEL	Válassz csatornát
CHANNEL_SELECT_REGION	Számlakiállítás helyének választása
CHANNEL_SELECT_SERVER	Szerver választás
CHANNEL_TEST_SERVER	Szerver teszt
CHANNEL_TEST_SERVER_ADDR	Teszt %s:%d
CHARACTER_CREATE_MODE	Karakter létrehozás
CHARACTER_SELECT_MODE	Karakterválasztás
CHAT_ALL	Minden
CHAT_BLOCK	Letilt
CHAT_GUILD	Céh
CHAT_INFORMATION	Infó
CHAT_INSULT_STRING	A mondat nem megengedett szavakat tartalmaz.
CHAT_LOG	Régi hírek mutatása [L]
CHAT_LOG_TITLE	Cset-log
CHAT_NORMAL	Normális
CHAT_NOTICE	Szerver
CHAT_PARTY	Csoport
CHAT_SEND_CHAT	Cset küldés
CHAT_SEND_MEMO	Súgás küldés [Shift+Enter]
CHAT_SHOUT	Hívás
CHAT_SHOUT_LIMIT	Csak 15 másodpercenként hívhatsz
CHAT_TEAM	Csapat
CHAT_WHISPER	Súgni
CREATE_ERROR_GM_NAME	A karakter nevében nem használhatsz 'GM'-et.
CREATE_ERROR_INSULT_NAME	Ez a név nem megengedett.
CREATE_EXIST_SAME_NAME	Egy másik karakter viseli már ezt a nevet.
CREATE_FAILURE	Nem hozhatod létre a karaktert.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Add meg a nevet.
CREATE_PLUS_STAT	Még vannak szabad státusz pontok.
DAY	Nap
DO_YOU_BUY_ITEM1	Szeretnél %s-t vásárolni %s Yangért?
DO_YOU_BUY_ITEM2	Szeretnél %s-t (%s darabot) vásárolni %s Yangért?
DO_YOU_DROP_MONEY	Szeretnél %d Yangot eldobni?
DO_YOU_SELL_ITEM1	Szeretnél %s-t %s Yangért eladni?
DO_YOU_SELL_ITEM2	Szeretnél %s-t (%s darabot) %s Yangért eladni?
DO_YOU_TAKE_OUT_ITEM1	Szeretnéd eltávolítani a következőt: %s?
DO_YOU_TAKE_OUT_ITEM2	Szeretnél eltávolítani a következőt: %s %s?
DROP_ITEM_FAILURE_EQUIP_ITEM	Nem dobhatsz el egy felszerelt tárgyat.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nem dobhatsz el tárgyat, amíg a magán boltot nyitva van.
DROP_MONEY_FAILURE_1000_OVER	Maximum 999 Yangot dobhatsz el.
EMOTION_ANGRY	Mérges
EMOTION_ATTRACTIVE	Csábítás
EMOTION_BANTER	Gúnyos
EMOTION_CHEERS_1	Ünnepel 1
EMOTION_CHEERS_2	Ünnepel 2
EMOTION_CHEERUP	Ünnepel
EMOTION_CHOOSE_ONE	Válassz célt
EMOTION_CLAP	Taps
EMOTION_CLAP_KISS	Csók
EMOTION_CONGRATULATION	Gratuláció
EMOTION_DANCE_1	Tánc 1
EMOTION_DANCE_2	Tánc 2
EMOTION_DANCE_3	Tánc 3
EMOTION_DANCE_4	Tánc 4
EMOTION_DANCE_5	Tánc 5
EMOTION_FORGIVE	Megbocsátás
EMOTION_FRENCH_KISS	Nyelves csók
EMOTION_JOY	Öröm
EMOTION_SAD	Szomorú
EMOTION_SHY	Elutasítás
EMOTION_SLAP	Ütés
EMPIRE_A	Shinsoo birodalom
EMPIRE_B	Chunjo birodalom
EMPIRE_C	Jinno birodalom
EXCHANGE_CANNOT_GIVE	Ezzel a tárggyal nem lehet kereskedni.
EXCHANGE_CANT_EDIT_MONEY	Most nem változtathatod meg az összeget.
EXCHANGE_FAILURE_EQUIP_ITEM	Felszerelt tárgyakat nem cserélhetsz el.
EXCHANGE_MONEY	Összeg
EXCHANGE_TITLE	Kereskedés vele: %s (%d)
FISHING_FAILURE	Elveszítetted a csalit.
FISHING_NOTIFY1	Úgy tûnik a %s ráharapott.
FISHING_NOTIFY2	Úgy tûnik, megfogtál egy %s-t.
FISHING_SUCCESS1	%s-t fogtál!
FISHING_SUCCESS2	%s-t húztál ki a vízbõl!
FISHING_UNKNOWN	Valami elvette a csalit, de nem tudom, mi ez.
FISHING_WRONG_PLACE	Itt nem tudsz horgászni.
FOR_FEMALE	Hölgyeknek
FOR_MALE	Uraknak
GAME_CANNOT_MINING	Nem tudsz érceket bányászni, amíg lovagolsz.
GAME_CANNOT_PICK_ITEM	Nem gyûjtheted be a tárgyat, mert nem te zsákmányoltad.
GAME_INIT_ERROR_CURSOR	Az egér kurzor nem hozható létre.
GAME_INIT_ERROR_DIRECTX	A játékhoz szükséges a DirectX 8.1 installálása.\nInstalláld a DirectX 8.1-at vagy újabb verzióját.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nem talált videokártyát a játék indításához.\nEllenõrizd, hogy jól van-e installálva a VGA-kártya.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafikus eszköz nem hozható létre. \nEllenõrizd, hogy van-e VGA kártyád. \nEsetleg aktiválhatod a hardver gyorsítót.\n(Állítsd a hardver gyorsítót a maximura \nRendszer eszközök->Képernyõ->Beállítások->Haladó->Hibaelhárítás)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	A video kártya nem támogatja az ablak kezelést 32bites üzemmódban.\nVálts 16bites üzemmódra vagy használd a teljes képernyõ módot.
GAME_INIT_ERROR_ITEM_PROTO	Nincsenek adatok a tárgyakról.\nInstalláld újra a játékot.
GAME_INIT_ERROR_MAIN_WINDOW	Nem nyitható meg a fõablak.
GAME_INIT_ERROR_MOB_PROTO	Nincsenek adatok a szörnyekrõl.\nInstalláld újra a játékot.
GAME_INIT_ERROR_NETWORK	A hálózati eszköz nem indítható.\nEllenõrizd az internet kapcsolatot.
GAME_PICK_MONEY	%d Yangot kaptál.
GUILDBANK_CLEARBANK	Figyelem: A Céhraktárat ki kell üríteni!
GUILDBANK_DONT_MONEY_OUT	Nincs Yangod a céhbankban!
GUILDBANK_GOLD_IN	Betét
GUILDBANK_GOLD_OUT	Kivét
GUILDBANK_ITEM_IN	Tárol
GUILDBANK_ITEM_OUT	Eltávolít
GUILDBANK_MONEYIN	Yang betét
GUILDBANK_MONEYOUT	Yang kivét
GUILDBANK_NOTUSE	Nincs meg a szükséges jogosultságod.
GUILDBANK_NOT_ENOUGH_MONEY	Nincs elég Yangod a befizetéshez.
GUILDBANK_OVER_INCOME	Számlakorlát elérve.
GUILDBANK_OVER_MONEY	A céhszámla megtelt.
GUILDLAND_ABANDON	Céhterület elhagyása
GUILDLAND_ABANDON_VOTE	[%s] Céh területének elhagyása.
GUILDLAND_ABANDON_VOTE_RESULT1	[%s] Céh területe elhagyva.
GUILDLAND_ABANDON_VOTE_RESULT2	A céhterület el lett hagyva.
GUILDLAND_ABANDON_VOTE_RESULT3	Szavazás eredménye:
GUILDLAND_ABANDON_VOTE_RESULT4	Érvénytelen szavazás.
GUILDLAND_ABANDON_VOTE_TEXT	Tényleg el akarod indítani a szavazást?
GUILDLAND_ABANDON_VOTE_TEXT1	Egyetértesz a céhterület elhagyásával?
GUILDLAND_ACCEPT	Igen
GUILDLAND_DEAL	Céhterület eladása
GUILDLAND_DEAL_TEXT1	[%s] Céh el akarja adni
GUILDLAND_DEAL_TEXT2	a területét [%s] Yangért.
GUILDLAND_DEAL_TEXT3	Elfogadod az ajánlatot?
GUILDLAND_DELA_VOTE	A(z) [%s] céh meg akarja venni a céhterületünket.
GUILDLAND_DELA_VOTE_RESULT1	Céhterület eladva [%s] céhnek
GUILDLAND_DELA_VOTE_RESULT2	Befejezõdött a szavazás.
GUILDLAND_DELA_VOTE_RESULT3	Céhterület eladásáért történõ szavazás eredménye:
GUILDLAND_DELA_VOTE_RESULT4	Érvénytelen szavazás.
GUILDLAND_DELA_VOTE_TEXT	Melyik céhnek akarod eladni a területed?
GUILDLAND_DELA_VOTE_TEXT1	Egyetértesz a céhterület eladásával?
GUILDLAND_DONTHAVE_LAND	Nincs semmilyen céhterületed.
GUILDLAND_NOT	Nem
GUILDLAND_VOTE_TEXT	Oda akarod adni neki: [%s] a területet?
GUILDLIST_APPLICANT	Szeretnél jelentkezni?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	A magasság nem 128 pixel.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	A magasság nem 12 pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	A szélesség nem 16 pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	A szélesség nem 64 pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	A játék nem támogatja ezt a képernyõt.
GUILDMARK_UPLOADER_ERROR_PATH	Helyezd át a fájlokat a metin2/upload könyvtárba.
GUILDMARK_UPLOADER_ERROR_SELECT	Nincsenek kép fájlok kiválasztva.
GUILDVOTE_CHANGEMASTER	Céhvezér-váltás
GUILDVOTE_CHANGEMASTER_RESULT1	A céh sikeresen át lett adva.
GUILDVOTE_CHANGEMASTER_RESULT2	A(z) [%s] céh sikeresen át lett adva.
GUILDVOTE_CHANGEMASTER_RESULT3	Céh átadása [%s] tagnak
GUILDVOTE_CHANGEMASTER_RESULT4	Érvénytelen szavazás.
GUILDVOTE_CHANGEMASTER_RESULT5	Új céhvezér: [%s]
GUILDVOTE_CHANGEMASTER_TEXT1	Át akarod adni a céhet neki: [%s]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Tényleg fel akarod adni a céh vezetését?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Céh átadása [%s] tagnak
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Egyetértesz a céh vezetésének átadásával?
GUILDVOTE_MEMBEROUT	Tag eltávolítása
GUILDVOTE_MEMBEROUT_AUTH	Nincs meg a szükséges jogosultságod.
GUILDVOTE_MEMBEROUT_NOMAL	Tényleg el akarod távolítani ezt a tagot?
GUILDVOTE_MEMBEROUT_RESULT1	Tag eltávolítása: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Szavazás eredménye
GUILDVOTE_MEMBEROUT_RESULT3	El lettél távolítva a(z) [%s] céhbõl.
GUILDVOTE_MEMBEROUT_RESULT4	Szavazás eredménye
GUILDVOTE_MEMBEROUT_RESULT5	Érvénytelen szavazás.
GUILDVOTE_MEMBEROUT_TEXT1	Szavazást akarsz indítani [%s] ellen?
GUILDVOTE_MEMBEROUT_TEXT2	Szavazás: Tag eltávolítása a céhbõl?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Szavazás: El kell távolítani [%s]-t a céhbõl?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Ellene
GUILDVOTE_OK	Érte
GUILDVOTE_RESULT_AGGRE_MEMBER	Érte: %d
GUILDVOTE_RESULT_ALL_MEMBER	Résztvevõk: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Ellene: %d
GUILDVOTE_RESULT_TIME	%d nap %d óra %d perc %d másodperc
GUILDVOTE_SELECT_ONE	Válassz egy karaktert!
GUILDWAR_ALL	Csaták (Cs)
GUILDWAR_CTF_TITLE	Kapd el a zászlót
GUILDWAR_DRAW	Döntetlenek (D)
GUILDWAR_GAINSCORE_FIFTY	50 pont
GUILDWAR_GAINSCORE_HUNDRED	100 pont
GUILDWAR_GAINSCORE_THIRTY	30 pont
GUILDWAR_GAMETIME_SIXTY	60 perc
GUILDWAR_GAMETIME_TEN	10 perc
GUILDWAR_GAMETIME_THIRTY	30 perc
GUILDWAR_INPUT_OTHERGUILD	Add meg az ellenfél céhet!
GUILDWAR_LADDER	Rangpontok
