TOOLTIP_ACCE_ATTR_MAX_INFO	(max. %s)
ACCE_ABSORB_COST	Prezzo assorbimento: %d
ACCE_ALREADY_REGISTER	 Questo oggetto è già stato usato.
ACCE_DEL_ABSORDITEM	Vuoi assorbire l'oggetto, distruggendolo durante il processo?
ACCE_DEL_SERVEITEM	L'sash 2 verrà distrutta se la combinazione fallisce.
ACCE_INITEM	Trascina l'oggetto nella finestra.
ACCE_MAXGRADE	Questo è già stato personalizzato.
ACCE_NOTABSORBITEM	Non puoi usare un'arma o un pezzo di armatura che è già stato assorbito.
ACCE_NOT_SEALITEM	Non puoi usare nessun oggetto equipaggiato.
ACCE_NOT_USINGITEM	Non puoi combinare un oggetto equipaggiato.
ACCE_NOT_WINDOWOPEN	Non puoi usare l'oggetto quando la finestra di combinazione è aperta.
ACCE_POSSIBLE_ACCE	Puoi usare solo Stole.
ACCE_POSSIBLE_ACCEITEM	Puoi solamente rimuovere bonus da armi e armature.
AFF_LOVE_POINT	Punto amore: %d%%
ALIGNMENT_NAME	Punti Karma:
ATTACK_ERROR_UNKNOWN	Errore d'attacco sconosciuto: %s
CANNOT_ATTACK_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_ATTACK_SELF_IN_SAFE	Da qui non posso attaccare l'avversario.
CANNOT_EQUIP_IN_EXCHANGE	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_EQUIP_IN_SHOP	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Non puoi aprire il tuo negozio privato in un luogo pubblico.
CANNOT_SHOOT_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_SHOOT_EMPTY_ARROW	Mi serve una freccia.
CANNOT_SHOOT_SELF_IN_SAFE	Da qui non posso attaccare l'avversario.
CANNOT_SKILL_APPROACH	Sono sicuro di non riuscire ad arrivarci da più vicino.
CANNOT_SKILL_ATTACK	Non lo posso attaccare.
CANNOT_SKILL_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_SKILL_EQUIP_FISHING_ROD	Mi serve una canna da pesca.
CANNOT_SKILL_HAVE_TO_RIDE	Per utilizzarlo mi serve un cavallo.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Non ho una bottiglia vuota.
CANNOT_SKILL_NEED_POISON_BOTTLE	Non ho una bottiglia di veleno.
CANNOT_SKILL_NEED_TARGET	Chi è il bersaglio?
CANNOT_SKILL_NOT_ENOUGH_HP	Non ho abbastanza HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Non ho abbastanza MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Non lo posso utilizzare mentre cavalco.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Non posso utilizzare questa abilità con quest`arma.
CANNOT_SKILL_NOT_YET_LEARN	Non ho imparato quest`abilità.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Ha effetto solo sui membri del gruppo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Ha effetto solo sui morti.
CANNOT_SKILL_REMOVE_FISHING_ROD	Non posso utilizzare questa abilità con la mia canna da pesca.
CANNOT_SKILL_SELF_IN_SAFE	Da qui non posso attaccare.
CANNOT_SKILL_USE_SELF	Non posso usarlo su me stesso.
CANNOT_SKILL_WAIT_COOLTIME	Non sono ancora in grado di utilizzare questa abilità.
CANNOT_WHISPER_DEST_REFUSE	%s ha bloccato i PM.
CANNOT_WHISPER_NOT_EXIST	%s non esiste.
CANNOT_WHISPER_NOT_LOGON	%s non è online.
CANNOT_WHISPER_NO_AUTH	Non sei autorizzato a scrivere a questo destinatario.
CANNOT_WHISPER_NO_OFFLINE_MESSAGE	Il messaggio offline non è stato spedito.
CANNOT_WHISPER_SELF_REFUSE	Non puoi scrivere nulla a nessuno se hai bloccato i PM.
CAN_WHISPER_OFFLINE_MESSAGE	Il messaggio offline è stato inviato.
CHANNEL	Canale
CHANNELING_CANNOT_LOGOUT	Non puoi tornare alla pagina d'iscrizione.
CHANNEL_EMPTY_SERVER	Nessun server
CHANNEL_NORMAL	Canale %d
CHANNEL_NOTIFY_FULL	Questo canale è pieno! Sei pregato di sceglierne un altro.
CHANNEL_NOT_FIND_INFO	Non ricevi nessuna informazione sul canale.
CHANNEL_PVP	Duello libero
