ACCE_ABSORB	Assorbimento bonus
ACCE_COMBINE	Combinazione
ACCE_MAIN	Stola 1
ACCE_RESULT	Risultato
ACCE_SERVE	Stola 2
ACCEPT	Conferma
ATTACH_METIN_INFO	Vuoi utilizzare la Pietra Spirituale?
ATTACH_METIN_TITLE	Utilizza la Pietra Spirituale
CANCEL	Interrompi
CHANGE_PASSWORD_CONFIRM	Conferma nuova pass
CHANGE_PASSWORD_NEW	Nuova password
CHANGE_PASSWORD_OLD	Vecchia password
CHANGE_PASSWORD_TITLE	Modifica password
CHARACTER_ACTION	Azioni
CHARACTER_EMOTICON	Emozioni
CHARACTER_MAIN	Personaggio
CHARACTER_MUTUAL_ACTION	Azioni interattive
CHARACTER_NORMAL_ACTION	Azioni normali
CHARACTER_QUEST	Missioni
CHARACTER_SKILL	Abilità
CLOSE	Chiudi
CREATE_ATT_GRADE	STR
CREATE_CREATE	Imposta
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Punti
CREATE_MAN	Uomo
CREATE_NAME	Nome
CREATE_NEXT	Avanti
CUBE_REQUIRE_MATERIAL	Materiali necessari
CUBE_REQUIRE_MATERIAL_OR	o
CREATE_PREV	Indietro
CREATE_SEX	Sesso
CREATE_SHAPE	Aspetto
CREATE_SP	INT
CREATE_STAT_RESET	Indietro
CREATE_WOMAN	Donna
CUBE_TITLE	 Produzione
EMPIRE_EXIT	Fine
EMPIRE_NEXT	Avanti
EMPIRE_PREV	Indietro
EMPIRE_SELECT	Scegli
EXCHANGE_ACCEPT	Accetta
EXCHANGE_TITLE	Commercio
GAMEOPTION_TITLE	Opzioni di gioco
GAME_EXIT_OBSERVER	Termina modalità spettatore
GAME_HELP	Aiuto
GAME_QUEST	Rinuncia
GAME_SKILL_UP	Aumenta abilità.
GAME_STAT_UP	Aumenta status
GUILDWINDOW_BASE_BUFF	Bonus di Gilda
GUILD_BANKINFO_CLOSE	Chiudi
GUILD_BANKINFO_NAME	Membro
GUILD_BANKINFO_TITLE	Registro magazzino gilda
GUILD_BANKINFO_TYPE	oggetto/valuta
GUILD_BANKINFO_USETYPE	Azioni
