VNUM	LOCALE_NAME
101	Cane Selvaggio
102	Lupo
103	Lupo Alfa
104	Lupo Blu
105	Lupo Blu Alfa
106	Lupo Grigio
107	Lupo Grigio Alfa
108	Cinghiale
109	Cinghiale Rosso
110	Orso
111	Orso Grizzly
112	Orso Nero
113	Orso Bruno
114	Tigre
115	Tigre Bianca
131	Lupo Maledetto
132	Lupo Alfa Maledetto
133	Lupo Blu Maledetto
134	Lupo Blu Alfa Maledetto
135	Lupo Grigio Maledetto
136	Lupo Grigio Alfa Maled.
137	Cinghiale Maledetto
138	Cinghiale Rosso Maled.
139	Orso Maledetto
140	Orso Grizzly Maledetto
141	Orso Nero Maledetto
142	Orso Bruno Maledetto
143	Tigre Maledetta
144	Tigre Bianca Maledetta
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Cane Selvaggio Affamato
172	Lupo Affamato
173	Lupo Alfa Affamato
174	Lupo Blu Affamato
175	Lupo Blu Alfa Affamato
176	Lupo Grigio Affamato
177	Lupo Grigio Alfa Affam.
178	Cinghiale Affamato
179	Cinghiale Rosso Affamato
180	Orso Affamato
181	Orso Grizzly Affamato
182	Orso Nero Affamato
183	Orso Bruno Affamato
184	Tigre Affamata
185	Tigre Bianca Affamata
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Soldatessa Eid Bianca
302	Arciera Eid Bianca
303	Generalessa Eid Bianca
304	Comandante Eid Bianca
331	Soldatessa Eid Bianca
332	Arciera Eid Bianca
333	Generalessa Eid Bianca
334	Comandante Eid Bianca
351	Vile Soldatessa Eid Bia.
352	Vile Arciera Eid Bianca
353	Vile Generalessa Eid Bi.
354	Vile Comandante Eid Bi.
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Mi-Jung scoraggiata
396	Eun-Jung scoraggiata
397	Se-Rang scoraggiata
398	Jin-Hee scoraggiata
401	Soldato Vento Oscuro
402	Maniaco del Vento Oscuro
403	Arciere del Vento Oscuro
404	Jak-To del Vento Oscuro
405	To-Su del Vento Oscuro
406	Gu-Ryung Vento Oscuro
431	Soldato Uragano Oscuro
432	Maniaco Uragano Oscuro
433	Arciere Uragano Oscuro
434	Joh-Hwan Uragano Osc.
435	Kyuk-Jang Uragano Osc.
436	Pho-Hwan Uragano Osc.
451	Soldato Uragano Oscuro
452	Maniaco Uragano Oscuro
453	Arciere Uragano Oscuro
454	Joh-Hwan Uragano Oscuro
455	Kyuk-Jang Uragano Osc.
456	Pho-Hwan Uragano Osc.
460	Lupo del Giardino
461	Bee worker
462	Bee warrior
463	Hungry plant
464	Carnivorous plant
465	Creatura Radice
466	Soldato del Giardino
467	Generale del Giardino
468	Evil plant
469	Big plant
470	Evil big plant
471	Raguwan
472	Garden tyrant
473	Carnivorous plant
474	Creatura Radice
475	Soldato del Giardino
476	Generale del Giardino
477	Brut. carnivorous plant
478	Brut. root creature
479	Brut. garden soldier
480	Brut. garden general
481	Infected bees
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Fante Selvaggio
502	Scagnozzo Selvaggio
503	Arciere Selvaggio
504	Generale Selvaggio
531	Soldato Brutale
532	Maniaco Brutale
533	Arciere Brutale
534	Specialista Brutale
551	Forte Fante Selvaggio
552	Forte Scagnozzo Selvag.
553	Forte Arciere selvaggio
554	Forte Generale Selvaggio
591	Comandante Brutale
595	Geum-Chul Brutale
601	Orco
602	Orco Esploratore
603	Orco Guerriero
604	Orco Mago
631	Fiero Orco
632	Fiero Orco Esploratore
633	Fiero Orco Guerriero
634	Fiero Orco Mago
635	Fiero Orco Generale
636	Orco Nero
637	Orco Nero Gigante
651	Grande Orco Coraggioso
652	Grande Orco Corag. Esp.
653	Grande Orco Corag. Guer.
654	Grande Orco Corag. Mago
655	Grande Orco Corag. Gen.
656	Orco Nero Coraggioso
657	Gigante Orco Nero Corag.
670	Prehistoric octopus
671	Underwater devil
672	Ku'dhul
673	Dangerous Ku'dhul
674	Brutal Ku'dhul
675	Armored giant crab
676	Ku'thal
691	Capo Orco
692	Capo Orco Elitario
693	Maledetto orco re
694	Cursed Chief Orc
695	Cursed Orc
696	Cursed Orc Orc Scout
697	Cursed Bold Black Orc
698	Cursed Bold Black Giant Orc
701	Fanatico Oscuro
702	Arahan Oscuro
703	Guerriero Oscuro
704	Arahan Capo Oscuro
705	Boia Oscuro
706	Persecutore Oscuro
707	Evocatore Oscuro
731	Fiero Fanatico Oscuro
732	Fiero Arahan Oscuro
733	Fiero Guerriero Oscuro
734	Fiero Capo Oscuro
735	Fiero Boia Oscuro
736	Fiero Persecutore Oscuro
737	Fiero Mago Oscuro
751	Alto Fanatico
752	Alto Arahan
753	Alto Guerriero Arahan
754	Alto Arahan Elitario
755	Alto Boia
756	Alto Persecutore
757	Alto Evocatore
760	Bloody Rhinoo
761	Amore's Bear
762	Hate Harpy
763	Pinker Troll
764	Young valen. Tree
765	Valtenin's Tree
766	Slime
767	Aggressive Slime
768	Slime Queen
771	Brutale Fanatico
772	Arahan Brutale
773	Guerriero Brutale Arahan
774	Capo Brutale Arahan
775	Boia Brutale
776	Persecutore Brutale
777	Evocatore Brutale
791	Capobanda Oscuro
792	Spirito Capobanda Oscuro
793	Capobanda Elitario Osc.
794	Spirito Elitario Capob.
795	Guerriero Elitario
796	Guerriero Esoterico El.
901	Cadavere Fantasma
902	Cane Appestato
903	Uomo Appestato
904	Spadaccino Appestato
905	Lanciere Appestato
906	Arciere Appestato
907	Capobanda Appestato
931	Cadavere Fantasma Arr.
932	Cane Appestato Arr.
933	Uomo Appestato Arr..
934	Guerriero Appestato Arr.
935	Lanciere Appestato Arr.
936	Arciere Appestato Arr.
937	Capobanda Appestato Arr.
940	Crystal Soldier
941	Golem di cristallo
942	Tigre di cristallo
943	Mostro di cristallo
944	Scorpione di cristallo
945	Crystal Tritseratops
946	Breed. Crystal Beast
947	Larva diabolica
948	Crystal Dragon
949	Crystal dino
950	King of Crystal Dragons
965	Green piranha
966	Prehistoric piranha
967	Jellyfish
969	Bloodthirsty shark
970	Rainbow shark
971	Shark monster
972	Brutal shark beast
973	Sea star
974	Underwater frog
975	Sea beast
976	Strong sea beast
977	Sea killer
978	Strong sea killer
979	Drunk dead sailor
980	Haunted sailor
981	Dead sailor
982	Underwater pirate
983	Hammer pirate
984	Old underwater pirate
985	Pirate shief
986	Brutal fish
987	Pirate sovereign
988	Brutal pirate shief
991	Uovo Appestato
992	Trasmet. del Contagio
993	Trasmet. del Contagio
1001	Demone soldato
1002	Demone arciere
1003	Demone Lanciere
1004	Demone Shamano
1031	Vile Demone Soldato
1032	Vile Demone Arciere
1033	Vile Demone Lanciere
1034	Vile Demone Shamano
1035	Spirito del Rancore
1036	Spirito del Caos
1037	Vile Demone Capobanda
1038	Maestro Spada di Teschio
1039	Teschio Volante
1040	Spirito Immortale
1041	Bestia Demoniaca
1061	Vile Spirito Soldato
1062	Vile Spirito Arciere
1063	Vile Spirito Guerriero
1064	Vile Spirito Shamano
1065	Vile Spirito del Rancore
1066	Vile Spirito del Caos
1067	Vile Spirito Capobanda
1068	Spirito Maestro Spadac.
1069	Vile Teschio Volante
1070	Vile Spirito Immortale
1071	Vile Bestia Demoniaca
1091	Re dei Demoni
1092	Re dei Demoni Elitario
1093	Morte personificata
1094	Vile Re dei Demoni
1095	Morte Blu
1096	????
1101	Ghiaccio Incantato
1102	Orca Assas. di Ghiaccio
1103	Insetto di Ghiaccio
1104	Leone di Ghiaccio
1105	Gelido Uomo di Ghiaccio
1106	Yeti
1107	Golem di Ghiaccio
1131	Pezzi di Ghiaccio abissi
1132	Orca Ghiaccio d. Abissi
1133	Insetto Ghiaccio Abissi
1134	Leone Ghiaccio d. Abissi
1135	Uomo Ghiaccio d. Abissi
1136	Yeti degli Abissi
1137	Golem Ghiaccio d. Abissi
1151	Diavolo di ghiaccio
1152	Orca Corno di Ghiaccio
1153	Insetto di Ghiaccio
1154	Seol-Gu
1155	Uomo di Ghiaccio
1156	Gigante di Ghiaccio
1157	Golem di Ghiaccio
1171	Vile Ghiaccio Incantato
1172	Vile Orca di Ghaccio
1173	Vile Insetto di Ghiaccio
1174	Vile Leone di Ghiaccio
1175	Vile Uomo Di Ghiaccio
1176	Vile Yeti
1177	Vile Golem di Ghiaccio
1191	Strega di Ghiaccio Brutale
1192	Grande Strega di Ghiac.
1301	Rana d'Albero Soldato
1302	Rana d'Albero Capobanda
1303	Bogeyman
1304	Spirito tigre gialla
1305	Generale di Rana Toro
1306	Spirito tigre gialla mal
1307	Spirito tigre gialla mal
1308	Spirito tigre gialla mal
1309	Spirito tigre gialla mal
1310	Spirito tigre gialla mal
1331	Grande Rana Albero Sold.
1332	Grande Rana Albero Capi.
1333	Grande Bogeyman
1334	Enor. Spir. tigre gialla
1335	Grande Generale di Rana
1401	Distruttore
1402	Guerriero con Ascia
1403	Mille Guerrieri
1501	Golem di Pietra
1502	Mangiasassi
1503	Golem Gigante di Pietra
1601	Guerriero Ogre
1602	Macellaio Ogre
1603	Vichingo Ogre
1901	Nove Code
1902	Nove Code Elitario
1903	Nove Code Elitario
1904	Nove code elitario
1905	Nove code elitario
1906	Nove code elitario
2001	Piccolo Ragno
2002	Ragno Velenoso
2003	Ragno Velenoso Rosso
2004	Ragno Artiglio
2005	Ragno Soldato
2031	Piccolo Ragno Velenoso
2032	Ragno Velenoso Mortale
2033	Ragno Vel. Rosso Furioso
2034	Ragno Artiglio Velenoso
2035	Ragno Velenoso Soldato
2036	Ragno Vel. Soldato Elit.
2051	Vile Ragno Velen. Picc.
2052	Vile Ragno Velen. Mort.
2053	Vile Ragno Ros.Vel.Mort.
2054	Vile Ragno Velen. Artigli
2055	Vile Ragno Velen. Sold.
2061	Piccolo Ragno Velenoso
2062	Ragno Velenoso Mortale
2063	Ragno Vel. Ros. Mortale
2064	Ragno Artiglio Velenoso
2065	Ragno Velenoso Soldato
2071	Picc. Ragno Vel. Brutale
2072	Ragno Vel.Mort.Brutale
2073	Ragno Vel. Rosso Brut.
2074	Ragno Artiglio Vel.Brut.
2075	Ragno Vel. Sold. Brutale
2076	Org.Ragno Vel.Brutale
2091	Regina Ragno
2092	Baronessa Ragno
2093	Regina Ragno Oscura
2094	Barone Ragno
2095	Uovo di Ragno
2101	Volpe del Deserto
2102	Occhio Vola. del Deserto
2103	Re Scorpione
2104	Giovane Uomo Scorpione
2105	Arciere scorpione
2106	Serpente Spadaccino
2107	Serpente arciere
2108	Bandito del Deserto
2131	Uomo Scorpione Brutale
2132	Arciere Scorpione
