TOOLTIP_ACCE_ATTR_MAX_INFO	(max. %s)
ACCE_ABSORB_COST	Cena absorpcji: %d
ACCE_ALREADY_REGISTER	Przedmiot ten został już użyty.
ACCE_DEL_ABSORDITEM	Absorbować i tym samym zniszczyć przedmiot?
ACCE_DEL_SERVEITEM	Szarfa 2 ulegnie zniszczeniu, jeśli kombinacja się nie powiedzie.
ACCE_INITEM	Przeciągnij przedmioty do okienka.
ACCE_MAXGRADE	To posiada już stopień unikatowy.
ACCE_NOTABSORBITEM	Nie możesz używać broni/zbroi, które zostały już absorbowane.
ACCE_NOT_SEALITEM	Nie możesz używać przedmiotu przywiązanego do duszy.
ACCE_NOT_USINGITEM	Nie możesz kombinować wyposażonego przedmiotu.
ACCE_NOT_WINDOWOPEN	Nie możesz użyć przedmiotu przy otwartym okienku kombinacji.
ACCE_POSSIBLE_ACCE	Możesz używać tylko szarf.
ACCE_POSSIBLE_ACCEITEM	Możesz ekstrahować bonusy tylko z broni i zbroi.
AFF_LOVE_POINT	Punkty Miłosne: %d%%
ALIGNMENT_NAME	Ranga:
ATTACK_ERROR_UNKNOWN	Nieznany błąd podczas ataku: %s
CANNOT_ATTACK_DEST_IN_SAFE	Przeciwnik jest za daleko.
CANNOT_ATTACK_SELF_IN_SAFE	Nie mogę zaatakować.
CANNOT_EQUIP_IN_EXCHANGE	Nie możesz zmienić zbroi podczas handlu.
CANNOT_EQUIP_IN_SHOP	Nie możesz zmienić zbroi podczas handlu.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nie możesz otworzyć Prywatnego Magazynu w miejscu publicznym.
CANNOT_SHOOT_DEST_IN_SAFE	Wróg jest za daleko.
CANNOT_SHOOT_EMPTY_ARROW	Potrzebuję Strzały.
CANNOT_SHOOT_SELF_IN_SAFE	Nie mogę tego zrobić.
CANNOT_SKILL_APPROACH	Na pewno nie mogę podejść bliżej.
CANNOT_SKILL_ATTACK	Nie mogę zaatakować.
CANNOT_SKILL_DEST_IN_SAFE	Wróg jest za daleko.
CANNOT_SKILL_EQUIP_FISHING_ROD	Potrzebuję Wędki.
CANNOT_SKILL_HAVE_TO_RIDE	Potrzebuję Konia zanim będę mógł tego użyć.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nie mam Pustej Butelki.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nie mam Butelki Z Trucizną.
CANNOT_SKILL_NEED_TARGET	Kto jest celem?
CANNOT_SKILL_NOT_ENOUGH_HP	Mam za mało Punktów ¯ycia!
CANNOT_SKILL_NOT_ENOUGH_SP	Mam za mało Punktów Energii!
CANNOT_SKILL_NOT_HORSE_SKILL	Nie mogę tego użyć podczas jazdy konnej.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Nie mogę użyć tej umiejętności z tą bronią.
CANNOT_SKILL_NOT_YET_LEARN	Nie opanowałem tej umiejętności.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	To działa tylko na członków grupy.
CANNOT_SKILL_ONLY_FOR_CORPSE	To działa tylko na martwych ludzi.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nie mogę użyć tej umiejętności z Wędką.
CANNOT_SKILL_SELF_IN_SAFE	Nie mogę zaatakować z tego miejsca.
CANNOT_SKILL_USE_SELF	Nie mogę tego użyć na sobie.
CANNOT_SKILL_WAIT_COOLTIME	Nie mogę jeszcze użyć tej Umiejętności.
CANNOT_WHISPER_DEST_REFUSE	%s zablokował szept.
CANNOT_WHISPER_NOT_EXIST	%s nie istnieje.
CANNOT_WHISPER_NOT_LOGON	%s nie jest online.
CANNOT_WHISPER_NO_AUTH	Nie masz uprawnień do napisania do tego odbiorcy.
CANNOT_WHISPER_NO_OFFLINE_MESSAGE	Wiadomość offline nie została wysłana.
CANNOT_WHISPER_SELF_REFUSE	Nie możesz do nikogo szeptać, gdy zablokowałeś tą opcję.
CAN_WHISPER_OFFLINE_MESSAGE	Wiadomość offline została wysłana.
CHANNEL	Kanał
CHANNELING_CANNOT_LOGOUT	Nie możesz wrócić do okna logowania.
CHANNEL_EMPTY_SERVER	Brak Serwera
CHANNEL_NORMAL	Kanał %d
CHANNEL_NOTIFY_FULL	Ten Kanał jest pełny! Proszę wybrać inny.
CHANNEL_NOT_FIND_INFO	Nie możesz otrzymać tych informacji.
CHANNEL_PVP	Wolny pojedynek
CHANNEL_SELECT_CHANNEL	Wybierz Kanał
CHANNEL_SELECT_REGION	Wybierz region.
CHANNEL_SELECT_SERVER	Wybierz serwer
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Stwórz postać
CHARACTER_SELECT_MODE	Wybierz postać
CHAT_ALL	Wszystko
CHAT_BLOCK	Blok
CHAT_GUILD	Gildia
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	To zdanie zawiera niepoprawne słowa.
CHAT_LOG	Pokaż stare wiadomości [L]
CHAT_LOG_TITLE	Pokaż wiadomości
CHAT_NORMAL	Normalne
CHAT_NOTICE	Ogłoszenia
CHAT_PARTY	Grupa
CHAT_SEND_CHAT	Wyślij wiadomość
CHAT_SEND_MEMO	Wyślij szept [Shift+Enter]
CHAT_SHOUT	Wołaj
CHAT_SHOUT_LIMIT	Możesz wołać tylko co 15 sekund.
CHAT_TEAM	Drużyna
CHAT_WHISPER	Szeptanie
CREATE_ERROR_GM_NAME	Nie jesteś upoważniony do użycia ,GM‘ w swojej nazwie postaci.
CREATE_ERROR_INSULT_NAME	Ta nazwa jest niepoprawna.
CREATE_EXIST_SAME_NAME	Inna postać już ma tą nazwę.
CREATE_FAILURE	Nie możesz stworzyć postaci
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Wybierz nazwę.
CREATE_PLUS_STAT	Nadal pozostały punkty statusu.
DAY	Dni
DO_YOU_BUY_ITEM1	Czy chcesz kupić %s za %s?
DO_YOU_BUY_ITEM2	Czy chcesz kupić %s %s za %s?
DO_YOU_DROP_MONEY	Czy chcesz upuścić %d Yang?
DO_YOU_SELL_ITEM1	Czy chcesz sprzedać %s za %s?
DO_YOU_SELL_ITEM2	Czy chcesz sprzedać %s (%s partii) za %s Yang?
DO_YOU_TAKE_OUT_ITEM1	Czy chcesz usunąć %s?
DO_YOU_TAKE_OUT_ITEM2	Chcesz usunąć %s %s?
DROP_ITEM_FAILURE_EQUIP_ITEM	Nie możesz upuścić Przedmiotu z ekwipunku.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nie możesz upuścić Przedmiotu z ekwipunku jeśli otworzyłeś prywatny Magazyn.
DROP_MONEY_FAILURE_1000_OVER	Możesz upuścić maksimum 1000 Yang.
EMOTION_ANGRY	Denerwować
EMOTION_ATTRACTIVE	Uwodzić
EMOTION_BANTER	Drwić
EMOTION_CHEERS_1	Powitanie 1
EMOTION_CHEERS_2	Powitanie 2
EMOTION_CHEERUP	Rozweselać
EMOTION_CHOOSE_ONE	Wybierz cel
EMOTION_CLAP	Klaszcz
EMOTION_CLAP_KISS	Pocałunek
EMOTION_CONGRATULATION	Zgoda
EMOTION_DANCE_1	Taniec 1
EMOTION_DANCE_2	Taniec 2
EMOTION_DANCE_3	Taniec 3
EMOTION_DANCE_4	Taniec 4
EMOTION_DANCE_5	Taniec 5
EMOTION_FORGIVE	Wybaczyć
EMOTION_FRENCH_KISS	Francuski pocałunek
EMOTION_JOY	Radość
EMOTION_SAD	Smutek
EMOTION_SHY	Odmowa
EMOTION_SLAP	Uderzenie
EMPIRE_A	Królestwo Shinsoo
EMPIRE_B	Królestwo Chunjo
EMPIRE_C	Królestwo Jinno
EXCHANGE_CANNOT_GIVE	Nie możesz handlować tym Przedmiotem.
EXCHANGE_CANT_EDIT_MONEY	Nie możesz teraz zmienić kwoty.
EXCHANGE_FAILURE_EQUIP_ITEM	Nie możesz wymienić ubranych przedmiotów.
EXCHANGE_MONEY	Kwota
EXCHANGE_TITLE	Handel z %s
FISHING_FAILURE	Straciłeś przynętę.
FISHING_NOTIFY1	Wygląda na to, że na haczyku jest %s.
FISHING_NOTIFY2	Wyglądało na to, że %s został złapany.
FISHING_SUCCESS1	Zdobyłeś %s!
FISHING_SUCCESS2	Masz %s!
FISHING_UNKNOWN	Nie wiem co złapałem.
FISHING_WRONG_PLACE	Nie mogę tu łowić ryb.
FOR_FEMALE	dla kobiet
FOR_MALE	dla mężczyzn
GAME_CANNOT_MINING	Nie możesz wydobywać rudy podczas jazdy konnej.
GAME_CANNOT_PICK_ITEM	Nie możesz podnieść tego Przedmiotu, nie ty go zdobyłeś.
GAME_INIT_ERROR_CURSOR	Kursor nie może zostać utworzony.
GAME_INIT_ERROR_DIRECTX	Aby gra mogła ruszyć musi być zainstalowany DirectX 8.1 .\nZainstaluj DirectX 8.1 lub nowszy.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	¯adne graficzne urządzenie nie zostało znalezione.\nSprawdŸ, czy twoja karta VGA jest aktualnie zainstalowana.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Nie można było uruchomić karty graficznej.\nSprawdŸ czy masz kartę VGA.\nAlternatywniem możesz aktywować akcelerację sprzętową.\n(Ustaw suwak akceleracji sprzętowej na maks. \nPanel Sterowania->Ekran->Ustawienia->Zaawansowane->Rozwiązywanie Problemów)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Karta graficzna w komputerze nie obsługuje trybu ekranowego w trybie 32bit.\nUstaw tryb 16 bitowy lub użyj trybu pełnoekranowego.
GAME_INIT_ERROR_ITEM_PROTO	Brak danych o Przedmiotach.\nZainstaluj grę jeszcze raz.
GAME_INIT_ERROR_MAIN_WINDOW	Gra nie mogła zostać uruchomiona w okienku
