ACCE_ABSORB	Absorpcja bonusów
ACCE_COMBINE	Kombinacja
ACCE_MAIN	Szarfa 1
ACCE_RESULT	Rezultat
ACCE_SERVE	Szarfa 2
ACCEPT	Akceptuj
ATTACH_METIN_INFO	Dołączyć?
ATTACH_METIN_TITLE	Kamień Metin został dodany.
CANCEL	Anuluj
CHANGE_PASSWORD_CONFIRM	PotwierdŸ nowe Hasło
CHANGE_PASSWORD_NEW	Nowe Hasło
CHANGE_PASSWORD_OLD	Stare Hasło
CHANGE_PASSWORD_TITLE	Zmiana Hasła
CHARACTER_ACTION	Emocje
CHARACTER_EMOTICON	Emocje
CHARACTER_MAIN	Postać
CHARACTER_MUTUAL_ACTION	Wspólna Akcja
CHARACTER_NORMAL_ACTION	Normalna Akcja
CHARACTER_QUEST	Zadania
CHARACTER_SKILL	Umiejętność
CLOSE	Zamknij
CREATE_ATT_GRADE	SIŁA
CREATE_CREATE	Utwórz
CREATE_DEX_GRADE	ZRÊ
CREATE_HP	P¯
CREATE_LAST_POINT	Punkty
CREATE_MAN	Mężczyzna
CREATE_NAME	Nazwa
CREATE_NEXT	Następny
CUBE_REQUIRE_MATERIAL	Wymagane materiały
CUBE_REQUIRE_MATERIAL_OR	lub
CREATE_PREV	Poprzedni
CREATE_SEX	Płeć
CREATE_SHAPE	Wygląd
CREATE_SP	INT
CREATE_STAT_RESET	Reset
CREATE_WOMAN	Kobieta
CUBE_TITLE	Wytwarzanie
EMPIRE_EXIT	WyjdŸ
EMPIRE_NEXT	Dalej
EMPIRE_PREV	Wstecz
EMPIRE_SELECT	Wybierz
EXCHANGE_ACCEPT	Akceptuj
EXCHANGE_TITLE	Handel
GAMEOPTION_TITLE	Opcje Gry
GAME_EXIT_OBSERVER	Zakończ Tryb Obserwatora
GAME_HELP	Pomoc
GAME_QUEST	Zadania
GAME_SKILL_UP	Podnieś Umiejętności
GAME_STAT_UP	Podnieś Status
GUILDWINDOW_BASE_BUFF	Bonus gildii
GUILD_BANKINFO_CLOSE	Zamknij
GUILD_BANKINFO_NAME	Członek
GUILD_BANKINFO_TITLE	Logi magazynu gildii
GUILD_BANKINFO_TYPE	Item/Waluta
GUILD_BANKINFO_USETYPE	Akcja
GUILD_BANK_CLOSE	Zamknij
GUILD_BANK_INFO	Strona:
GUILD_BANK_NUMBER	Numer banku
GUILD_BASEINFO_BANK	Guild Warehouse
GUILD_BASEINFO_BANKLASTOUT	Usunięto ostatni przedmiot
GUILD_BASEINFO_BUILDING	Budynek Gildii
GUILD_BASEINFO_DEAL	Sprzedaj teren gildii
GUILD_BASEINFO_FACTORY	Gildyjny kowal
GUILD_BASEINFO_GOLDMANAGE	Transakcja
GUILD_BASEINFO_GUILDLAND	Terytorium gildii
GUILD_BASEINFO_LANDABANDON	Opuść terytorium gildii
GUILD_BASEINFO_LANDSCAPE	Inne
GUILD_BASEINFO_LOCALE	Lokalizacja
GUILD_BASEINFO_MONEY	Balans
GUILD_BASEINFO_MONEYBANKINFO	Informacja o banku gildii
GUILD_BASEINFO_MONEYIN	Depozyt
GUILD_BASEINFO_MONEYLASTOUT	Ostatnia wypłata
GUILD_BASEINFO_MONEYOUT	Wypłata
GUILD_BASEINFO_POWER	Altar of Power
GUILD_BASEINFO_SMEITER	Alchemik Gildyjny
GUILD_BASEINFO_TITLE	Informacja o terytorium
GUILD_BASEINFO_VOTE	Zagłosuj
GUILD_BASENAME	Podstawowa Nazwa
GUILD_BOARD_ID	Nick
GUILD_BOARD_REFRESH	Odśwież (F5)
GUILD_BOARD_TEXT	Treść wiadomości
GUILD_BUILDING_CATEGORY_TITLE	Jednostki Budowlane
GUILD_BUILDING_CHANGE	Zmień
GUILD_BUILDING_DIRECTION	Kierunek
GUILD_BUILDING_GRADE	Ranga
GUILD_BUILDING_INFO	Informacje o Budynkach i Kosztach
GUILD_BUILDING_LIST_TITLE	Lista Budowli
GUILD_BUILDING_LOG	Pień
GUILD_BUILDING_NAME	Nazwa Budowli
GUILD_BUILDING_OPERATE	Operuj
GUILD_BUILDING_PLY	Dykta
GUILD_BUILDING_POSITION	Miejsce
GUILD_BUILDING_PREVIEW	Podgląd
GUILD_BUILDING_PRICE	Cena
GUILD_BUILDING_REFRESH	Odśwież (F5)
GUILD_BUILDING_STONE	Kamień
GUILD_BUILDING_TITLE	Budowa Siedziby Gildii
GUILD_CRYSTAL	Kryształ
GUILD_DEPOSIT	Depozyt
GUILD_DROP_RESOURCE1	Tutaj
GUILD_DROP_RESOURCE2	Upuść Surowiec
GUILD_GEM	Klejnot
GUILD_GRADE_CHANGE_GRADE_NAME	Nazwa rangi do zmiany
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Usuń
GUILD_GRADE_PERMISSION_JOIN	Przyjmij
GUILD_GRADE_PERMISSION_NOTICE	Pisanie
GUILD_GRADE_PERMISSION_SKILL	Umiejętności
GUILD_GRADE_RANK	Nazwa
GUILD_GRADE_WRITE	Napisz
GUILD_INFO	Informacje o Gildii
GUILD_INFO_CUR_EXP	Doświadczenie
GUILD_INFO_DECALRE_WAR	Wypowiedz Wojnę
GUILD_INFO_ENEMY_GUILD	Wrogie Gildie
GUILD_INFO_ENEMY_GUILD_EMPTY	Brak
GUILD_INFO_LEVEL	Poziom Gildii
GUILD_INFO_MARK	Logo Gildii
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Średni Poziom
GUILD_INFO_MEMBER_NUM	Liczba Członków
GUILD_INFO_NAME	Nazwa Gildii
GUILD_INFO_NAME_VALUE	To jest nazwa Gildii
GUILD_INFO_OFFER_EXP	Inwestuj
GUILD_INFO_REST_EXP	Wymagane PD
GUILD_INFO_UPLOAD_MARK	Wgraj Logo
GUILD_INFO_UPLOAD_SYMBOL	Wgraj Flagę
GUILD_MARK	Znak Gildii
GUILD_MEMBER_JOB	Klasa
GUILD_MEMBER_KNIGHT	Lider
GUILD_MEMBER_LEVEL	Poziom
GUILD_MEMBER_NAME	Nazwa
GUILD_MEMBER_RANK	Ranga
GUILD_MEMBER_SPECIFIC_GRAVITY	Inwestuj
GUILD_METIN_STONE	Kamień Metin
GUILD_MINENAL	Minerał
GUILD_MONEY	Yang
GUILD_NAME	Gildia
GUILD_RESOURCE_INFO	Informacja o surowcach
GUILD_SKILLPAGE_LADDER	Punkty rangi
GUILD_SKILLPAGE_RANK	Ranga
GUILD_SKILL_ACTIVE	Aktywne
GUILD_SKIlL_HEAL_GSP	Regeneracja
GUILD_SKILL_PASSIVE	Pasywne
GUILD_SKILL_POWER	Punkty
GUILD_SKILL_STATE	Umiejętności Gildii
GUILD_SYMBOL	Flaga Gildii
GUILD_WAR_ACCEPT	Akceptuj Deklarację Wojny
GUILD_WAR_ALLSCORE	Wszystkie wojny
GUILD_WAR_BATTLE_TYPE	Rodzaj bitwy
GUILD_WAR_CTF	Flagi
GUILD_WAR_DECLARE	Deklaruj Wojnę Gildii
GUILD_WAR_ENEMY	Wróg
GUILD_WAR_GAINSCORE	Punkty
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Czas walki
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_JOINMEMBER	Członkowie
GUILD_WAR_JOINMEMBER_COUNT	Członkowie
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Pole
GUILD_WAR_REPORT	Raport z wojny
GUILD_WAR_REPORTLIST	Podsumowanie (Wojny: B, Wygrane: W, Przegrane: L, Remisy: D)
GUILD_WAR_SCORE	Raport wojenny
GUILD_WAR_SKILL	Umiejętności gildyjne
GUILD_WAR_TYPE_DEFENSE	Bojowa Tarcza
GUILD_WAR_TYPE_DIE	Bitwa na arenie
GUILD_WAR_TYPE_FLAG	Zdobądź flagę
GUILD_WAR_TYPE_NORMAL	Pole walki
GUILD_WAR_TYPE_TIGER	Annihilation
GUILD_WAR_TYPE_TIME	Czas ataku
GUILD_WAR_WARP	Teatr
GUILD_WAR_WIN	Rundy
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Woda
GUILD_WATER_STONE	Kamień Wodny
GUILD_WITHDRAW	WeŸ
HELP_ATTACK_KEY	- Do Ataku, użyj Spacji lub lewego przycisku Myszy.
HELP_CHANGE_PK_MODE	- Użyj Ctrl + B jeśli chcesz odwołać swojego Konia.
HELP_CHARACTER_BUTTON1	(Okno Postaci, Ekwipunek
HELP_CHARACTER_BUTTON2	i Wiadomości)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	- Widok Kamery może być zoptymalizowany używając środkowego przycisku Myszy.
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	- Widok Kamery może być zoptymalizowany używając klawisza Ctrl i prawego przycisku Myszy.
HELP_EXP	Ilość Doświadczenia
HELP_FURY	Sklep
HELP_GUILD_WINDOW	- Użyj ALT + G aby otworzyć i zamknąć Okno Gildii.
HELP_HELP	- Aby wyświetlić Pomoc, po prostu wciśnij guzik H.
HELP_HP	Punkty ¯ycia
HELP_MESSENGER_WINDOW	- Użyj klawiszy ALT + M aby otworzyć i zamknąć Okno Przyjaciół.
HELP_MOUSE_LEFT	Funkcja Lewego Przycisku Myszy
HELP_MOUSE_RIGHT	Funkcja Prawego Przycisku Myszy
HELP_MOVE_KEY	- Użyj klawiszy W, S, A, D lub strzałek aby poruszać się w grze.
HELP_OPEN_CHARACTER	- klawisz C otwiera Okno Postaci.
HELP_OPEN_CHAT	- Wciśnij Enter aby otworzyć Okno Chatu.
HELP_OPEN_INVENTORY	- Wciśnij klawisz I aby otworzyć Okno Ekwipunku.
HELP_OPEN_LOG	- Wciśnij klawisz L aby otworzyć Panel Wiadomości.
HELP_OPEN_MINIMAP	- Kombinacja Shift + M otwiera i zamyka Mini Mapę.
HELP_OPEN_QUEST	- Wciśnij klawisz N aby otworzyć Okno Zadań.
HELP_OPEN_SKILL	- Wciśnij klawisz V aby otworzyć Okno Umiejętności.
HELP_OPEN_WHISPER	- Shift + Enter otwierają Okno Szeptania.
HELP_OPEN_ZONEMAP	- klawisz M otwiera i zamyka Dużą Mapę.
HELP_PICK_ITEM	- Wciśnij klawisz ` (tylda) lub Z aby podnieść Przedmiot z ziemi.
HELP_QUICKSLOT	Pole Szybkiego Dostępu
HELP_SCREEN_CAPTURE	- Wciśnij Print Screen aby zrobić tzw. Screenshota. Screen będzie zapisany w podkatalogu gry Metin2.
HELP_SHOW_ALL_NAME	- Wciśnij klawisz Alt aby pokazać Nazwy Wszystkich Postaci i Przedmiotów.
HELP_SP	Punkty Energii
HELP_SYSTEM_BUTTON	Przycisk Systemowy
INVENTORY_PAGE_BUTTON_TOOLTIP	%d. Ekwipunek
INVENTORY_TITLE	Ekwipunek
ITEM_MALL	ItemShop
LOAD_ERROR	Plik jest uszkodzony. Proszę zainstalować nowy. Wciśnij teraz ESC.
LOGIN_CONNECT	Połącz
LOGIN_CONNECTING	Zostaniesz połączony z Serwerem
LOGIN_DEFAULT_SERVERADDR	Nazwa Serwera, Kanał 1
LOGIN_EXIT	WyjdŸ
LOGIN_REGION_TITLE	Wybierz miejsce wydania faktury.
LOGIN_SELECT_BUTTON	Wybierz
LOGIN_SELECT_EXIT	WyjdŸ
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Wybierz Serwer
MALL_PASSWORD_TITLE	Hasło
MALL_TITLE	Przedmioty z ItemShop
MARKET_TITLE	Ładuj
MARKLIST_REFRESH	Odśwież
MARKLIST_TITLE	Zarejestruj Znak Gildii
MESSAGE	To jest wiadomość
MESSENGER_ADD_FRIEND	Dodaj Przyjaciela
MESSENGER_DELETE_FRIEND	Usuń
MESSENGER_MOBILE	Wyślij SMS
MESSENGER_OPEN_GUILD	Otwórz Okno Gildii
MESSENGER_TITLE	Przyjaciele
MESSENGER_USE_GUILD_MOVE_SKILL	Użyj Umiejętności Przemieszczania Gildii
MESSENGER_WHISPER	Szept
MINIMIZE	Minimalizuj
MOUSEBUTTON_ATTACK	Atak
MOUSEBUTTON_AUTO_ATTACK	Auto Atak
MOUSEBUTTON_CAMERA	Perspektywa
MOUSEBUTTON_SKILL	Umiejętności
MUSICLIST_TITLE	Wybór muzyki
NO	Nie
OK	OK
OPTION_ALWAYS_SHOW_NAME	Nazwa
OPTION_ALWAYS_SHOW_NAME_OFF	Ograniczony
OPTION_ALWAYS_SHOW_NAME_ON	Zawsze
OPTION_BLOCK	Blokuj
OPTION_BLOCK_EXCHANGE	Handel
OPTION_BLOCK_FRIEND	Przyjaciel
OPTION_BLOCK_GUILD	Gildia
OPTION_BLOCK_PARTY	Grupa
OPTION_BLOCK_PARTY_REQUEST	Prośba
OPTION_BLOCK_WHISPER	Szept
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Dalej
OPTION_CAMERA_DISTANCE_SHORT	Bliżej
OPTION_DELETE_MOBILE_BUTTON	Usuń Numer Telefonu Komórkowego
OPTION_EFFECT	Info o traf.
OPTION_FOG	Mgła
OPTION_FOG_DENSE	Gęsta
OPTION_FOG_LIGHT	Światło
OPTION_FOG_MIDDLE	Środek
OPTION_INPUT_MOBILE_BUTTON	Wybierz Numer Telefonu Komórkowego
OPTION_MOBILE	Telefon Komórkowy
OPTION_MUSIC	Muzyka
OPTION_MUSIC_CHANGE	Zmień
OPTION_MUSIC_DEFAULT_THEMA	Standardowa Muzyka Metin2
OPTION_NAME_COLOR	Kolor Nazw
OPTION_NAME_COLOR_EMPIRE	Królestwa
OPTION_NAME_COLOR_NORMAL	Normalny
OPTION_PVPMODE	Tryb PvP
OPTION_PVPMODE_FREE	Wolny
OPTION_PVPMODE_FREE_TOOLTIP	Możesz atakować wszystkich graczy.
OPTION_PVPMODE_GUILD	Gildia
OPTION_PVPMODE_GUILD_TOOLTIP	Możesz atakować wszystkich graczy oprócz Członków swojej Gildii.
OPTION_PVPMODE_PEACE	Pokój
OPTION_PVPMODE_PEACE_TOOLTIP	¯aden gracz nie może mnie zaatakować.
OPTION_PVPMODE_REVENGE	Wrogi
OPTION_PVPMODE_REVENGE_TOOLTIP	Możesz atakować tylko tych, którzy mają negatywną Rangę.
OPTION_SOUND	Efekty
OPTION_TARGET_BOARD	Menu Celu
OPTION_TARGET_BOARD_NO_VIEW	Zamknij
OPTION_TARGET_BOARD_VIEW	Pokaż
OPTION_TILING	Grafika
OPTION_TILING_APPLY	Zastosuj
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Opcje
OPTION_VIEW_CHAT	Linia Czatu
OPTION_VIEW_CHAT_OFF	Ukryj
OPTION_VIEW_CHAT_ON	Pokaż
PARTY_MEMBER_INFO_NAME	Nazwa Członka Grupy
PASSWORD_DESC_1	Wprowadź hasło
PASSWORD_DESC_2	aby otworzyć magazyn.
