TOOLTIP_ACCE_ATTR_MAX_INFO	(máx. %s)
ACCE_ABSORB_COST	Preço de Absorção: %d
ACCE_ALREADY_REGISTER	Este item já foi usado.
ACCE_DEL_ABSORDITEM	Absorver o item, sendo destruído no processo?
ACCE_DEL_SERVEITEM	Faixa 2 será destruida se a combinação falhar.
ACCE_INITEM	Arranta os itens para a janela.
ACCE_MAXGRADE	Isto já foi costumizado.
ACCE_NOTABSORBITEM	Não podes usar arma ou pedaço de armadura que já tinho absorvida.
ACCE_NOT_SEALITEM	Não podes usar nenhum item vinculado.
ACCE_NOT_USINGITEM	Não pode combinar um equipamento equipado.
ACCE_NOT_WINDOWOPEN	Não podes usar itens quando estás com a janela de combinação aberta.
ACCE_POSSIBLE_ACCE	Só podes usar Faixas de Ombros.
ACCE_POSSIBLE_ACCEITEM	Apenas podes extrair bónus da arma e da armadura.
AFF_LOVE_POINT	Pontos de Amor: %d%%
ALIGNMENT_NAME	Karma:
ATTACK_ERROR_UNKNOWN	Erro de Ataque Desconhecido: %s
CANNOT_ATTACK_DEST_IN_SAFE	O combatente está muito longe.
CANNOT_ATTACK_SELF_IN_SAFE	Não posso atacar.
CANNOT_EQUIP_IN_EXCHANGE	Não podes mudar a armadura enquanto negoceias.
CANNOT_EQUIP_IN_SHOP	Não podes mudar a armadura enquanto negoceias.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Não podes abrir uma Loja Privada numa área pública.
CANNOT_SHOOT_DEST_IN_SAFE	O inimigo está muito longe.
CANNOT_SHOOT_EMPTY_ARROW	Preciso de Flechas!
CANNOT_SHOOT_SELF_IN_SAFE	Não posso fazer isto.
CANNOT_SKILL_APPROACH	Tenho a certeza que não posso chegar mais perto.
CANNOT_SKILL_ATTACK	Não posso atacar.
CANNOT_SKILL_DEST_IN_SAFE	O inimigo está muito longe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Preciso de uma Cana de Pesca.
CANNOT_SKILL_HAVE_TO_RIDE	Preciso de um Cavalo para usar isto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Não tenho uma Garrafa Vazia.
CANNOT_SKILL_NEED_POISON_BOTTLE	Não tenho uma Garrafa de Veneno.
CANNOT_SKILL_NEED_TARGET	Quem é o alvo?
CANNOT_SKILL_NOT_ENOUGH_HP	Não tenho VD suficiente!
CANNOT_SKILL_NOT_ENOUGH_SP	Não tenho MN suficiente!
CANNOT_SKILL_NOT_HORSE_SKILL	Não posso usar isto enquanto estou montado.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Não posso usar esta Habilidade com esta arma.
CANNOT_SKILL_NOT_YET_LEARN	Não aprendi esta Habilidade.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Isto apenas afecta membros do grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Isto apenas afecta pessoas mortas.
CANNOT_SKILL_REMOVE_FISHING_ROD	Não posso usar esta Habilidade com uma Cana de Pesca.
CANNOT_SKILL_SELF_IN_SAFE	Não posso atacar daqui.
CANNOT_SKILL_USE_SELF	Não posso usar isto em mim mesmo.
CANNOT_SKILL_WAIT_COOLTIME	Ainda não posso usar esta Habilidade.
CANNOT_WHISPER_DEST_REFUSE	%s bloqueou as mensagens.
CANNOT_WHISPER_NOT_EXIST	%s não existe.
CANNOT_WHISPER_NOT_LOGON	%s não está online.
CANNOT_WHISPER_NO_AUTH	Não tens permissão para escrever para este destinatário.
CANNOT_WHISPER_NO_OFFLINE_MESSAGE	A mensagem offline não foi enviada.
CANNOT_WHISPER_SELF_REFUSE	Não podes enviar mensagens a ninguém se tiveres as mensagens bloqueadas.
CAN_WHISPER_OFFLINE_MESSAGE	A mensagem offline foi enviada.
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Não podes voltar ao ecrã de login.
CHANNEL_EMPTY_SERVER	Sem servidores
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	O canal está cheio! Por favor escolhe outro.
CHANNEL_NOT_FIND_INFO	Não podes obter esta informação.
CHANNEL_PVP	Duelo livre
CHANNEL_SELECT_CHANNEL	Escolhe o Canal
CHANNEL_SELECT_REGION	Escolhe a região.
CHANNEL_SELECT_SERVER	Escolhe o Servidor
CHANNEL_TEST_SERVER	Servidor de testes
CHANNEL_TEST_SERVER_ADDR	Teste %s:%d
CHARACTER_CREATE_MODE	Criar Personagem
CHARACTER_SELECT_MODE	Selecionar a Personagem
CHAT_ALL	Tudo
CHAT_BLOCK	Bloquear
CHAT_GUILD	Guild
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contém palavras inválidas.
CHAT_LOG	Mostrar mensagens antigas [L]
CHAT_LOG_TITLE	Mostrar Log
CHAT_NORMAL	Normal
CHAT_NOTICE	Anúncio
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar
CHAT_SEND_MEMO	Enviar Segredo [Shift+Enter]
CHAT_SHOUT	Chamar
CHAT_SHOUT_LIMIT	Só podes Chamar de 15 em 15 segundos.
CHAT_TEAM	Equipa
CHAT_WHISPER	Segredo
CREATE_ERROR_GM_NAME	Não podes usar ,GM‘ no nome da tua personagem.
CREATE_ERROR_INSULT_NAME	Este nome é inválido.
CREATE_EXIST_SAME_NAME	Já existe uma personagem com este nome.
CREATE_FAILURE	Não podes criar a personagem.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Insere o nome.
CREATE_PLUS_STAT	Ainda sobram pontos de Atributo.
DAY	Dias
DO_YOU_BUY_ITEM1	Queres comprar %s por %s?
DO_YOU_BUY_ITEM2	Queres comprar %s %s por %s?
DO_YOU_DROP_MONEY	Queres largar %d Yang?
DO_YOU_SELL_ITEM1	Queres vender %s por %s?
DO_YOU_SELL_ITEM2	Queres vender %s %s por %s?
DO_YOU_TAKE_OUT_ITEM1	Quer remover %s?
DO_YOU_TAKE_OUT_ITEM2	Quer remover %s %s?
DROP_ITEM_FAILURE_EQUIP_ITEM	Não podes largar Itens equipados.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Não podes largar um Item equipado se tiveres aberto uma Loja Privada.
DROP_MONEY_FAILURE_1000_OVER	Podes largar no máximo 999 Yang de cada vez.
EMOTION_ANGRY	Aborrecido
EMOTION_ATTRACTIVE	Seduzir
EMOTION_BANTER	Troçar
EMOTION_CHEERS_1	Parabéns 1
EMOTION_CHEERS_2	parabéns 2
EMOTION_CHEERUP	Festejar
EMOTION_CHOOSE_ONE	Escolhe um alvo
EMOTION_CLAP	Palmas
EMOTION_CLAP_KISS	Beijo
EMOTION_CONGRATULATION	Aprovação
EMOTION_DANCE_1	Dança 1
EMOTION_DANCE_2	Dança 2
EMOTION_DANCE_3	Dança 3
EMOTION_DANCE_4	Dança 4
EMOTION_DANCE_5	Dança 5
EMOTION_FORGIVE	Pedir Perdão
EMOTION_FRENCH_KISS	Beijo Francês
EMOTION_JOY	Felicidade
EMOTION_SAD	Tristeza
EMOTION_SHY	Rejeitar
EMOTION_SLAP	Bater
EMPIRE_A	Reino Shinsoo
EMPIRE_B	Reino Chunjo
EMPIRE_C	Reino Jinno
EXCHANGE_CANNOT_GIVE	Não podes negociar este Item.
EXCHANGE_CANT_EDIT_MONEY	Não podes alterar a quantia agora.
EXCHANGE_FAILURE_EQUIP_ITEM	Não podes trocar Itens equipados.
EXCHANGE_MONEY	Quantia
EXCHANGE_TITLE	Negociar com %s (%d)
FISHING_FAILURE	Perdeste o Isco.
FISHING_NOTIFY1	Parece que %s mordeu o anzol.
FISHING_NOTIFY2	Parece que %s foi capturado.
FISHING_SUCCESS1	Capturaste %s!
FISHING_SUCCESS2	Tens %s!
FISHING_UNKNOWN	Não sei o que apanhei.
FISHING_WRONG_PLACE	Não posso pescar aqui.
FOR_FEMALE	Para Mulher
FOR_MALE	Para Homem
GAME_CANNOT_MINING	Não podes Garimpar enquanto estás montado num cavalo.
GAME_CANNOT_PICK_ITEM	Não podes apanhar este Item porque não o ganhaste.
GAME_INIT_ERROR_CURSOR	O cursor não pôde ser definido.
GAME_INIT_ERROR_DIRECTX	O DirectX 8.1 tem de estar instalado para o jogo poder correr.\nInstala o DirectX 8.1 ou mais alto.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	A Placa gráfica não pôde ser encontrada.\nVerifica se o teu VGA card está devidamente instalado.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	A placa gráfica não pôde ser activada. \nVerifica a tua VGA card.\nEm alternativa, podes activar o acelerador de Hardware.\n(Set hardware accelerator to max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	A Placa Gráfica do computador não suporta o modo janela em 32bit.\nAltera para modo 16bit ou utiliza o modo Ecrã Completo.
GAME_INIT_ERROR_ITEM_PROTO	Não há Item Data.\nInstala o jogo de novo.
GAME_INIT_ERROR_MAIN_WINDOW	O mainframe não pôde ser definido
GAME_INIT_ERROR_MOB_PROTO	Não há Monster Data.\nInstala o jogo de novo.
GAME_INIT_ERROR_NETWORK	Não foi possível definir Dispositivos de Rede.\nVerifica a tua ligação de Internet.
GAME_PICK_MONEY	Recebeste %d Yang.
GUILDBANK_CLEARBANK	Aviso: O Armazém da Guild tem de estar vazio!
GUILDBANK_DONT_MONEY_OUT	Não tens yang no banco de guild.
GUILDBANK_GOLD_IN	Depositar
GUILDBANK_GOLD_OUT	Levantar
GUILDBANK_ITEM_IN	Loja
GUILDBANK_ITEM_OUT	Remover
GUILDBANK_MONEYIN	Depositar Yang
GUILDBANK_MONEYOUT	Resgatar o Yang
GUILDBANK_NOTUSE	Não tens as permissões necessárias.
GUILDBANK_NOT_ENOUGH_MONEY	Não tens yang suficiente para depositar.
GUILDBANK_OVER_INCOME	Limite da conta alcançado
GUILDBANK_OVER_MONEY	O banco da guild está cheio.
GUILDLAND_ABANDON	Abandonar o Território de Guild
GUILDLAND_ABANDON_VOTE	Abandonar território de Guild [%s]
GUILDLAND_ABANDON_VOTE_RESULT1	O território da guild [%s] foi abandonado.
GUILDLAND_ABANDON_VOTE_RESULT2	O território de guild foi abandonado.
GUILDLAND_ABANDON_VOTE_RESULT3	Resultado do voto:
GUILDLAND_ABANDON_VOTE_RESULT4	Voto esta inválido
GUILDLAND_ABANDON_VOTE_TEXT	Queres mesmo começar esta votação?
GUILDLAND_ABANDON_VOTE_TEXT1	Concordas em abandonar o território da Guild?
GUILDLAND_ACCEPT	Sim
GUILDLAND_DEAL	Vender território Guild
GUILDLAND_DEAL_TEXT1	A guild [%s] quer vender a sua
GUILDLAND_DEAL_TEXT2	território por [%s] yang.
GUILDLAND_DEAL_TEXT3	Aceitas a proposta?
GUILDLAND_DELA_VOTE	A guild [%s] quer comprar o nosso território.
GUILDLAND_DELA_VOTE_RESULT1	Território de guild vendido à guild [%s]
GUILDLAND_DELA_VOTE_RESULT2	A votação terminou.
GUILDLAND_DELA_VOTE_RESULT3	Resultado votos para a venda do território de Guild:
GUILDLAND_DELA_VOTE_RESULT4	Voto esta inválido
GUILDLAND_DELA_VOTE_TEXT	A que guild é que queres vender o teu território?
GUILDLAND_DELA_VOTE_TEXT1	Concordas em vender o território de guild?
GUILDLAND_DONTHAVE_LAND	Não possuis nenhum território de guild.
GUILDLAND_NOT	Não
GUILDLAND_VOTE_TEXT	Queres dar o território à [%s]?
GUILDLIST_APPLICANT	Queres candidatar-te?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	A altura não é 128 Pixeis
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	A altura não é 12 Pixeis
GUILDMARK_UPLOADER_ERROR_16_WIDTH	A Largura não é 16 Pixeis
GUILDMARK_UPLOADER_ERROR_64_WIDTH	A Largura não é 64 Pixeis
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	O jogo não suporta esta imagem.
GUILDMARK_UPLOADER_ERROR_PATH	Move os dados para a pasta metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nenhum ficheiro de imagem foi escolhido.
GUILDVOTE_CHANGEMASTER	Trocar o Líder de Guild
GUILDVOTE_CHANGEMASTER_RESULT1	A guild foi transferida com sucesso.
GUILDVOTE_CHANGEMASTER_RESULT2	A guild [%s] foi transferida para ti.
GUILDVOTE_CHANGEMASTER_RESULT3	Transferir guild para o membro [%s]
GUILDVOTE_CHANGEMASTER_RESULT4	Voto esta inválido
GUILDVOTE_CHANGEMASTER_RESULT5	Novo líder de guild: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Queres transferir a guild para [%s]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Queres mesmo deixar de ser Líder da Guild?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Tranferir Guild para o membro [%s]
