ACCE_ABSORB	Absorção de Bónus
ACCE_COMBINE	Combinação
ACCE_MAIN	Faixa 1
ACCE_RESULT	Resultado
ACCE_SERVE	Faixa 2
ACCEPT	Aceitar
ATTACH_METIN_INFO	Adicionar?
ATTACH_METIN_TITLE	A Pedra Metin foi adicionada!
CANCEL	Cancelar
CHANGE_PASSWORD_CONFIRM	Confirmar a nova Palavra-passe
CHANGE_PASSWORD_NEW	Nova Palavra-passe
CHANGE_PASSWORD_OLD	Palavra-passe Antiga
CHANGE_PASSWORD_TITLE	Alterar a Palavra-passe
CHARACTER_ACTION	Emoções
CHARACTER_EMOTICON	Emoções
CHARACTER_MAIN	Personagem
CHARACTER_MUTUAL_ACTION	Emoção Partilhada
CHARACTER_NORMAL_ACTION	Emoções Normais
CHARACTER_QUEST	Missões
CHARACTER_SKILL	Habilidades
CLOSE	Fechar
CREATE_ATT_GRADE	FRÇ
CREATE_CREATE	Criar
CREATE_DEX_GRADE	DES
CREATE_HP	VIT
CREATE_LAST_POINT	Pontos
CREATE_MAN	Homem
CREATE_NAME	Nome
CREATE_NEXT	Próximo
CUBE_REQUIRE_MATERIAL	Materiais necessários
CUBE_REQUIRE_MATERIAL_OR	ou
CREATE_PREV	Voltar
CREATE_SEX	Género
CREATE_SHAPE	Forma
CREATE_SP	INT
CREATE_STAT_RESET	Reset
CREATE_WOMAN	Mulher
CUBE_TITLE	Fabricação
EMPIRE_EXIT	Sair
EMPIRE_NEXT	Próximo
EMPIRE_PREV	Voltar
EMPIRE_SELECT	Escolher
EXCHANGE_ACCEPT	Aceitar
EXCHANGE_TITLE	Comércio
GAMEOPTION_TITLE	Opções do jogo
GAME_EXIT_OBSERVER	Fechar Modo de Observação
GAME_HELP	Ajuda
GAME_QUEST	Tarefas
GAME_SKILL_UP	Aumentar Habilidades
GAME_STAT_UP	Aumentar Atributos
GUILDWINDOW_BASE_BUFF	Bónus de Guild
GUILD_BANKINFO_CLOSE	Fechar
GUILD_BANKINFO_NAME	Membro
GUILD_BANKINFO_TITLE	Logs do Armazém de Guild
GUILD_BANKINFO_TYPE	Item/Moeda
GUILD_BANKINFO_USETYPE	Ação
GUILD_BANK_CLOSE	Fechar
GUILD_BANK_INFO	Página da loja:
GUILD_BANK_NUMBER	Numero de banco
GUILD_BASEINFO_BANK	Armazém de Guild
GUILD_BASEINFO_BANKLASTOUT	Último Item removido
GUILD_BASEINFO_BUILDING	Edifício da Guild
GUILD_BASEINFO_DEAL	Vender o Território de Guild
GUILD_BASEINFO_FACTORY	Ferreiro de Guild
GUILD_BASEINFO_GOLDMANAGE	Transação
GUILD_BASEINFO_GUILDLAND	Terreno de Guild
GUILD_BASEINFO_LANDABANDON	Dissolver terreno de Guild
GUILD_BASEINFO_LANDSCAPE	Outro
GUILD_BASEINFO_LOCALE	Localização
GUILD_BASEINFO_MONEY	Balance
GUILD_BASEINFO_MONEYBANKINFO	Informações sobre o Banco da Guild
GUILD_BASEINFO_MONEYIN	Deposito
GUILD_BASEINFO_MONEYLASTOUT	Last Withdrawal
GUILD_BASEINFO_MONEYOUT	Retirar
GUILD_BASEINFO_POWER	Altar do Poder
GUILD_BASEINFO_SMEITER	Alquimista de Guild
GUILD_BASEINFO_TITLE	Informação do Território
GUILD_BASEINFO_VOTE	Votar
GUILD_BASENAME	Nome Base
GUILD_BOARD_ID	Nome
GUILD_BOARD_REFRESH	Actualizar (F5)
GUILD_BOARD_TEXT	Conteúdo
GUILD_BUILDING_CATEGORY_TITLE	Unidades de Construção
GUILD_BUILDING_CHANGE	Alterar
GUILD_BUILDING_DIRECTION	Direcção
GUILD_BUILDING_GRADE	Nível
GUILD_BUILDING_INFO	Edifícios e Custos
GUILD_BUILDING_LIST_TITLE	Lista de Edifícios
GUILD_BUILDING_LOG	Tronco
GUILD_BUILDING_NAME	Nome do Edifício
GUILD_BUILDING_OPERATE	Operar
GUILD_BUILDING_PLY	Tábuas
GUILD_BUILDING_POSITION	Posição
GUILD_BUILDING_PREVIEW	Pré-visualizar
GUILD_BUILDING_PRICE	Preço
GUILD_BUILDING_REFRESH	Actualizar (F5)
GUILD_BUILDING_STONE	Pedras
GUILD_BUILDING_TITLE	Construções da Guild
GUILD_CRYSTAL	Cristal
GUILD_DEPOSIT	Depósito
GUILD_DROP_RESOURCE1	Aqui
GUILD_DROP_RESOURCE2	Deixar Recurso
GUILD_GEM	Gema
GUILD_GRADE_CHANGE_GRADE_NAME	Novo Nome de Estatuto
GUILD_GRADE_NUM	N.º
GUILD_GRADE_PERMISSION_DELETE	Expulsar
GUILD_GRADE_PERMISSION_JOIN	Convidar
GUILD_GRADE_PERMISSION_NOTICE	Escrever
GUILD_GRADE_PERMISSION_SKILL	Habilidades
GUILD_GRADE_RANK	Estatuto
GUILD_GRADE_WRITE	Escrever
GUILD_INFO	Informações da Guild
GUILD_INFO_CUR_EXP	Experiência
GUILD_INFO_DECALRE_WAR	Guerra
GUILD_INFO_ENEMY_GUILD	Inimigos da Guild
GUILD_INFO_ENEMY_GUILD_EMPTY	Nenhum
GUILD_INFO_LEVEL	Nível da Guild
GUILD_INFO_MARK	Símbolo
GUILD_INFO_MASTER	Líder
GUILD_INFO_MASTER_VALUE	Líder
GUILD_INFO_MEMBER_AVG_LEVEL	Nível Médio
GUILD_INFO_MEMBER_NUM	N.º Membros
GUILD_INFO_NAME	Nome da Guild
GUILD_INFO_NAME_VALUE	Este é um Nome de Guild
GUILD_INFO_OFFER_EXP	Doar EXP
GUILD_INFO_REST_EXP	EXP Necessária
GUILD_INFO_UPLOAD_MARK	Enviar Ícone
GUILD_INFO_UPLOAD_SYMBOL	Enviar Bandeira
GUILD_MARK	Ícone da Guild
GUILD_MEMBER_JOB	Raça
GUILD_MEMBER_KNIGHT	Líder
GUILD_MEMBER_LEVEL	Nível
GUILD_MEMBER_NAME	Nome
GUILD_MEMBER_RANK	Estatuto
GUILD_MEMBER_SPECIFIC_GRAVITY	Doado
GUILD_METIN_STONE	Pedra Metin
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Guild
GUILD_RESOURCE_INFO	Informação de recursos
GUILD_SKILLPAGE_LADDER	Pontos de 
GUILD_SKILLPAGE_RANK	Cassificação
GUILD_SKILL_ACTIVE	Activo
GUILD_SKIlL_HEAL_GSP	Reabastecer Poder
GUILD_SKILL_PASSIVE	Passivo
GUILD_SKILL_POWER	Poder
GUILD_SKILL_STATE	Habilidades da Guild
GUILD_SYMBOL	Bandeira da Guild
GUILD_WAR_ACCEPT	Aceitar Guerra
GUILD_WAR_ALLSCORE	Todas as Guerras
GUILD_WAR_BATTLE_TYPE	Tipo de Guerra
GUILD_WAR_CTF	Bandeira
GUILD_WAR_DECLARE	Declarar Guerra a
GUILD_WAR_ENEMY	Inimigo
GUILD_WAR_GAINSCORE	Pontos
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Zona de combate
GUILD_WAR_GAMETIME_SIXTY	60 minutos.
GUILD_WAR_GAMETIME_TEN	10 minutos.
GUILD_WAR_GAMETIME_THIRTY	30 minutos.
GUILD_WAR_JOINMEMBER	Membros
GUILD_WAR_JOINMEMBER_COUNT	Membros
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Campal
GUILD_WAR_REPORT	Reportar Guerra
GUILD_WAR_REPORTLIST	Overview (Battles: B, Wins: W, Losses: L, Draws: D)
GUILD_WAR_SCORE	Relatório de guerra
GUILD_WAR_SKILL	Skills de Guild
GUILD_WAR_TYPE_DEFENSE	Batalha de Escudo
GUILD_WAR_TYPE_DIE	Arena de Batalha
GUILD_WAR_TYPE_FLAG	Capturar a bandeira
GUILD_WAR_TYPE_NORMAL	Campo de Batalha
GUILD_WAR_TYPE_TIGER	Aniquilação
GUILD_WAR_TYPE_TIME	Ataque do tempo
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Rondas
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Água
GUILD_WATER_STONE	Gema
GUILD_WITHDRAW	Pegar
HELP_ATTACK_KEY	- Para atacar, carrega na 'Barra de Espaços' ou no Botão Esquerdo do Rato.
HELP_CHANGE_PK_MODE	- Carrega no 'Ctrl' + 'B' para alterar o Modo de Ataque.
HELP_CHARACTER_BUTTON1	(Abre: A janela do carácter, Janela de inventário
HELP_CHARACTER_BUTTON2	e janela de chat)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	- A Câmara poderá ser optimizada usando o Botão do Meio do Rato.
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	- A Câmara poderá ser optimizada usando as teclas 'Ctrl' e o Botão Direito do Rato.
HELP_EXP	Experiência
HELP_FURY	Item Shop
HELP_GUILD_WINDOW	- As teclas Alt + G abrem e fecham a Janela da Guild.
HELP_HELP	- Ajuda > Carrega na tecla H ou escolhe o Botão Ajuda no Menu de Jogo.
HELP_HP	Pontos de Vida (HP)
HELP_MESSENGER_WINDOW	- Carrega na tecla Alt + M para abrir e fechar a Janela de Mensagens.
HELP_MOUSE_LEFT	A função do botão Esquerdo do Rato
HELP_MOUSE_RIGHT	A função do botão Direito do Rato
HELP_MOVE_KEY	- Usa as teclas W, S, A, D e/ou as setas para mover a personagem.
HELP_OPEN_CHARACTER	- A tecla C abre a Janela de Personagem
HELP_OPEN_CHAT	- Carrega no "Enter" para abrir a Janela de Conversação
HELP_OPEN_INVENTORY	- A tecla 'I' abre a janela do Inventário.
HELP_OPEN_LOG	- Carrega na tecla 'L' para abrir o Histórico de Conversas no Geral.
HELP_OPEN_MINIMAP	- Carrega na tecla 'Shift'  e 'M' para abrir e fechar o Mini-mapa.
HELP_OPEN_QUEST	- Carrega na tecla 'N' para Abrires a Janela de Tarefas.
HELP_OPEN_SKILL	- Carrega na Tecla 'V' para abrires a Janela de Habilidades.
