1	WARRIOR	Ataque Triplo	Corte Triplo	Golpe Triplo Mortal	Corta o inimigo com a velocidade de um relâmpago.	Ataque Frontal de 3 Golpes	Ataque a Múltiplos Alvos			ATTACK_SKILL|NEED_TARGET|WEAPON_LIMITATION	SWORD|TWO_HANDED	samyeon	1	4			Poder de Ataque Total %.0f-%.0f	-(1.1*atk+(0.5*atk+1.5*str)*k)	-(1.1*atk+(0.5*atk+1.5*str)*k) 	
2	WARRIOR	Espada Rotativa	Espada Dançante	Ciclone	Gira a espada para atacares vários inimigos.	Ataque Residual Frontal	Ataque a Múltiplos Alvos			ATTACK_SKILL|CAN_CHANGE_DIRECTION|WEAPON_LIMITATION	SWORD|TWO_HANDED	palbang	2	4			Poder de Ataque %.0f-%.0f	-(3*atk+(0.8*atk+str*5+dex*3+con)*k)	-(3*atk+(0.8*atk+str*5+dex*3+con)*k) 	
3	WARRIOR	Berserk	Fury	Frenzy	You focus exclusively on attacking.	Attack speed is increased	Increases movement speed	Reduces enemy block chance		STANDING_SKILL		jeongwi	3	4			Attack Speed +%.0f%%	50 * SkillPoint		Movement Speed +%.0f%%	20 * SkillPoint		Ignore block +%.0f%%	max(0, sklv - 30)	
4	WARRIOR	Aura da Espada	Espada Espiritual	Espada Fantasma	O valor de ataque é aumentado por um determinado período de tempo.	O valor de ataque é aumentado				STANDING_SKILL|WEAPON_LIMITATION	SWORD|TWO_HANDED	geomgyeong	4	4			Poder de Ataque +%.0f	(100 + STR) * SkillPoint	 		
5	WARRIOR	Investida	Investida Rápida	Investida Bala	Atacas tăo rápido quanto uma bala.	Poderoso Ataque Residual				ATTACK_SKILL|NEED_TARGET|CHARGE_ATTACK|WEAPON_LIMITATION	SWORD|TWO_HANDED	tanhwan	5	4			Poder de Ataque %.0f-%.0f	-(2*atk+(atk+dex*3+str*7+con)*k)	-(2*atk+(atk+dex*3+str*7+con)*k)	 	
6	WARRIOR	Força Vital	Raios Vitais	Frenesim Vital	Você recolhe todos os seus poderes interiores e deixá-los explodir para fora para executar um golpe forte.	Ataque Frontal				ATTACK_SKILL|NEED_TARGET|WEAPON_LIMITATION	SWORD|TWO_HANDED	gihyeol	6	4			Poder de Ataque %.0f-%.0f	-(3*atk+(atk+1.5*str)*k)*1.07	-(3*atk+(atk+1.5*str)*k)*1.07	
16	WARRIOR	Força do Golpe	Onda de Choque	Ataque Tsunami	Ataca inimigos directamente.	Ataque Residual Frontal				ATTACK_SKILL|CAN_CHANGE_DIRECTION|NEED_TARGET|WEAPON_LIMITATION	SWORD|TWO_HANDED	gigongcham	16	4			Poder de Ataque %.0f-%.0f	-(2.3*atk+(4*atk+str*4+con)*k)	-(2.3*atk+(4*atk+str*4+con)*k)	 	
17	WARRIOR	Ataque Destrutivo	Garra do Tigre	Garra do Dragăo	Ataca inimigos directamente.	Ataque Residual Directo	Ataque a Múltiplos Alvos			ATTACK_SKILL|CAN_CHANGE_DIRECTION|WEAPON_LIMITATION	SWORD|TWO_HANDED	gyeoksan	17	4			Poder de Ataque %.0f-%.0f	-(2.3*atk+(3*atk+str*4+con*3)*k)	-(2.3*atk+(3*atk+str*4+con*3)*k)	 	
18	WARRIOR	Terramoto	Stomper do leão	Terramoto Rinoceronte	Derruba vários inimigos.	Ataque Residual Directo	Probabilidade de Efeito Atordoante			ATTACK_SKILL|STANDING_SKILL		daejin	18	4			Poder de Ataque %.0f-%.0f	-(2*atk+(2*atk+2*dex+2*con+str*4)*k)	-(2*atk+(2*atk+2*dex+2*con+str*4)*k)	Probabilidade de Atordoamento %.0f%%	(100 + 1000*SkillPoint/6)/10
19	WARRIOR	Starker Körper	Corpo de ferro	Corpo de aço	Sua defesa será melhor por um tempo e você não cairá no chão.	Aumenta a Defesa	Reduz a Rapidez de Movimento	Năo cais ao chăo		STANDING_SKILL		cheongeun	19	4			Defesa: +%.0f	7+(40 + 0.2*str + 0.4*con)*k		Rapidez de Movimento: -%.0f	1 + 9*SkillPoint
20	WARRIOR	Ataque de Espada	Golpe da espada	Tempestade de Espada	Ataca inimigos directamente.	Ataque de Longo Alcance	Ataque a Múltiplos Alvos	Probabilidade de Atordar	Schlägt das Ziel zu Boden	ATTACK_SKILL|CAN_CHANGE_DIRECTION|WEAPON_LIMITATION	SWORD|TWO_HANDED	geompung	20	4			Poder de Ataque %.0f-%.0f	-(2*atk+(atk+dex*3+str*5+con)*k)	-(2*atk+(atk+dex*3+str*5+con)*k)	Probabilidade de Atordoar %.0f%%	(100+k*1000/6)/10
21	WARRIOR	Orbe da Espada	Halo da Espada	Espada Gloriosa	Você atinge o chão com a espada e uma aura se espalha que causa dano aos inimigos circundantes.	Ataque a partir da tua posiçăo actual contra múltiplos inimigos				ATTACK_SKILL|STANDING_SKILL|WEAPON_LIMITATION	SWORD|TWO_HANDED	noegeom	21	4			Poder de Ataque %.0f-%.0f	-(3*atk + (1.5*atk + 2*dex + 2*con + str*4)*k)	-(3*atk + (1.5*atk + 2*dex + 2*con + str*4)*k)		
31	ASSASSIN	Emboscar	Ataque Furtivo	Embuscada Furtiva	Aproxime-se do inimigo por trás e faça um ataque mortal.	Angriffswert steigt für Rückentreffer	Bónus de Acçăo Furtiva			ATTACK_SKILL|MELEE_ATTACK|NEED_TARGET|WEAPON_LIMITATION	DAGGER|DOUBLE_SWORD|SWORD	amseup	1	4			Poder de Ataque %.0f-%.0f	-(atk+(1.2*atk+number(500,700)+dex*4+str*4)*k)	-(atk+(1.2*atk+number(500,700)+dex*4+str*4)*k)	 	
32	ASSASSIN	Ataque Rápido	Ataque Eficaz	Ataque Mortal	Aproxime-se rapidamente de um inimigo e faça um ataque mortal.	Ataque de Teleporte	Bónus de Acçăo Furtiva			ATTACK_SKILL|NEED_TARGET|WEAPON_LIMITATION	DAGGER|DOUBLE_SWORD|SWORD	gungsin	2	4			Poder de Ataque %.0f-%.0f	-(atk+(1.6*atk+number(200,300)+dex*7+str*7)*k)	-(atk+(1.6*atk+number(200,300)+dex*7+str*7)*k)	 	
33	ASSASSIN	Adaga Rotativa	Adaga Giratória	Adaga Dançante	Rodopia ŕ volta dos inimigos com uma adaga.	Danos superficiais	Ataque de Veneno Duradouro			ATTACK_SKILL|CAN_CHANGE_DIRECTION|WEAPON_LIMITATION	DAGGER|DOUBLE_SWORD|SWORD	charyun	3	4			Poder de Ataque %.0f-%.0f	-(2*atk+(0.5*atk+dex*9+str*7)*k)	-(2*atk+(0.5*atk+dex*9+str*7)*k)	Probabilidade de Intoxicar %.0f%%	1 + 4*k
34	ASSASSIN	Modo Furtivo	Andar Silencioso	Verhüllen	Podes esconder-te.	Pára ataques quando é usada.				STANDING_SKILL		eunhyeong	4	4			Dano de Emboscada Bónus: %.0f%%	50 * SkillPoint	 		
35	ASSASSIN	Nuvem Venenosa	Nuvem mortal	Nuvem Assassina	Cria nuvens de veneno que rodeiam o inimigo para o intoxicar.	Ataque de Longo Alcance	Ataque a Múltiplos Alvos	Ataque de Veneno Duradouro		ATTACK_SKILL|NEED_TARGET		sangong	5	4			Poder de Ataque %.0f-%.0f	-(lv*2+(atk+str*3+dex*18)*k)	-(lv*2+(atk+str*3+dex*18)*k)	Probabilidade de Intoxicar %.0f%%	40*k
36	ASSASSIN	Veneno Insidioso	Veneno Furtivo	Veneno Invisível	Moves-te tăo rapidamente para atacares o teu adversário que desapareces temporariamente.	Ataque de Teleporte	Ataque de Veneno Duradouro			ATTACK_SKILL|NEED_TARGET|WEAPON_LIMITATION	DAGGER|DOUBLE_SWORD|SWORD	seomjeon	6	4			Poder de Ataque %.0f-%.0f	-((lv*2+(atk+str*3+dex*18)*k)*1.1)	-((lv*2+(atk+str*3+dex*18)*k)*1.1)	Probabilidade de Intoxicaçăo %.0f%%	40*k
46	ASSASSIN	Tiro Duplo	Tiro Múltiplo	Tiro Massivo	Atire com várias flechas em um inimigo.	Ataque de Longo Alcance	Vários Ataques			ATTACK_SKILL|NEED_TARGET|WEAPON_LIMITATION	BOW	yeonsa	16	4		2 + floor(6 * SkillPoint)	Poder de Ataque Total %.0f-%.0f	-(atk+0.2*atk*floor(2+k*6)+(0.8*atk+dex*8*ar+iq*2)*k)	-(atk+0.2*atk*floor(2+k*6)+(0.8*atk+dex*8*ar+iq*2)*k)	Flechas disparadas: %.0f	2 + floor(6 * SkillPoint)
47	ASSASSIN	Chuva de Setas	Setas Dinâmicas	Torrente de Setas	Use várias setas para fotografar vários inimigos.	Ataque de Longo Alcance	Ataque a Múltiplos Alvos			ATTACK_SKILL|FAN_RANGE|NEED_TARGET|WEAPON_LIMITATION	BOW	gwangyeok	17	4	2 + floor(6 * SkillPoint)		Poder de Ataque %.0f-%0.f	-(atk+(1.7*atk+dex*5+str)*k)	-(atk+(1.7*atk+dex*5+str)*k)	Número Máx. de Alvos: %.0f	2 + floor(6 * SkillPoint)
48	ASSASSIN	Seta de Fogo	Seta Ardente	Seta de Chamas	Acenda a flecha.	Ataque de Longo Alcance	Ataque a Múltiplos Alvos	Ataque de Fogo		ATTACK_SKILL|NEED_TARGET|WEAPON_LIMITATION	BOW	hwajo	18	4			Poder de Ataque %.0f-%.0f	-(1.5*atk+(2.6*atk+0.9*iq+number(100,300))*k)	-(1.5*atk+(2.6*atk+0.9*iq+number(100,300))*k)	 	
49	ASSASSIN	Flutuar	Andar Furacăo	Velocidade Suprema	Faça seu corpo mais fácil aumentar a velocidade do movimento.	A velocidade do movimento é aumentada				STANDING_SKILL		gyeonggong	19	4			Rapidez de Movimento +%.0f	60*SkillPoint	 		
50	ASSASSIN	Seta Envenenada	Seta Tóxica	Seta mortal	Reveste a flecha com um veneno poderoso.	Ataque de Longo Alcance	Ataque a Múltiplos Alvos	Atinge o alvo para o chão	Ataque de Veneno Duradouro	ATTACK_SKILL|NEED_TARGET|WEAPON_LIMITATION	BOW	gigung	20	4			Poder de Ataque %.0f-%.0f	-(atk+(1.4*atk+number(100,200)+dex*7+str*4+iq*4)*k)	-(atk+(1.4*atk+number(100,200)+dex*7+str*4+iq*4)*k)	Probabilidade de Intoxicaçăo %.0f%%	80*k
51	ASSASSIN	Faísca	Raio de Luz	Raio Explosivo	Você fere severamente seu oponente emitindo uma luz repentina.	Ataque a partir da tua posiçăo actual	Ataque de Veneno Duradouro			ATTACK_SKILL|STANDING_SKILL|WEAPON_LIMITATION	BOW	seomgwang	21	4			Poder de Ataque %.0f-%.0f	-((atk+(1.2*atk+number(100,200)+dex*6+str*3+iq*3)*k)*1.2)	-((atk+(1.2*atk+number(100,200)+dex*6+str*3+iq*3)*k)*1.2)	Probabilidade de Intoxicaçăo %.0f%%	80*k
61	SURA	Ataque do Dedo	Ataque Ardente do Dedo	Dedo Explosivo	Criar uma grande explosão com a ponta dos dedos.	Ataque Residual Frontal	A defesa do adversário é ignorada	Bónus de Inteligęncia		ATTACK_SKILL|MELEE_ATTACK|NEED_TARGET		swaeryeong	1	4			Poder de Ataque %.0f-%.0f	-(atk+2*lv+iq*2+(2*atk+str*4+iq*14)*k)	-(atk+2*lv+iq*2+(2*atk+str*4+iq*14)*k)	Probabilidade de Golpe Penetrante %.0f%%	1 + 9*SkillPoint
62	SURA	Espiral do Dragăo	Espiral do Tornado	Tempestade	Cria um tornado forte para derrotar vários inimigos.	Danos superficiais	O adversário é ignorado	Bónus de Inteligęncia		ATTACK_SKILL|STANDING_SKILL		yonggwon	2	4			Poder de Ataque %.0f-%.0f	-(1.1*atk+2*lv+iq*2+(1.5*atk+str+iq*12)*k)	-(1.1*atk+2*lv+iq*2+(1.5*atk+str+iq*12)*k)	Probabilidade de ignorar a fuga do adversário %.0f%%	1 + 9*SkillPoint
63	SURA	Lâmina Encantada	Espada Encantada	Lâmina Fantasma	Statte deine Klinge mit einem mächtigen Geist aus.	O valor de ataque é aumentado	Bónus de Inteligęncia	Rouba Vida ao alvo		STANDING_SKILL|TOGGLE|WEAPON_LIMITATION	SWORD	gwigeom	3	4			Poder de Ataque +%.1f	7 + (5*iq+13)*k		Vida Roubada: %.0f%% do Dano	10*k
64	SURA	Receio	Grande medo	Terror	Enfraquece as habilidades dos inimigos	Diminui o adversário	Ataque inimigo falha mais frequentemente	Só é activado quando consegues um golpe		STANDING_SKILL		gongpo	4	4			Poder de Ataque do Adversário -%.0f%%	5 + 20*SkillPoint		Fehlschläge des Gegners %.0f%%	1 + 29*SkillPoint
65	SURA	Armadura encantada	Enchanted melhor armadura	Armadura da escuridão	Proteja seu corpo com uma armadura escura.	Reflete danos de volta para os atacantes	Aumenta a Defesa	Bónus de Inteligęncia		STANDING_SKILL		jumagap	5	4			Defesa +%.0f	(iq+30)*k		Dano Corpo-a-Corpo Reflectido: %.1f%%	(iq/4+10)*k
66	SURA	Remover Efeito	Elevador de feitiço poderoso	Remover Efeito Avançado	Remove todos os efeitos de apoio do adversário.	Ataque de Longo Alcance	Ataque a Múltiplos Alvos	Todos os efeitos no adversário săo removidos		ATTACK_SKILL|NEED_TARGET		pabeop	6	4			Poder de Ataque Mágico %.0f-%.0f	-(40+5*lv+2*iq+(10*iq+7*mwep+number(50,100))*ar*k)	-(40+5*lv+2*iq+(10*iq+7*mwep+number(50,100))*ar*k)	Probabilidade de Remoçăo de Efeitos %.0f%%	80.64*k
76	SURA	Ataque Obscuro	Ataque Místico	Explosăo Mística	Atira Força Negra para infligires dano a inimigos.	Ataque de Longo Alcance	Ataque a Múltiplos Alvos			ATTACK_SKILL|NEED_TARGET		maryeong	16	4			Poder de Ataque Mágico %.0f-%.0f	-(40+5*lv+2*iq+(13*iq+6*mwep+number(50,100))*ar*k)	-(40+5*lv+2*iq+(13*iq+6*mwep+number(50,100))*ar*k)	 	
