TOOLTIP_ACCE_ATTR_MAX_INFO	(max.%s)
ACCE_ABSORB_COST	Pret Absorbtie: %d
ACCE_ALREADY_REGISTER	Acest obiect a fost deja folosit.
ACCE_DEL_ABSORDITEM	Absorbi obiectul, distrugandu-l inaces proces?
ACCE_DEL_SERVEITEM	Esarfa 2 va fi distrusa daca esueaza combinatia.
ACCE_INITEM	Trage obiectul in fereastra.
ACCE_MAXGRADE	Acesta a fost deja personalizat.
ACCE_NOTABSORBITEM	Nu poti folosi o bucata de arma sau armura ce a fost deja absorbita.
ACCE_NOT_SEALITEM	Nu poti folosi niciun obiect personalizat.
ACCE_NOT_USINGITEM	Nu poti combina un obiect echipat.
ACCE_NOT_WINDOWOPEN	Nu poti folosi acest obiect daca fereastra folosita la combinatii este deschisa.
ACCE_POSSIBLE_ACCE	Poti folosi doar Esarfe.
ACCE_POSSIBLE_ACCEITEM	Poti extrage doar bonusurile din arme si armuri.
AFF_LOVE_POINT	Punct de dragoste: %d%%
ALIGNMENT_NAME	Puncte de grad:
ATTACK_ERROR_UNKNOWN	Greºealã de atac necunoscutã: %s
CANNOT_ATTACK_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_ATTACK_SELF_IN_SAFE	Nu pot ataca.
CANNOT_EQUIP_IN_EXCHANGE	Nu poþi schimba echipamentul când negociezi.
CANNOT_EQUIP_IN_SHOP	Nu poþi schimba echipamentul când negociezi.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nu poþi deschide magazinul într-un spaþiu public.
CANNOT_SHOOT_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SHOOT_EMPTY_ARROW	Am nevoie de o sãgeatã.
CANNOT_SHOOT_SELF_IN_SAFE	Nu pot face asta.
CANNOT_SKILL_APPROACH	Sunt sigur ca nu ma pot apropia mai mult de atat.
CANNOT_SKILL_ATTACK	Nu pot ataca.
CANNOT_SKILL_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Am nevoie de o undiþã.
CANNOT_SKILL_HAVE_TO_RIDE	Am nevoie de un cal pentru a folosi asta.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticlã goalã.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nu am nicio sticlã cu otravã.
CANNOT_SKILL_NEED_TARGET	Care este þinta?
CANNOT_SKILL_NOT_ENOUGH_HP	Nu am destule PV!
CANNOT_SKILL_NOT_ENOUGH_SP	Nu am destule PM!
CANNOT_SKILL_NOT_HORSE_SKILL	Nu pot folosi asta în timp ce cãlãresc.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Aceasta abilitate nu o pot folosi la aceasta arma.
CANNOT_SKILL_NOT_YET_LEARN	Nu am învatat aceasta abilitate.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Are efect doar asupra membrilor grupului.
CANNOT_SKILL_ONLY_FOR_CORPSE	Are efect doar asupra morþilor.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nu pot folosi aceasta abilitate cu o undita.
CANNOT_SKILL_SELF_IN_SAFE	De aici nu pot ataca.
CANNOT_SKILL_USE_SELF	Nu pot folosi asta asupra mea.
CANNOT_SKILL_WAIT_COOLTIME	Nu pot folosi inca aceasta abilitate.
CANNOT_WHISPER_DEST_REFUSE	%s are soptitul blocat
CANNOT_WHISPER_NOT_EXIST	%s nu exista.
CANNOT_WHISPER_NOT_LOGON	%s nu este online.
CANNOT_WHISPER_NO_AUTH	Nu ai permisiunea sa-i scrii acestui jucator.
CANNOT_WHISPER_NO_OFFLINE_MESSAGE	Mesajul-Offline nu a fost trimis.
CANNOT_WHISPER_SELF_REFUSE	Nu-i poti sopti nimanui, daca ai soapta blocata.
CAN_WHISPER_OFFLINE_MESSAGE	Mesajul-Offline a fost trimis.
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Nu poþi reveni la ecranul de login.
CHANNEL_EMPTY_SERVER	Niciun server
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	Acest canal este plin! Alege te rog altul.
CHANNEL_NOT_FIND_INFO	Nici o informaþie gãsitã via Canal.
CHANNEL_PVP	Duel liber
CHANNEL_SELECT_CHANNEL	Alege canalul
CHANNEL_SELECT_REGION	Selecteazã regiunea.
CHANNEL_SELECT_SERVER	Alege serverul
CHANNEL_TEST_SERVER	Testeazã serverul
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Creaza caracter
CHARACTER_SELECT_MODE	Alege caracter
CHAT_ALL	Toþi
CHAT_BLOCK	Blocheazã
CHAT_GUILD	Breaslã
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Propoziþia conþine cuvinte nepermise.
CHAT_LOG	Aratã mesaje vechi [L]
CHAT_LOG_TITLE	Log Chat
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Trimite mesaj
CHAT_SEND_MEMO	Trimite ºoaptã [Shift+Enter]
CHAT_SHOUT	Strigã
CHAT_SHOUT_LIMIT	Poþi striga doar o datã la 15 secunde.
CHAT_TEAM	Echipa
CHAT_WHISPER	Soaptã
CREATE_ERROR_GM_NAME	Nu poþi folosi ,GM‘ la numele caracterului.
CREATE_ERROR_INSULT_NAME	Acest nume este invalid.
CREATE_EXIST_SAME_NAME	Existã deja un caracter cu acest nume.
