ACCE_ABSORB	Bonus de Absorbtie
ACCE_COMBINE	Combinatie
ACCE_MAIN	Esarfa 1
ACCE_RESULT	Rezultat
ACCE_SERVE	Esarfa 2
ACCEPT	OK
ATTACH_METIN_INFO	Doresti sã utilizezi Piatra Spiritului?
ATTACH_METIN_TITLE	Foloseste Piatra Spiritului
CANCEL	Anulare
CHANGE_PASSWORD_CONFIRM	Confirmã noua parolã
CHANGE_PASSWORD_NEW	Parolã nouã
CHANGE_PASSWORD_OLD	Parolã veche
CHANGE_PASSWORD_TITLE	Schimbare parolã
CHARACTER_ACTION	Actiuni
CHARACTER_EMOTICON	Emotie
CHARACTER_MAIN	Caracter
CHARACTER_MUTUAL_ACTION	Actiuni interactive
CHARACTER_NORMAL_ACTION	Actiuni normale
CHARACTER_QUEST	Misiuni
CHARACTER_SKILL	Abilitate
CLOSE	Închide
CREATE_ATT_GRADE	STR
CREATE_CREATE	Creazã
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Puncte
CREATE_MAN	Bãrbat
CREATE_NAME	Nume
CREATE_NEXT	Continuã
CUBE_REQUIRE_MATERIAL	Materiale necesare
CUBE_REQUIRE_MATERIAL_OR	sau
CREATE_PREV	Înapoi
CREATE_SEX	Sex
CREATE_SHAPE	Aspect
CREATE_SP	INT
CREATE_STAT_RESET	Reseteaza
CREATE_WOMAN	Femeie
CUBE_TITLE	Productia
EMPIRE_EXIT	Sfârsit
EMPIRE_NEXT	Continuã
EMPIRE_PREV	Înapoi
EMPIRE_SELECT	Alege
EXCHANGE_ACCEPT	Accepta
EXCHANGE_TITLE	Negociazã
GAMEOPTION_TITLE	Optiuni joc
GAME_EXIT_OBSERVER	Închide modul spectator
GAME_HELP	Ajutor
GAME_QUEST	Sarcini
GAME_SKILL_UP	Creste Abilitãtile
GAME_STAT_UP	Creste statusul
GUILDWINDOW_BASE_BUFF	Bonus Breaslã
GUILD_BANKINFO_CLOSE	Închis
GUILD_BANKINFO_NAME	Membru
GUILD_BANKINFO_TITLE	Log Depozit Breaslã
GUILD_BANKINFO_TYPE	Obiect/Valoare
GUILD_BANKINFO_USETYPE	Actiune
GUILD_BANK_CLOSE	Închis
GUILD_BANK_INFO	Paginã:
GUILD_BANK_NUMBER	Numãr bancã
GUILD_BASEINFO_BANK	Depozit Breaslã
GUILD_BASEINFO_BANKLASTOUT	Ultim Obiect Luat
GUILD_BASEINFO_BUILDING	Clãdire Breaslã
GUILD_BASEINFO_DEAL	Vinde Teritoriu Breaslã
GUILD_BASEINFO_FACTORY	Fierar Breaslã
GUILD_BASEINFO_GOLDMANAGE	Tranzactie
GUILD_BASEINFO_GUILDLAND	Teritoriu Breaslã
GUILD_BASEINFO_LANDABANDON	Desfiinteazã Teritoriu Breaslã
GUILD_BASEINFO_LANDSCAPE	Altele
GUILD_BASEINFO_LOCALE	Locatie
GUILD_BASEINFO_MONEY	Balantã
GUILD_BASEINFO_MONEYBANKINFO	Informatii Bancã Breaslã
GUILD_BASEINFO_MONEYIN	Depunere
GUILD_BASEINFO_MONEYLASTOUT	Ultima Retragere
GUILD_BASEINFO_MONEYOUT	Retragere
GUILD_BASEINFO_POWER	Altarul Puterii
GUILD_BASEINFO_SMEITER	Alchimist Breaslã
GUILD_BASEINFO_TITLE	Informatii Teritoriu
GUILD_BASEINFO_VOTE	Vot
GUILD_BASENAME	Nume bazã
GUILD_BOARD_ID	Nume
GUILD_BOARD_REFRESH	Actualizeazã
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Unitãti de constructie
GUILD_BUILDING_CHANGE	Schimbã
GUILD_BUILDING_DIRECTION	Orientare
GUILD_BUILDING_GRADE	Grad
GUILD_BUILDING_INFO	Informatii clãdire si costuri
GUILD_BUILDING_LIST_TITLE	Listã de clãdiri
GUILD_BUILDING_LOG	Bustean
GUILD_BUILDING_NAME	Nume clãdire
GUILD_BUILDING_OPERATE	Opereazã
GUILD_BUILDING_PLY	Placaj
GUILD_BUILDING_POSITION	Pozitie
GUILD_BUILDING_PREVIEW	Preview
GUILD_BUILDING_PRICE	Pret
GUILD_BUILDING_REFRESH	Actualizeazã
GUILD_BUILDING_STONE	Piatrã
GUILD_BUILDING_TITLE	Constructie casa breslei
GUILD_CRYSTAL	Cristal
GUILD_DEPOSIT	Plãteste
GUILD_DROP_RESOURCE1	aici
GUILD_DROP_RESOURCE2	Aruncã resursa
GUILD_GEM	Piatrã pretioasã
