TOOLTIP_ACCE_ATTR_MAX_INFO	(maks. %s)
ACCE_ABSORB_COST	Fiyat: %d
ACCE_ALREADY_REGISTER	Bu eşya zaten kullanıldı.
ACCE_DEL_ABSORDITEM	Nesneyi em ve yok et?
ACCE_DEL_SERVEITEM	Kombinasyon başarısız olursa kuşak 2 yok edilir.
ACCE_INITEM	Nesneleri pencereye çek.
ACCE_MAXGRADE	Bu kişiye özel üretimdir.
ACCE_NOTABSORBITEM	Emilmiş olan bir silah veya zırhı kullanamazsın.
ACCE_NOT_SEALITEM	Ruha bağlı nesneler kullanamazsın.
ACCE_NOT_USINGITEM	Kuşanılan bir nesne kombine edilemez.
ACCE_NOT_WINDOWOPEN	Kombinasyon penceresi açıkken bu nesneyi kullanamazsın.
ACCE_POSSIBLE_ACCE	Sadece omuz kuşakları kullanabilirsin.
ACCE_POSSIBLE_ACCEITEM	Bonusu sadece silah ve zırhlardan elde edebilirsin.
AFF_LOVE_POINT	Sevgi Puanı: %d%%
ALIGNMENT_NAME	Derece Puanı: 
ATTACK_ERROR_UNKNOWN	Bilinmeyen Saldırı Hatası: %s
CANNOT_ATTACK_DEST_IN_SAFE	Şavasçı çok uzakta.
CANNOT_ATTACK_SELF_IN_SAFE	Saldıramam.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken zırhını değiştiremezsin.
CANNOT_EQUIP_IN_SHOP	Ticaret yaparken zırhını değiştiremezsin.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Genel alanda özel depo açamazsın.
CANNOT_SHOOT_DEST_IN_SAFE	Düşman çok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Bir oka ihtiyacım var.
CANNOT_SHOOT_SELF_IN_SAFE	Bunu yapamam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklaşamam.
CANNOT_SKILL_ATTACK	Saldıramam.
CANNOT_SKILL_DEST_IN_SAFE	Düşman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir oltaya ihtiyacım var.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanabilmek için bir bineğe ihtiyacım var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Boş bir şişem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehirli şişem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP yok!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP yok!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu at sürerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu beceriyi bu silahla kullanamam.
CANNOT_SKILL_NOT_YET_LEARN	Bu beceriyi öğrenmedim.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Bu sadece grup üyelerini etkiler.
CANNOT_SKILL_ONLY_FOR_CORPSE	Bu sadece ölüleri etkiler.
CANNOT_SKILL_REMOVE_FISHING_ROD	Bu beceriyi olta ile kullanamam.
CANNOT_SKILL_SELF_IN_SAFE	Buradan saldıramam.
CANNOT_SKILL_USE_SELF	Bunu kendi üzerimde yapamam.
CANNOT_SKILL_WAIT_COOLTIME	Henüz bu beceriyi kullanamam.
CANNOT_WHISPER_DEST_REFUSE	%s fısıltıyı blokladı.
CANNOT_WHISPER_NOT_EXIST	%s mevcut değil.
CANNOT_WHISPER_NOT_LOGON	%s çevrimiçi değil.
CANNOT_WHISPER_NO_AUTH	Bu kişiye yazma izniniz yok.
CANNOT_WHISPER_NO_OFFLINE_MESSAGE	Çevrimdışı mesaj gönderilmedi.
CANNOT_WHISPER_SELF_REFUSE	Fısıldamayı blokladığında birine bir şey fısıldayamazsın.
CAN_WHISPER_OFFLINE_MESSAGE	Çevrimdışı mesaj gönderildi.
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Kaydolma ekranına tekrar dönemezsiniz.
CHANNEL_EMPTY_SERVER	Sunucu yok
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Bu kanal dolu! Lütfen başka bir kanal seçiniz.
CHANNEL_NOT_FIND_INFO	Kanal üzerinden herhangi bir bilgiye ulaşılamadı.
CHANNEL_PVP	Serbest düello
CHANNEL_SELECT_CHANNEL	Kanal Seç
CHANNEL_SELECT_REGION	Bölge seç.
CHANNEL_SELECT_SERVER	Sunucu seç
CHANNEL_TEST_SERVER	Sunucuyu test et
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Karakter yarat
CHARACTER_SELECT_MODE	Karakter seç
CHAT_ALL	Genel
CHAT_BLOCK	Blok
CHAT_GUILD	Lonca
