ACCE_ABSORB	Bonus Emişi
ACCE_COMBINE	Kombinasyon
ACCE_MAIN	Kuşak 1
ACCE_RESULT	Sonuç
ACCE_SERVE	Kuşak 2
ACCEPT	Kabul Et
ATTACH_METIN_INFO	Ruh Taşı'nı eklemek istiyor musun?
ATTACH_METIN_TITLE	Ruh Taşı'nı ekle
CANCEL	iptal
CHANGE_PASSWORD_CONFIRM	Yeni şifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni şifre
CHANGE_PASSWORD_OLD	Eski şifre
CHANGE_PASSWORD_TITLE	Şifre Değiştir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Duygu
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CLOSE	Kapat
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluştur
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	INT
CREATE_STAT_RESET	Sıfırla
CREATE_WOMAN	Kadın
CUBE_TITLE	Üretim
EMPIRE_EXIT	Çıkış
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
GAMEOPTION_TITLE	Oyun Seçenekleri
GAME_EXIT_OBSERVER	İzlemeyi Bitir
GAME_HELP	Yardım
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliştir
GAME_STAT_UP	Statü Geliştir
GUILDWINDOW_BASE_BUFF	Lonca Bonusu
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TITLE	Lonca Deposu Kayıtları
GUILD_BANKINFO_TYPE	Eşya/Döviz
GUILD_BANKINFO_USETYPE	Eylem
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Depo Sayfası
GUILD_BANK_NUMBER	Banka Numarası
GUILD_BASEINFO_BANK	Lonca Deposu
GUILD_BASEINFO_BANKLASTOUT	Kaldırılan Son Eşya
GUILD_BASEINFO_BUILDING	Lonca Binaları
GUILD_BASEINFO_DEAL	Lonca Bölgesini Sat
GUILD_BASEINFO_FACTORY	Lonca Demircisi
GUILD_BASEINFO_GOLDMANAGE	İşlem
GUILD_BASEINFO_GUILDLAND	Lonca Bölgesi
GUILD_BASEINFO_LANDABANDON	Lonca Bölgesini Dağıt
GUILD_BASEINFO_LANDSCAPE	Diğer
GUILD_BASEINFO_LOCALE	Konum
GUILD_BASEINFO_MONEY	Bakiye
GUILD_BASEINFO_MONEYBANKINFO	Lonca Bankası Bilgisi
GUILD_BASEINFO_MONEYIN	Para Yatırma
GUILD_BASEINFO_MONEYLASTOUT	Son Para Çekme İşlemi
GUILD_BASEINFO_MONEYOUT	Para Çekme
GUILD_BASEINFO_POWER	Güç Sunağı
GUILD_BASEINFO_SMEITER	Lonca Simyacısı
GUILD_BASEINFO_TITLE	Bölge Bilgisi
GUILD_BASEINFO_VOTE	Oyla
GUILD_BASENAME	Temel isim
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile (F5)
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	İnşaat Birimleri
GUILD_BUILDING_CHANGE	Değiştir
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_GRADE	Sıra
GUILD_BUILDING_INFO	Yapılar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile (F5)
GUILD_BUILDING_STONE	Taş
GUILD_BUILDING_TITLE	Lonca Meclis Binaları
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düşen Kaynak
GUILD_GEM	Değerli Taş
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_DELETE	Kov
GUILD_GRADE_PERMISSION_JOIN	Davet
GUILD_GRADE_PERMISSION_NOTICE	Mesaj yaz
GUILD_GRADE_PERMISSION_SKILL	Beceriler
GUILD_GRADE_RANK	Sıra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaş İlanı
GUILD_INFO_ENEMY_GUILD	Düşman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca İmzası
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayısı
GUILD_INFO_NAME	Lonca İsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatırım
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	İmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_MARK	Lonca İmzası
GUILD_MEMBER_JOB	Sınıf
GUILD_MEMBER_KNIGHT	Lider
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_RANK	Sıra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatırım
GUILD_METIN_STONE	Ruh Taşı
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SKILLPAGE_LADDER	Sıralama Puanı
GUILD_SKILLPAGE_RANK	Rütbe
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_SYMBOL	Lonca Bayrağı
GUILD_WAR_ACCEPT	Savaş İlanı Kabulü
GUILD_WAR_ALLSCORE	Tüm Savaşlar
GUILD_WAR_BATTLE_TYPE	Savaş Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaşı İlanı
GUILD_WAR_ENEMY	Düşman
GUILD_WAR_GAINSCORE	Puan
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Savaş Süresi
GUILD_WAR_GAMETIME_SIXTY	60 dak.
GUILD_WAR_GAMETIME_TEN	10 dak.
GUILD_WAR_GAMETIME_THIRTY	30 dak.
GUILD_WAR_JOINMEMBER	Üyeler
GUILD_WAR_JOINMEMBER_COUNT	Üyeler
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Alan
GUILD_WAR_REPORT	Savaş Raporu
GUILD_WAR_REPORTLIST	Genel Bakış (Savaşlar: S, Galibiyet: G, Mağlubiyet: M, Beraberlik: B)
GUILD_WAR_SCORE	Savaş Raporu
GUILD_WAR_SKILL	Lonca Becerileri
GUILD_WAR_TYPE_DEFENSE	Kalkan Savaşı
GUILD_WAR_TYPE_DIE	Arena Savaşı
GUILD_WAR_TYPE_FLAG	Bayrak Kapma Savaşı
GUILD_WAR_TYPE_NORMAL	Alan Savaşı
GUILD_WAR_TYPE_TIGER	İmha
GUILD_WAR_TYPE_TIME	Süreli Saldırı
