VNUM	LOCALE_NAME
101	яб» »—шн
102	–∆»
103	–∆» «б»«ѕн…
104	«б–∆» «б√“—ё
105	–∆» «б»«ѕн… «б√“—ё
106	«б–∆» «б—г«ѕн
107	–∆» «б»«ѕн… «б—г«ѕн
108	ќд“н— »—н
109	ќд“н— »—н √Ќг—
110	ѕ»
111	ѕ» √‘н»
112	ѕ» √”жѕ
113	ѕ» »дншш
114	дг—
115	дг— √»н÷
131	–∆» гбЏжд
132	–∆» »«ѕн… гбЏжд
133	–∆» √“—ё гбЏжд
134	–∆» »«ѕн… √“—ё гбЏжд
135	–∆» —г«ѕн гбЏжд
136	–∆» »«ѕн… —г«ѕн гбЏжд
137	ќд“н— »—н гбЏжд
138	ќд“н— »—н √Ќг— гбЏжд
139	ѕ» гбЏжд
140	ѕ» √‘н» гбЏжд
141	ѕ» √”жѕ гбЏжд
142	ѕ» »дн гбЏжд
143	дг— гбЏжд
144	дг— √»н÷ гбЏжд
151	яждћ-гя
152	гж-—дћ
153	ћжџ-енжб
154	нждџ-ћн
155	бн-√д
171	яб» ћ«∆Џ  «∆е
172	–∆» ћ«∆Џ
173	–∆» »«ѕн… ћ«∆Џ
174	–∆» √“—ё ћ«∆Џ
175	–∆» »«ѕн… √“—ё ћ«∆Џ
176	–∆» —г«ѕн ћ«∆Џ
177	–∆» »«ѕн… —г«ѕн ћ«∆Џ
178	ќд“н— »—н ћ«∆Џ
179	ќд“н— »—н √Ќг— ћ«∆Џ
180	ѕ» ћ«∆Џ
181	ѕ» √‘н» ћ«∆Џ
182	ѕ» √”жѕ ћ«∆Џ
183	ѕ» »дн ћ«∆Џ
184	дг— ћ«∆Џ
185	дг— √»н÷ ћ«∆Џ
191	бняж”
192	”я—жЁ«
193	»—«
194	 нџ—”
301	ћдѕн… ё«”гн «бнгнд √»н÷
302	—«гн… ”е«г ё«”г нгнд √».
303	ћд—«б… ё«”гн «бнгнд √»н÷
304	ё«∆ѕ… ё«”гн «бнгнд √»н÷
331	ћдѕн… ё«”гн «бнгнд √»н÷
332	—«гн… ”е«г ё«”г нгнд √».
333	ћд—«б… ё«”гн «бнгнд √»н÷
334	ё«∆ѕ… ё«”гн «бнгнд √»н÷
351	ћдѕн ћ»«д ё«”г.нгнд √»н÷
352	—«гн ”е«г ћ»«д ё«”г. н.√
353	ћд—«б ћ»«д ё«”г. н.√
354	ё«∆ѕ ћ»«д ё«”г. н.√
391	гн-ћждџ
392	«жд-ћждџ
393	”н-—«дџ
394	ћд-ен
395	гн-ћждџ «бг— Џ‘…
396	«жд-ћждџ «бг— Џ‘…
397	”н-—«дџ «бг— Џ‘…
398	ћд-ен «бг— Џ‘…
401	ћдѕн «б—нЌ «б√”жѕ
402	«бгежж” «б—нЌн «б√”жѕ
403	—«гн ”е«г «б—нЌн «б√”жѕ
404	ћ«я- ж «б—нЌн «б√”жѕ
405	Ўж-”ж «б—нЌн «б√”жѕ
406	џж-—ндџ «б—нЌн «б√”жѕ
431	ћдѕн Џ«’Ён √”жѕ
432	«бгежж” «бЏ«’Ён «б√”жѕ
433	—«гн «б”е«г «б√”жѕ
434	ћже-еж«д «бЏ«’Ён «б√”жѕ
435	янжя-ћ«д «бЏ«’Ён «б√”жѕ
436	Ёж-еж«д «бЏ«’Ён «б√”жѕ
451	ћдѕн Џ«’Ён √”жѕ ќ»нЋ
452	гежж” Џ«’Ён ќ»нЋ
453	—«гн ”е«г Џ«’Ён ќ»нЋ
454	ћж-еж«д-«бЏ«’Ён «бќ»нЋ
455	яня ћ«дћ «бЏ«’Ён «бќ»нЋ
456	Ёж еж«д «бЏ«’Ён «бќ»нЋ
460	Garden wolf
461	Bee worker
462	Bee warrior
463	Hungry plant
464	Carnivorous plant
465	Root creature
466	Garden soldier
467	Garden general 
468	д» … ‘—н—…
469	д» … я»н—…
470	Evil big plant
471	Raguwan
472	Garden tyrant
473	Carnivorous plant
474	Root creature
475	Garden soldier
476	Garden general
477	Brut. carnivorous plant
478	Brut. root creature
479	Brut. garden soldier
480	Brut. garden general
481	Infected bees
491	г«ежд
492	»ж
493	џж-»н
494	‘жждџ
501	ћдѕн г‘«… г жЌ‘
502	гЎнЏ г жЌ‘
503	—«гн ”е«г жЌ‘н
504	ћд—«б г жЌ‘
531	ћдѕн г жЌ‘
532	гежж” г жЌ‘
533	—«гн ”е«г г жЌ‘
534	«ќ’«∆н г жЌ‘
551	ћдѕн г‘«… г жЌ‘ ёжн
552	гЎнЏ ёжн жЌ‘н
553	—«гн ”е«г ёжн жЌ‘н
554	ћд—«б ёжн жЌ‘н
591	“Џнг г жЌ‘
595	ћжг ‘б г жЌ‘
601	џжб
602	џжб ћ«”ж”
603	џжб гё« б
604	џжб ”«Ќ—
631	џжб Ёќж—
632	џжб ћ«”ж” Ёќж—
633	џжб гё« б Ёќж—
634	џжб ”«Ќ— Ёќж—
635	ћд—«б џжб Ёќж—
636	џжб √”жѕ
637	џжб √”жѕ Џгб«ё
651	џжб я»н— ‘ћ«Џ
652	џжб ћ«”ж” я»н— ‘ћ«Џ
653	гЌ«—» џжб я»н— ‘ћ«Џ
654	”«Ќ— џжб я»н— ‘ћ«Џ
655	ћд—«б џжб я»н— ‘ћ«Џ
656	џжб √”жѕ ‘ћ«Џ
657	џжб Џгб«ё √”жѕ ‘ћ«Џ
670	Prehistoric octopus
671	Underwater devil
672	Ku'dhul
673	Dangerous Ku'dhul
674	Brutal Ku'dhul
675	Armored giant crab
676	Ku'thal
691	«бџжб «б√Џбм
692	«бџжб «б√Џбм «б‘—н—
693	ё«∆ѕ џжб ‘»Ќ
694	Cursed Chief Orc
695	џжб гбЏжд
696	Cursed Orc Orc Scout
697	Cursed Bold Black Orc
698	Cursed Bold Black Giant Orc
701	г Џ’» ўб«гн
702	√—«е«д ўб«гн
703	«бгЌ«—» «б‘—н—
704	«—«е«д «б√Џбм «б‘—н—
705	«бћб«шѕ «б‘—н—
706	г÷Ўеѕ ‘—н—
707	г‘Џж– ‘—н—
731	г Џ’» ўб«гн Ёќж—
732	√—«е«д ўб«гн Ёќж—
733	гё« б ўб«гн Ёќж—
734	яжбжднб ўб«гн Ёќж—
735	—«гн ўб«гн Ёќж—
736	г÷Ўеѕ ‘—н— Ёќж—
737	”«Ќ— ўб«гн Ёќж—
751	г Џ’» √Џбм
752	√—«е«д √Џбм
753	гё« б √—«е«д √Џбм
754	ё«∆ѕ √—«е«д «б√Џбм
755	Џѕш«г √Џбм
756	г÷Ўеѕ √Џбм
757	г‘Џж– √Џбм
760	—ндж «бѕгжн
761	«бѕ» √гж—н
762	ќЎ«Ё «бя—е
763	Pinker Troll
764	Young valen. Tree
765	Valtenin's Tree
766	Slime
767	Aggressive Slime
768	Slime Queen
771	г Џ’» жЌ‘н
772	√—«е«д жЌ‘н
773	гё« б √—«е«д жЌ‘н
774	√—«е«д √Џбм жЌ‘н
775	ћб«шѕ жЌ‘н
776	г÷Ўеѕ жЌ‘н
777	г‘Џж– жЌ‘н
791	«бё«∆ѕ «б‘—н—
792	ё«∆ѕ «б‘»Ќ «б‘—н—
793	ё«∆ѕ «бдќ»… «б‘—н—
794	ё«∆ѕ ‘»Ќ «бдќ»…
795	гё« б «бдќ»…
796	гё« б «бдќ»… «б‘—н—
901	‘»Ќ «бћЋ…
902	яб» г”Џж—
903	—ћб г”Џж—
904	гЌ«—» «б”ншЁ «бг”Џж—
905	гЌ«—» «б—г«Ќ «бг”Џж—
906	—«гн ”е«г г”Џж—
907	ё«∆ѕ «бг”Џж—нд
931	‘»Ќ ћЋш… џ«÷»
932	яб» г”Џж— џ«÷»
933	—ћб г”Џж— џ«÷»
934	гЌ«—» г”Џж— џ«÷»
935	гЌ«—» —г«Ќ г”Џж— џ«÷»
936	—«гн ”е«г г”Џж— г жЌ‘
937	ё«∆ѕ г”Џж—нд џ«÷»
940	Crystal Soldier
941	Crystal Golem
942	Crystal Tiger
943	Crystal Beast
944	Crystal Scorpion
945	Crystal Tritseratops
946	»—нѕ. жЌ‘ «бя—н” «б
947	Crystal Insect
948	 днд «бя—н” «б
949	Crystal dino
950	King of Crystal Dragons
965	Green piranha
966	Prehistoric piranha
967	Jellyfish
969	Bloodthirsty shark
970	Rainbow shark
971	Shark monster
972	Brutal shark beast
973	Sea star
974	Underwater frog
975	Sea beast
976	Strong sea beast
977	Sea killer
978	Strong sea killer
979	Drunk dead sailor
980	Haunted sailor
981	Dead sailor
982	Underwater pirate
983	Hammer pirate
984	Old underwater pirate
985	Pirate shief
986	Brutal fish
987	Pirate sovereign
988	Brutal pirate shief
991	»н÷… ѕ«Ѕ «б”Џ«—
992	Ќ«гб ѕ«Ѕ «б”Џ«—
993	Ќ«гб Џгб«ё бѕ«Ѕ «б”Џ«—
1001	ћдѕн ‘нЎ«дн
