VNUM	LOCALE_NAME
101	Dziki Pies
102	Wilk
103	Alfa Wilk
104	Nieb. Wilk
105	Nieb. Alfa Wilk
106	Szary Wilk
107	Szary Alfa Wilk
108	Dzik
109	Czerw. Dzik
110	NiedŸwiedŸ
111	NiedŸw. Grizzly
112	Czar. NiedŸw.
113	Brąz. NiedŸw.
114	Tygrys
115	Biały Tygrys
131	Przeklęty Wilk
132	Przeklęty Alfa Wilk
133	Przeklęty Nieb. Wilk
134	Przekl. Nieb. Alfa Wilk
135	Przeklęty Szary Wilk
136	Przekl. Szary Alfa Wilk
137	Przeklęty Dzik
138	Przeklęty Czerw. Dzik
139	Przeklęty NiedŸw.
140	Przekl. NiedŸw. Grizzly
141	Przeklęty Czar. NiedŸw.
142	Przeklęty Brąz. NiedŸw.
143	Przeklęty Tygrys
144	Przeklęty Biały Tygrys
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Głodny Zabłąkany Pies
172	Głodny Wilk
173	Głodny Alfa Wilk
174	Głodny Nieb. Wilk
175	Głodny Nieb. Alfa Wilk
176	Głodny Szary Wilk
177	Głodny Szary Alfa Wilk
178	Głodny Dzik
179	Głodny Czerw. Dzik
180	Głodny NiedŸw.
181	Głodny NiedŸw. Grizzly
182	Głodny Czar. NiedŸw.
183	Głodny Brąz. NiedŸw.
184	Głodny Tygrys
185	Głodny Biały Tygrys
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Zaprzys. ¯ołnierz
302	Zaprzys. Łucznik
303	Zaprzys. Generał
304	Zaprzys. Komandor
331	Zaprzys. ¯ołnierz
332	Zaprzys. Łucznik
333	Zaprzys. Generał
334	Zaprzys. Komandor
351	Tchórz. Zaprzys. ¯ołn.
352	Tchórz. Zaprzys. Łucznik
353	Tchórz. Zaprzys. Generał
354	Tchórz. Zaprzys. Komand.
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Bezduszna Mi-Jung
396	Bezduszna Eun-Jung
397	Bezduszna Se-Rang
398	Bezduszna Jin-Hee
401	¯ołnierz Czarn. Wiatru
402	Maniak Czarnego Wiatru
403	Łucznik Czarnego Wiatru
404	Jak-To Czarnego Wiatru
405	To-Su Czarnego Wiatru
406	Gu-Ryung Czarnego Wiatru
431	¯ołnierz Czarn. Burzy
432	Maniak Czarn. Burzy
433	Łucznik Czarn. Burzy
434	Joh-Hwan Czarn. Burzy
435	Kyuk-Jan Czarn. Burzy
436	Pho-Hwan Czarn. Burzy
451	Zły Czar. Burz. ¯ołnierz
452	Zły Czar. Burz. Maniak
453	Zły Czar. Burz. Łucznik
454	Zły Czar. Burz. Joh-Hwan
455	Zły Czar. Burz.Kyuk-Jang
456	Zły Czar. Burz. Pho-Hwan
460	Ogrodowy Wilk
461	Bee worker
462	Bee warrior
463	Głodna roślina 
464	Mięsnożerna roślina
465	Korzenny Stwór
466	Żołnierz ogrodu
467	Garden general 
468	Zła roślina 
469	Wielka roślina 
470	Zła Wielka Roślina 
471	Raguwan
472	Garden tyrant
473	Mięsnożerna roślina
474	Korzenny Stwór
475	Żołnierz ogrodu
476	Garden general
477	Brut. carnivorous plant
478	Brutalna Korzenista Istota
479	Brut. garden soldier
480	Brut. garden general
481	Zainfekowane pszczoły
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Dziki ¯ołnierz Piechoty
502	Dziki Sługa
503	Dziki Łucznik
504	Dziki Generał
531	Best. ¯ołnierz
532	Best. Maniak
533	Bestialski Łucznik
534	Best. Specjalista
551	Silny Dziki Piechur.
552	Silny Dziki Sługa
553	Silny Dziki Łucznik
554	Silny Dziki Generał
591	Best. Kapitan
595	Best. Guem-Chul
601	Ork
602	Ork Zwiadowca
603	Ork Wojownik
604	Ork Czarodziej
631	Elit. Ork
632	Elit. Ork Zwiadowca
633	Elit. Ork Wojownik
634	Elit. Ork Czarodziej
635	Elit. Ork Generał
636	Czarny Ork
637	Czarny Ork Zwiadowca
651	Duży Łysy Ork
652	Duży Łysy Ork Zwiadowca
653	Duży Łysy Ork Wojownik
654	Duży Łysy Ork Czarodziej
655	Duży Łysy Ork Generał
656	Łysy Czarny Ork
657	Olbrz. Łysy Czar. Ork
670	Prehistoric octopus
671	Underwater devil
672	Ku'dhul
673	Dangerous Ku'dhul
674	Brutal Ku'dhul
675	Armored giant crab
676	Ku'thal
691	Wódz Orków
692	Elit. Wódz Orków
693	Przeklęty Wódz Orków 
694	Przeklęty Szef Orków
695	Cursed Orc
696	Przeklęty ork zwiadowca
697	 Przeklęty Odważny Czarny Ork
698	Cursed Bold Black Giant Orc
701	Ezot. Fanatyk
702	Ezot. Arahan
703	Ezot. Wojownik Arahan
704	Wódz Ezot. Arahan
705	Ezot. Egzekutor
