VNUM	LOCALE_NAME
101	Câine sãlbatic
102	Lup
103	Lup Alpha
104	Lup Albastru
105	Lup Alpha Albastru
106	Lup Gri
107	Lup Alpha Gri
108	Mistret
109	Mistret Rosu
110	Urs
111	Urs Grizzly
112	Urs Negru
113	Urs Brun
114	Tigru
115	Tigru Alb
131	Lup Blestemat
132	Lup Blestemat Alpha
133	Lup Blestemat Albastru
134	Lup Alpha Albastru Blest
135	Lup Blestemat Gri
136	Lup Blest Alpha Gri
137	Mistret Blestemat
138	Mistret Blestemat Rosu
139	Urs Blestemat
140	Urs Blestemat Grizzly
141	Urs Blestemat Negru
142	Urs Blestemat Brun
143	Tigru Blestemat
144	Tigru Blestemat Alb
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Câine sãlbatic flãmând
172	Lup Flamand
173	Lup Flamand Alpha
174	Lup Flamand Albastru
175	Lup Flamand Alpha Albast
176	Lup Flamand Gri
177	Lup Flamand Alpha Gri
178	Mistret Flamand
179	Mistret Flamand Rosu
180	Urs Flamand
181	Urs Flãmând Grizzly
182	Urs Flamand Negru
183	Urs Flamand Brun
184	Tigru Flamand
185	Tigru Flamand Alb
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Amazoanca Soldat
302	Amazoanca Arcas
303	Amazoana General
304	Amazoana Comandant
331	Amazoana Soldat
332	Amazoana Arcas
333	Amazoana General
334	Amazoana Comandant
351	Amazoana Soldat Lasa
352	Amazoana Arcas Lasa
353	Amazoana General Lasa
354	Amazoana Comandant Lasa
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Tristul de Mi-Jung
396	Tristul de Eun-Jung
397	Tristul Se-Rang
398	Tristul Jin-Hee
401	Soldat vânt negru
402	Posedat de vânt negru
403	Arcaº vânt negru
404	vânt negru Jak-To
405	vânt negru To-Su
406	vânt negru Gu-Ryung
431	Soldat de atac negru
432	Posedat de atac negru
433	Arcaº negru
434	Joh-Hwan de atac negru
435	Kyuk-Jan de atac negru
436	Pho-Hwan de atac negru
451	Soldat de atac negru rãu
452	Posedat de atac rãu
453	Arcaº de atac rãu
454	Joh-Hwan de atac rãu
455	Kyuk-Jang de atac rãu
456	Pho-Hwan de atac rãu
460	Lupul Gradinii
461	Lucrator Albina
462	Luptator Albina
463	Planta Flamanda
464	Planta Carnivora
465	Radacina Creaturii
466	Soldatul Gradinii
467	Generalul Gradinii
468	Planta Rea
469	Planta Mare
470	Planta Mare Rea
471	Raguwan
472	Tiranul Gradinii
473	Planta Carnivora
474	Radacina Creaturii
475	Soldatul Gradinii
476	Generalul Gradinii
477	Planta carnivora brutala
478	Creatura radacinii brutala
479	Soldatul gradinii brutal
480	Generalul gradinii brutal
481	Albine infectate
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Infanterist Salbatic
502	Salbatic Devotat
503	Arcaº sãlbatic
504	General Salbatic
531	Soldat brutal
532	Posedat brutal
533	Arcaº brutal
534	Specialist brutal
551	Infanterist Salbatic Dur
552	Locotenent Salbatic Dur
553	Arcas Salbatic Dur
554	General Salbatic Dur
591	Capitanul Bestie
595	Geum-Chul brutal
601	Ork
602	Spion ork
603	Orc Luptator
604	Orc Vrajitor
631	Orc Elite
632	Orc Elite Cercetas
633	Orc Elite Luptator
634	Orc Elite Vrajitor
635	Orc Elite General
636	Orc Negru
637	Orc Negru Urias
651	Orc Mare Curajos
652	Orc Mare Cercetas
653	Orc Mare Luptator
654	Orc Mare Vrajitor
655	Orc Mare General
656	Orc Negru Curajos
657	Orc Negru Gigant
670	Prehistoric octopus
671	Underwater devil
672	Ku'dhul
673	Dangerous Ku'dhul
674	Brutal Ku'dhul
675	Armored giant crab
676	Ku'thal
691	Orc Sef
692	Orc Elite Sef
693	Rege Orc Blestemat
694	Orc Sef Blestemat
695	Orc Blestemat
696	Orc Cercetas Blestemat
697	Orc Negru Curajos Blestemat
698	Orc Negru Curajos Gigant Blestemat
701	Fanatic Intunecat
702	Arahan întunecat
703	Luptator Intunecat
704	Arahan întunecat super.
705	Cãlãu întunecat
706	Despot întunecat
707	Incantator Intunecat
731	Fanatic Mandru Intunecat
732	Arahan întunecat mândru
733	Luptãtor întunecat mândr
734	Colonel Întunecat Mândru
735	Puscas Malefic Mandru
736	Despot întunecat mândru
737	Vrãjitor întunecat mândr
751	Fanatic înalt
752	Arahan înalt
753	Luptãtor Arahan înalt
754	Superior Arahan înalt
755	Cãlãu înalt
756	Despot înalt
757	Incântãtor înalt
760	Rinocer Sangeros
761	Ursul lui Amore
762	Harpie-ul Urii
763	Troll Roz
764	Copac Tanar Valentin
765	Copacul lui Valentin
766	Slime
767	Slime Agresiv
768	Regina Slime
771	Fanatic brutal
772	Arahan brutal
773	Luptãtor Arahan brutal
774	Arahan superior brutal
775	Cãlãu brutal
776	Despot brutal
777	Incântãtor brutal
791	Conducãtor întunecat
792	Conducator Spirit Negru
793	Conducãtor întun. elitã
794	Strigoi Intunecat
795	Luptãtor de elitã
796	Lupt. întunec. de elitã
901	Spiritul Cadavrului
902	Câine al ciumei
903	Om al ciumei
904	Luptãtor sabie al ciumei
905	Luptãtor suliþã al ciume
906	Arcaº al ciumei
907	Comandant al ciumei
931	Spirit Cadavru Furios
932	Câine al ciumei sãlbatic
933	Om al ciumei sãlbatic
934	Luptãtor al ciumei sãlb.
935	Lupt. suliþã al cium. s.
936	Arcaº al ciumei sãlbatic
937	Com. al ciumei furios
940	Soldat de cristal
941	Golem de cristal
942	Tigru de cristal
943	Bestie de Cristal
944	Scorpion de cristal
945	Triseratop de cristal
946	Bestie brutala de cristal
947	Insecta de cristal
948	Dragon de cristal
949	Dino de Cristal
950	Regele Dragonilor de cristal
965	Green piranha
966	Prehistoric piranha
967	Jellyfish
969	Bloodthirsty shark
970	Rainbow shark
971	Shark monster
972	Brutal shark beast
973	Sea star
974	Underwater frog
975	Sea beast
976	Strong sea beast
977	Sea killer
978	Strong sea killer
979	Drunk dead sailor
980	Haunted sailor
981	Dead sailor
982	Underwater pirate
983	Hammer pirate
984	Old underwater pirate
985	Pirate shief
986	Brutal fish
987	Pirate sovereign
988	Brutal pirate shief
991	Ou al ciumei
992	Purtãtor de ciumã
993	Purtãtor de ciumã uriaº
1001	Soldat Demon
1002	Arcas Demon
1003	Demon Sulitas
1004	Demon Saman
1031	Soldat comun
1032	Arcaº comun
1033	Luptator Sulita Comun
1034	ªaman comun
1035	Spiritul mâniei
1036	Spiritul haosului
1037	Demon comandant comun
1038	Maestru craniu sabie
1039	Craniu zburãtor
1040	Spirit nemuritor
1041	Animal demonic
1061	Spirit soldat comun
1062	Spirit arcaº comun
1063	Spirit luptãtor comun
1064	Spirit Saman Comun
1065	Spirit al mâniei comun
1066	Spirit al haosului comun
1067	Spirit comandant comun
1068	Samurai Fantoma
1069	Craniu zburãtor comun
1070	Spirit nemuritor
